RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,1,Dustin Johnson,77,1.862,1.071,0.67,0.121,59
2,3,Jordan Spieth,85,1.646,0.321,0.896,0.429,68
3,2,Hideki Matsuyama,83,1.613,0.508,0.758,0.346,59
4,5,Jon Rahm,90,1.522,0.949,0.515,0.057,66
5,6,Justin Thomas,86,1.479,0.452,0.738,0.289,65
6,7,Francesco Molinari,75,1.453,0.483,0.842,0.128,59
7,4,Paul Casey,94,1.41,0.349,0.939,0.122,71
8,8,Rory McIlroy,51,1.382,0.965,0.322,0.095,36
9,10,Sergio Garcia,65,1.356,0.795,0.378,0.182,46
10,13,Justin Rose,66,1.295,0.559,0.363,0.373,53
11,11,Tony Finau,106,1.28,0.826,0.39,0.065,91
12,12,Kyle Stanley,104,1.259,0.659,0.562,0.038,94
13,9,Rickie Fowler,78,1.134,0.378,0.408,0.349,63
14,16,Luke List,102,1.117,0.6,0.443,0.074,86
15,15,Patrick Cantlay,52,1.111,0.623,0.467,0.021,46
16,18,Adam Scott,58,1.103,0.524,0.536,0.043,42
17,14,Marc Leishman,94,1.066,0.319,0.41,0.337,73
18,17,Gary Woodland,94,1.04,0.431,0.571,0.039,68
19,20,Ryan Palmer,61,1.03,0.533,0.555,-0.058,49
20,22,Byeong Hun An,77,0.964,0.524,0.369,0.071,57
21,23,Lucas Glover,93,0.944,0.502,0.301,0.14,86
22,24,Ian Poulter,72,0.911,-0.162,0.573,0.501,55
23,21,Charley Hoffman,112,0.903,0.586,0.349,-0.031,93
24,25,Webb Simpson,102,0.893,-0.036,0.503,0.426,84
25,27,Brendan Steele,89,0.888,0.387,0.411,0.09,71
26,28,Bill Haas,92,0.868,-0.047,0.399,0.516,72
27,19,Kevin Chappell,95,0.841,0.442,0.294,0.106,72
28,26,Matt Kuchar,95,0.84,0.158,0.253,0.43,77
29,29,Bud Cauley,92,0.803,0.264,0.588,-0.05,82
30,31,Keegan Bradley,104,0.769,0.625,0.139,0.004,91
31,30,Daniel Berger,91,0.761,0.282,0.57,-0.09,69
