RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:PUTTING,MEASURED ROUNDS
1,1,Rickie Fowler,78,0.852,53.706,63
2,2,Michael Thompson,60,0.84,36.94,44
3,3,Luke Donald,50,0.704,30.285,43
4,4,Brian Harman,104,0.6,51.597,86
5,11,Brooks Koepka,88,0.581,38.934,67
6,5,Patrick Reed,107,0.577,48.483,84
7,7,Brandt Snedeker,53,0.572,24.044,42
8,8,Graeme McDowell,56,0.563,28.174,50
9,9,Jonas Blixt,74,0.536,31.627,59
10,10,Louis Oosthuizen,69,0.53,27.008,51
11,12,Mackenzie Hughes,106,0.492,47.265,96
12,13,Gonzalo Fernandez-Castaño,63,0.489,21.523,44
13,14,David Lingmerth,79,0.484,33.406,69
T14,T15,Steve Wheatcroft,51,0.479,19.148,40
T14,T15,Shane Lowry,52,0.479,18.184,38
T16,T17,Rafa Cabrera Bello,63,0.473,21.756,46
T16,T17,Søren Kjeldsen,58,0.473,16.081,34
18,19,Cody Gribble,79,0.461,32.252,70
19,20,Ernie Els,52,0.458,16.959,37
T20,T21,Brian Gay,82,0.451,31.106,69
T20,T21,Peter Malnati,91,0.451,32.905,73
22,23,Whee Kim,74,0.443,27.485,62
23,T30,Russell Henley,99,0.434,37.283,86
T24,T24,Chez Reavie,98,0.417,34.584,83
T24,T24,Zach Johnson,81,0.417,28.326,68
26,38,Adam Hadwin,98,0.409,32.298,79
T27,26,Xander Schauffele,96,0.402,29.755,74
T27,27,Blayne Barber,77,0.402,26.929,67
29,28,Camilo Villegas,76,0.4,24.802,62
30,36,Kevin Kisner,105,0.388,29.847,77
31,29,Brian Campbell,55,0.385,15.773,41
32,T30,Bryce Molder,74,0.383,24.54,64
T33,T33,Billy Hurley III,80,0.374,25.772,69
T33,T33,Harris English,84,0.374,26.957,72
35,37,Sebastián Muñoz,51,0.358,13.953,39
36,32,Marc Leishman,94,0.356,25.972,73
37,35,Jason Day,71,0.354,19.497,55
38,52,Pat Perez,93,0.346,25.281,73
39,40,Wesley Bryan,95,0.34,26.142,77
40,41,Phil Mickelson,85,0.337,23.222,69
41,42,Nicholas Lindheim,58,0.336,14.796,44
42,43,Ryan Blaum,100,0.334,27.37,82
T43,44,Justin Thomas,86,0.332,21.583,65
T43,48,Matt Kuchar,95,0.332,25.596,77
45,47,Greg Chalmers,75,0.316,21.516,68
46,49,Graham DeLaet,82,0.291,20.639,71
47,50,Stewart Cink,93,0.286,23.17,81
48,45,Jordan Spieth,85,0.278,18.896,68
49,51,Scott Brown,95,0.276,21.562,78
50,53,Hunter Mahan,73,0.268,15.83,59
51,54,Kevin Na,86,0.265,17.507,66
52,55,Kevin Tway,96,0.261,19.312,74
53,56,Ricky Barnes,100,0.26,19.992,77
54,57,Charl Schwartzel,63,0.257,12.346,48
55,39,Jon Rahm,90,0.256,16.906,66
56,58,Martin Laird,83,0.253,18.195,72
57,59,Danny Lee,93,0.247,18.754,76
58,60,Seung-Yul Noh,91,0.244,18.293,75
59,61,Martin Flores,88,0.242,16.203,67
60,62,Michael Kim,94,0.229,19.249,84
61,63,Tag Ridings,67,0.203,10.129,50
62,64,Jim Furyk,54,0.187,8.211,44
63,65,K.J. Choi,72,0.176,9.494,54
64,66,Seamus Power,86,0.174,11.846,68
T65,T67,Charles Howell III,86,0.172,11.729,68
T65,T67,Carl Pettersson,63,0.172,8.957,52
67,69,Matt Jones,64,0.17,8.671,51
68,46,Patrick Cantlay,52,0.159,7.3,46
69,71,Sung Kang,104,0.154,12.609,82
70,70,Daniel Berger,91,0.149,10.262,69
71,72,Vaughn Taylor,90,0.139,10.553,76
72,73,Sam Saunders,76,0.138,8.435,61
73,74,Jimmy Walker,68,0.135,6.748,50
74,93,Paul Casey,94,0.133,9.408,71
75,75,Cameron Tringale,89,0.125,8.102,65
76,76,John Huh,92,0.124,9.452,76
77,77,Johnson Wagner,71,0.12,6.822,57
78,78,Daniel Summerhays,100,0.11,9.022,82
79,79,Brandon Hagy,85,0.109,7.504,69
80,80,Sean O'Hair,84,0.107,7.509,70
81,82,Derek Fathauer,81,0.094,5.991,64
T82,T83,Billy Horschel,88,0.084,6.719,80
T82,T83,Cameron Smith,86,0.084,5.979,71
84,85,Chad Collins,66,0.079,4.292,54
T85,T86,Julián Etulain,68,0.078,3.994,51
T85,T86,Morgan Hoffmann,92,0.078,6.427,82
87,89,Bill Haas,92,0.055,3.956,72
88,88,Webb Simpson,102,0.049,4.125,84
89,91,Aaron Baddeley,61,0.044,2.005,46
90,92,Geoff Ogilvy,80,0.043,2.89,67
91,T94,James Hahn,96,0.036,2.948,81
92,96,Zac Blair,105,0.035,2.795,81
93,97,Spencer Levin,89,0.03,1.981,67
94,98,Ian Poulter,72,0.025,1.358,55
95,99,Andres Gonzales,73,0.023,1.325,57
T96,81,Dustin Johnson,77,0.019,1.126,59
T96,100,Tom Hoge,54,0.019,0.734,39
98,101,Tim Wilkinson,64,0.009,0.417,46
99,102,Robert Streb,98,0.003,0.223,84
100,T103,Richy Werenski,81,0.0,0.023,61
101,T94,Jason Dufner,89,-0.001,-0.056,72
102,105,Hudson Swafford,94,-0.005,-0.351,76
103,106,Fabián Gómez,61,-0.006,-0.281,51
104,90,Charley Hoffman,112,-0.012,-1.073,93
T105,T107,C.T. Pan,88,-0.013,-1.023,76
T105,T107,Brendan Steele,89,-0.013,-0.92,71
107,109,Mark Anderson,54,-0.016,-0.665,42
T108,T110,Troy Merritt,82,-0.017,-1.157,70
T108,T110,Jamie Lovemark,98,-0.017,-1.34,80
T108,T110,Ryan Moore,82,-0.017,-1.136,65
111,113,Ollie Schniederjans,92,-0.019,-1.527,81
112,114,William McGirt,89,-0.025,-1.803,72
113,115,Lucas Glover,93,-0.026,-2.24,86
114,116,J.J. Spaun,92,-0.027,-1.964,72
115,117,Ryan Armour,63,-0.029,-1.42,49
116,118,J.B. Holmes,83,-0.032,-1.978,61
117,119,Dominic Bozzelli,69,-0.033,-1.804,55
118,120,Ben Martin,86,-0.044,-3.114,70
119,121,David Hearn,93,-0.052,-3.705,71
T120,T122,Shawn Stefani,72,-0.057,-3.428,60
T120,T122,Trey Mullinax,88,-0.057,-3.986,70
122,T103,Justin Rose,66,-0.063,-3.34,53
123,124,Patrick Rodgers,76,-0.066,-4.379,66
124,125,Chris Kirk,89,-0.074,-5.153,70
125,126,Jonathan Randolph,68,-0.076,-3.868,51
126,127,Grayson Murray,94,-0.082,-6.93,85
127,128,Francesco Molinari,75,-0.089,-5.245,59
128,129,Adam Scott,58,-0.097,-4.061,42
129,130,Patton Kizzire,84,-0.103,-7.427,72
130,131,Nick Watney,75,-0.113,-7.249,64
131,132,J.T. Poston,95,-0.117,-8.506,73
132,133,Chris Stroud,67,-0.126,-6.046,48
133,134,Jim Herman,77,-0.127,-8.381,66
T134,143,Tony Finau,106,-0.133,-12.113,91
T134,136,Jason Bohn,75,-0.133,-8.253,62
T136,T137,Brian Stuard,93,-0.137,-9.422,69
T136,T137,Smylie Kaufman,76,-0.137,-8.612,63
138,139,Ryan Brehm,83,-0.149,-9.71,65
139,140,Steven Bowditch,59,-0.15,-6.745,45
140,141,Ben Crane,86,-0.155,-10.666,69
141,142,Kelly Kraft,75,-0.157,-10.201,65
142,144,Emiliano Grillo,90,-0.173,-11.407,66
143,145,Bubba Watson,71,-0.187,-9.91,53
144,146,Nick Taylor,97,-0.191,-15.843,83
145,148,Bryson DeChambeau,91,-0.193,-14.116,73
146,149,Mark Hubbard,81,-0.2,-12.184,61
147,150,Ryo Ishikawa,56,-0.204,-8.77,43
148,151,Cameron Percy,71,-0.205,-11.28,55
149,152,Keegan Bradley,104,-0.216,-19.67,91
150,153,Andrew Loupe,55,-0.242,-11.367,47
151,154,Branden Grace,70,-0.248,-11.639,47
152,155,Rick Lamb,54,-0.254,-9.641,38
153,157,Matt Every,76,-0.272,-16.61,61
154,158,Bud Cauley,92,-0.273,-22.35,82
155,159,Kyle Reifers,96,-0.276,-20.398,74
156,160,Kevin Streelman,90,-0.281,-21.946,78
157,161,Chad Campbell,97,-0.286,-24.298,85
158,168,Kevin Chappell,95,-0.303,-21.815,72
159,162,Rory McIlroy,51,-0.304,-10.947,36
T160,156,Kyle Stanley,104,-0.309,-29.0,94
T160,164,Steven Alker,69,-0.309,-15.757,51
162,163,Sergio Garcia,65,-0.311,-14.3,46
T163,T165,Scott Stallings,81,-0.32,-21.75,68
T163,T165,Miguel Angel Carballo,63,-0.32,-13.749,43
T163,T165,Tyrone Van Aswegen,105,-0.32,-25.572,80
166,169,Anirban Lahiri,72,-0.336,-19.798,59
167,147,Hideki Matsuyama,83,-0.345,-20.381,59
168,170,Russell Knox,75,-0.349,-18.82,54
169,171,Rory Sabbatini,71,-0.357,-18.911,53
170,172,Alex Cejka,85,-0.359,-22.282,62
171,173,Byeong Hun An,77,-0.375,-21.401,57
172,174,Gary Woodland,94,-0.381,-25.913,68
173,176,Si Woo Kim,80,-0.392,-23.526,60
174,178,Harold Varner III,101,-0.402,-34.56,86
175,179,Jason Kokrak,95,-0.405,-33.637,83
176,175,Jhonattan Vegas,95,-0.413,-29.289,71
177,180,Retief Goosen,52,-0.425,-17.413,41
178,181,Luke List,102,-0.426,-36.664,86
179,182,J.J. Henry,92,-0.43,-32.264,75
180,183,Roberto Castro,70,-0.447,-24.152,54
181,184,Ken Duke,77,-0.452,-27.136,60
182,185,Robert Garrigus,78,-0.456,-27.37,60
183,186,Brett Drewitt,57,-0.457,-19.661,43
184,187,D.A. Points,68,-0.478,-27.701,58
185,188,Brett Stegmaier,78,-0.514,-29.839,58
186,189,Rod Pampling,71,-0.518,-34.213,66
187,190,Scott Piercy,70,-0.526,-25.762,49
188,191,Brad Fritsch,56,-0.596,-25.05,42
189,193,Boo Weekley,75,-0.954,-58.166,61
190,194,Ryan Palmer,61,-1.159,-56.813,49
