RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG.,TOTAL DISTANCE,TOTAL DRIVES
1,1,Rory McIlroy,51,317.2,27917,88
2,2,Dustin Johnson,77,315.0,41576,132
3,3,Brandon Hagy,85,312.7,48162,154
T4,T4,Luke List,102,311.5,61046,196
T4,T4,Ryan Brehm,83,311.5,47965,154
6,6,Andrew Loupe,55,311.3,32371,104
7,7,Brooks Koepka,88,311.1,47293,152
8,T8,Justin Thomas,86,309.7,43977,142
9,T8,Trey Mullinax,88,309.6,50778,164
T10,11,Kevin Tway,96,309.2,54421,176
T10,10,Tony Finau,106,309.2,61842,200
12,12,Grayson Murray,94,308.2,55483,180
13,T13,Gary Woodland,94,307.6,49827,162
14,T13,J.B. Holmes,83,307.5,44286,144
15,15,Adam Scott,58,307.0,30697,100
16,T16,Xander Schauffele,96,306.8,56449,184
17,T16,Jason Kokrak,95,306.4,55771,182
18,18,Patrick Rodgers,76,306.3,42884,140
19,21,Jason Day,71,306.2,40421,132
T20,19,Bubba Watson,71,305.8,36086,118
T20,20,Jon Rahm,90,305.8,50767,166
22,22,Hudson Swafford,94,305.1,52477,172
23,25,Kevin Chappell,95,305.0,50022,164
24,23,Jamie Lovemark,98,304.9,56102,184
25,24,Smylie Kaufman,76,304.8,40842,134
26,26,Hideki Matsuyama,83,303.3,41247,136
27,27,Ryan Palmer,61,303.2,32140,106
28,28,Matt Jones,64,302.6,33891,112
29,29,Harold Varner III,101,302.4,57462,190
T30,31,Harris English,84,301.9,45890,152
T30,32,Sergio Garcia,65,301.9,32604,108
32,33,Tag Ridings,67,301.6,35583,118
33,30,Jhonattan Vegas,95,301.3,49414,164
34,34,Graham DeLaet,82,301.1,45769,152
T35,35,Nick Watney,75,300.9,41521,138
T35,36,Justin Rose,66,300.9,38517,128
T37,T37,Robert Garrigus,78,300.7,43307,144
T37,T37,Ollie Schniederjans,92,300.7,52321,174
39,39,Martin Flores,88,300.6,48705,162
40,40,Brendan Steele,89,300.4,48061,160
T41,T42,Rickie Fowler,78,300.3,43245,144
T41,41,Byeong Hun An,77,300.3,38443,128
43,T42,Billy Horschel,88,300.1,51610,172
