RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:ARG,MEASURED ROUNDS
T148,T156,Kevin Chappell,41,-0.158,-5.071,32
150,158,Mark Anderson,51,-0.171,-6.332,37
151,159,Corey Conners,74,-0.175,-10.854,62
T152,148,Joaquin Niemann,76,-0.188,-12.206,65
T152,160,Danny Willett,40,-0.188,-6.014,32
154,161,Ben Taylor,44,-0.192,-5.364,28
155,162,Chesson Hadley,62,-0.195,-8.965,46
156,163,Tyler Duncan,83,-0.202,-14.125,70
157,164,Tyler McCumber,57,-0.203,-7.709,38
158,165,Henrik Norlander,74,-0.204,-11.45,56
159,166,Bubba Watson,66,-0.209,-11.938,57
160,167,Gary Woodland,62,-0.21,-11.113,53
161,168,J.J. Spaun,62,-0.214,-10.283,48
162,169,Andrew Landry,63,-0.215,-12.038,56
163,170,Jason Kokrak,62,-0.227,-11.556,51
164,171,Dominic Bozzelli,38,-0.23,-5.53,24
165,172,Sung Kang,73,-0.231,-14.349,62
166,173,Chase Seiffert,56,-0.233,-8.389,36
167,174,Troy Merritt,72,-0.238,-13.104,55
168,182,Viktor Hovland,74,-0.243,-14.103,58
169,175,Robert Streb,54,-0.244,-7.809,32
170,176,Andrew Putnam,46,-0.246,-7.879,32
171,177,Max Homa,70,-0.248,-14.113,57
172,178,Martin Trainer,48,-0.253,-9.883,39
T173,T180,Vincent Whaley,40,-0.259,-7.257,28
T173,T180,Ben Martin,38,-0.259,-5.707,22
175,183,Cameron Percy,49,-0.264,-8.701,33
176,184,Louis Oosthuizen,48,-0.268,-10.708,40
177,185,Lucas Glover,67,-0.286,-14.317,50
178,186,Sepp Straka,70,-0.288,-17.834,62
T179,179,Cameron Champ,70,-0.293,-17.856,61
T179,187,Ryan Brehm,52,-0.293,-9.365,32
181,188,Danny Lee,69,-0.296,-16.276,55
182,189,Rafa Cabrera Bello,53,-0.328,-12.804,39
183,190,Doc Redman,82,-0.332,-23.27,70
184,191,Matthew Wolff,74,-0.337,-21.203,63
185,192,Scott Piercy,66,-0.355,-17.738,50
186,193,Paul Casey,56,-0.363,-15.969,44
187,194,Sam Burns,60,-0.394,-21.654,55
188,195,Matt Every,47,-0.395,-16.179,41
189,196,Michael Gellerman,46,-0.403,-12.102,30
190,197,Nelson Ledesma,42,-0.424,-10.17,24
191,198,Jim Herman,60,-0.431,-22.433,52
192,199,Keith Mitchell,64,-0.459,-22.943,50
193,201,Kris Ventura,48,-0.665,-18.632,28
