RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS
1,1,Jon Rahm,58,1.823,103.92,76.597,27.326,57
2,4,Justin Thomas,66,1.709,99.147,100.966,-1.816,58
3,7,Xander Schauffele,70,1.605,97.935,75.582,22.355,61
4,3,Webb Simpson,52,1.597,81.422,51.369,30.056,51
5,2,Bryson DeChambeau,62,1.566,97.074,56.3,40.776,62
6,5,Daniel Berger,64,1.56,87.337,57.892,29.45,56
7,6,Harris English,76,1.467,99.728,64.479,35.253,68
8,8,Tyrrell Hatton,42,1.431,48.637,36.234,12.403,34
9,9,Dustin Johnson,49,1.409,66.209,53.489,12.722,47
10,12,Patrick Cantlay,46,1.316,57.911,48.274,9.642,44
11,11,Patrick Reed,74,1.295,84.154,45.219,38.938,65
T12,13,Rory McIlroy,60,1.243,63.401,67.021,-3.618,51
T12,10,Tony Finau,72,1.243,73.346,65.102,8.246,59
14,14,Collin Morikawa,80,1.231,87.387,94.436,-7.044,71
15,17,Scottie Scheffler,82,1.078,75.461,79.194,-3.73,70
16,15,Matt Fitzpatrick,54,1.067,46.946,8.206,38.741,44
17,16,Hideki Matsuyama,74,0.964,58.815,87.431,-28.613,61
18,20,Harold Varner III,74,0.93,53.002,65.238,-12.233,57
19,21,Adam Scott,38,0.905,27.16,19.092,8.071,30
20,19,Abraham Ancer,74,0.897,50.241,31.89,18.354,56
21,T24,Russell Henley,67,0.853,49.492,60.399,-10.902,58
22,26,Jason Day,53,0.843,33.734,25.11,8.625,40
23,T24,Viktor Hovland,74,0.789,45.755,48.533,-2.776,58
24,28,Cameron Tringale,63,0.788,41.784,37.224,4.562,53
25,27,Sungjae Im,94,0.784,61.938,43.558,18.384,79
26,29,Gary Woodland,62,0.783,41.495,23.504,17.994,53
27,18,Billy Horschel,79,0.771,45.507,20.528,24.983,59
28,31,Brian Harman,78,0.767,54.466,32.611,21.859,71
29,22,Kevin Kisner,73,0.757,42.409,11.128,31.283,56
30,32,Bubba Watson,66,0.711,40.541,36.913,3.63,57
31,33,Rickie Fowler,44,0.71,29.111,20.204,8.908,41
32,34,Brendan Steele,68,0.708,39.626,32.586,7.045,56
T33,37,Sebastián Muñoz,84,0.691,53.922,49.608,4.319,78
T33,23,Kevin Na,71,0.691,40.753,-0.126,40.883,59
35,36,Ian Poulter,48,0.689,26.165,0.072,26.094,38
36,38,Matt Kuchar,56,0.677,33.15,-0.498,33.651,49
37,40,Alex Noren,60,0.651,29.304,11.318,17.987,45
38,35,Lanto Griffin,96,0.64,51.194,24.357,26.841,80
