RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS
1,1,Joe Durant,101,78.43,1102,1405
2,2,Fred Funk,106,78.01,1142,1464
3,3,Scott Verplank,88,75.23,899,1195
4,4,Heath Slocum,96,74.67,970,1299
5,5,Larry Mize,53,74.33,527,709
6,6,Omar Uresti,61,74.3,610,821
7,8,Steve Elkington,52,73.91,524,709
8,7,Jim Furyk,89,73.85,912,1235
9,9,Olin Browne,108,73.56,1071,1456
10,10,Paul Goydos,72,72.9,729,1000
T11,T11,Kirk Triplett,58,72.76,569,782
T11,T11,Bart Bryant,87,72.76,876,1204
13,13,Skip Kendall,72,72.08,723,1003
14,14,Jeff Maggert,81,71.86,812,1130
15,15,Daisuke Maruyama,83,71.75,790,1101
16,16,Briny Baird,81,71.39,766,1073
17,17,John Cook,67,70.65,657,930
18,18,Chris Riley,86,70.55,805,1141
19,20,Jerry Kelly,100,70.26,978,1392
20,21,Ian Poulter,53,70.19,511,728
21,22,Billy Mayfair,94,70.14,921,1313
22,23,Brian Davis,92,70.06,880,1256
23,24,Greg Kraft,79,70.01,733,1047
24,25,Tjaart van der Walt,60,69.69,554,795
25,26,Jerry Smith,94,69.66,893,1282
26,31,Zach Johnson,98,69.63,855,1228
27,28,Robert Gamez,94,69.51,912,1312
28,29,Mark Brooks,90,69.35,860,1240
29,30,Robert Allenby,79,69.33,746,1076
30,27,David Toms,76,69.18,671,970
31,32,Brian Gay,107,68.64,1022,1489
32,33,Ron Whittaker,81,68.57,755,1101
33,34,Kenny Perry,73,68.45,690,1008
34,35,Hunter Mahan,98,68.31,931,1363
35,36,David Branshaw,98,68.23,930,1363
36,37,Richard Johnson,94,67.99,888,1306
37,38,Kent Jones,103,67.95,954,1404
38,39,Duffy Waldorf,96,67.92,868,1278
39,40,Corey Pavin,74,67.66,659,974
40,41,Doug Barron,74,67.49,687,1018
41,42,Nicholas Thompson,96,67.44,874,1296
42,43,David McKenzie,82,67.41,751,1114
43,44,Shane Bertsch,104,67.35,955,1418
44,45,Tim Clark,80,67.27,740,1100
45,46,Justin Leonard,83,67.24,743,1105
46,47,Mark Wilson,79,67.23,712,1059
47,48,Greg Owen,79,67.13,721,1074
48,50,Brent Geiberger,99,67.04,907,1353
49,52,Steve Stricker,64,66.98,578,863
50,53,Ryan Moore,68,66.96,608,908
51,54,J.P. Hayes,55,66.88,513,767
52,51,Luke Donald,66,66.86,589,881
53,55,Jason Bohn,104,66.78,969,1451
54,56,Tommy Armour III,65,66.74,602,902
55,57,Frank Lickliter II,99,66.62,898,1348
56,49,Ben Curtis,86,66.61,800,1201
57,58,Alex Cejka,93,66.4,842,1268
58,59,Jeff Brehaut,100,66.17,884,1336
59,60,Padraig Harrington,54,66.14,463,700
60,61,Chris Smith,67,66.02,616,933
61,62,Ted Purdy,103,65.86,930,1412
62,63,Stephen Leaney,84,65.81,768,1167
63,64,Mike Sposa,68,65.71,596,907
64,65,Jeff Gove,91,65.65,795,1211
65,66,Steve Flesch,119,65.59,1052,1604
66,67,Joey Sindelar,90,65.58,823,1255
67,70,Jonathan Kaye,95,65.37,840,1285
68,71,Mark Calcavecchia,94,65.3,847,1297
69,72,Tom Pernice Jr.,108,65.28,944,1446
70,69,K.J. Choi,93,65.03,835,1284
71,73,Patrick Sheehan,104,64.99,906,1394
72,74,Scott Gutschewski,53,64.98,462,711
73,75,John Senden,96,64.95,843,1298
74,76,Todd Fischer,101,64.83,892,1376
75,77,Jeff Sluman,101,64.81,910,1404
76,78,Kevin Sutherland,100,64.52,862,1336
77,79,Steve Jones,83,64.51,738,1144
78,80,Chris DiMarco,83,64.34,702,1091
79,81,John Rollins,93,64.22,815,1269
80,82,J.L. Lewis,57,64.2,511,796
81,83,Peter Lonard,77,64.19,683,1064
82,84,Jonathan Byrd,66,64.15,587,915
83,85,Mike Weir,88,64.1,759,1184
84,86,Charles Warren,93,64.09,803,1253
85,87,Joe Ogilvie,95,64.07,815,1272
86,T88,D.J. Trahan,92,64.04,803,1254
T87,T90,Thomas Levet,53,64.01,457,714
T87,T90,Bob Estes,85,64.01,756,1181
89,92,Justin Rose,98,64.0,848,1325
90,94,Sean O'Hair,100,63.7,874,1372
91,T88,Lucas Glover,105,63.69,900,1413
92,95,Eric Axley,91,63.68,789,1239
93,96,Tim Petrovic,95,63.54,807,1270
94,97,Ben Crane,85,63.51,710,1118
95,98,Mathew Goggin,72,63.5,621,978
96,93,Dean Wilson,115,63.47,980,1544
97,99,Vaughn Taylor,88,63.31,780,1232
T98,T100,Rich Beem,85,63.24,733,1159
T98,T100,Arjun Atwal,97,63.24,836,1322
100,102,Nathan Green,108,63.1,915,1450
101,103,Stephen Ames,63,62.98,546,867
102,104,Robert Damron,91,62.93,798,1268
103,105,Will MacKenzie,91,62.91,770,1224
104,108,Billy Andrade,78,62.84,646,1028
105,109,Bubba Dickerson,98,62.81,841,1339
106,110,Paul Azinger,87,62.65,760,1213
107,113,Henrik Bjornstad,97,62.55,830,1327
108,111,Arron Oberholser,82,62.53,691,1105
109,114,Steve Lowery,99,62.52,844,1350
110,115,Mathias Grönberg,92,62.51,777,1243
111,116,Freddie Jacobson,56,62.45,489,783
112,117,Bernhard Langer,77,62.41,626,1003
113,118,David Howell,52,62.38,393,630
114,119,D.A. Points,82,62.37,696,1116
115,120,Trevor Immelman,86,62.08,745,1200
116,121,Ryan Palmer,101,62.03,856,1380
117,125,Adam Scott,70,62.0,589,950
118,122,Bob May,65,61.9,533,861
119,112,Geoff Ogilvy,76,61.89,609,984
120,123,Shaun Micheel,96,61.79,799,1293
121,124,Nick Watney,97,61.78,818,1324
122,106,Brett Wetterich,82,61.46,700,1139
T123,T126,Shigeki Maruyama,94,61.37,788,1284
T123,T126,Jesper Parnevik,84,61.37,718,1170
125,128,Paul Stankowski,70,61.23,597,975
