RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,EVENTS,AVG POINTS,TOTAL POINTS,POINTS LOST,POINTS GAINED,COUNTRY
1,1.0,Tiger Woods,40,22.61,904.29,-636.49,689.6,
2,2.0,Phil Mickelson,43,8.95,384.92,-258.92,358.7,
3,3.0,Jim Furyk,52,7.49,389.31,-329.07,235.36,
4,4.0,Ernie Els,56,7.08,396.54,-211.91,320.73,
5,5.0,Steve Stricker,41,6.99,286.46,-69.53,272.04,
6,6.0,Adam Scott,49,6.3,308.76,-250.55,193.56,
7,12.0,Justin Rose,52,6.14,319.31,-105.16,281.15,
8,7.0,Padraig Harrington,57,6.0,341.81,-200.91,233.44,
9,8.0,Rory Sabbatini,49,5.65,276.98,-124.9,271.96,
10,13.0,Vijay Singh,62,5.59,346.55,-296.79,314.57,
11,9.0,K.J. Choi,58,5.49,318.51,-143.22,280.97,
12,10.0,Sergio Garcia,51,5.43,276.73,-203.64,231.37,
13,11.0,Geoff Ogilvy,45,5.4,243.12,-204.67,178.6,
14,17.0,Ángel Cabrera,48,4.98,239.19,-121.4,205.48,
15,14.0,Zach Johnson,51,4.68,238.74,-124.26,233.63,
16,15.0,Henrik Stenson,52,4.52,235.03,-205.64,200.22,
17,16.0,Luke Donald,50,4.35,217.47,-201.87,149.87,
18,19.0,Aaron Baddeley,53,3.83,202.74,-86.45,201.78,
19,18.0,Trevor Immelman,52,3.8,197.48,-169.06,117.52,
20,20.0,Niclas Fasth,51,3.79,193.17,-102.33,172.08,
21,22.0,Stewart Cink,51,3.69,188.07,-118.67,143.38,
22,21.0,Retief Goosen,60,3.66,219.67,-272.52,153.77,
23,23.0,Paul Casey,54,3.63,196.26,-156.43,142.91,
24,24.0,Scott Verplank,49,3.6,176.17,-105.99,168.17,
25,33.0,Tim Clark,47,3.36,158.03,-132.58,119.8,
26,25.0,Andres Romero,47,3.27,153.6,-43.19,136.89,
27,26.0,Arron Oberholser,44,3.25,142.92,-82.45,113.86,
28,28.0,Ian Poulter,59,3.18,187.73,-120.69,127.04,
29,31.0,Lee Westwood,56,3.12,174.67,-92.05,136.49,
30,49.0,Stephen Ames,44,3.11,136.78,-94.89,113.96,
