RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,TOP 10,1ST,2ND,3RD
T1,T1,Vijay Singh,13,1.0,2.0,
T1,T1,Jim Furyk,13,2.0,4.0,3.0
3,3,Tiger Woods,11,8.0,1.0,1.0
T4,4,Brett Quigley,10,,,2.0
T4,T5,Luke Donald,10,1.0,,1.0
T4,T5,Adam Scott,10,1.0,3.0,3.0
7,T7,Lucas Glover,9,,,
T8,T9,Ernie Els,8,,,1.0
T8,T7,Phil Mickelson,8,2.0,1.0,
T8,T9,Trevor Immelman,8,1.0,2.0,
T11,T9,Stewart Cink,7,,1.0,
T11,T13,Tom Pernice Jr.,7,,1.0,
T11,T9,Steve Stricker,7,,1.0,1.0
T11,T13,Joe Durant,7,1.0,1.0,2.0
T15,T13,Mike Weir,6,,,1.0
T15,T13,Frank Lickliter II,6,,1.0,
T15,T13,Dean Wilson,6,1.0,1.0,
T15,T13,David Toms,6,1.0,1.0,1.0
T15,T26,Retief Goosen,6,,1.0,1.0
T15,T26,Stuart Appleby,6,2.0,,
T15,T13,Rod Pampling,6,1.0,,1.0
T15,T13,Daniel Chopra,6,,1.0,
T15,T13,Brett Wetterich,6,1.0,2.0,
T15,T13,Vaughn Taylor,6,,,1.0
T15,T13,Nick Watney,6,,,
T15,T13,Carl Pettersson,6,1.0,,
T15,T13,Nathan Green,6,,1.0,
T28,T26,Troy Matteson,5,1.0,1.0,
T28,T26,Jonathan Byrd,5,,,1.0
T28,T26,J.J. Henry,5,1.0,1.0,
T28,T26,Rory Sabbatini,5,1.0,2.0,
T28,T26,Justin Rose,5,,1.0,
T28,T26,Sergio Garcia,5,,,1.0
T28,T26,Geoff Ogilvy,5,2.0,1.0,
T28,T26,Chad Campbell,5,1.0,1.0,1.0
T28,T26,Charley Hoffman,5,,,
T28,T26,Jerry Kelly,5,,2.0,
T38,T38,Steve Flesch,4,,,2.0
T38,T38,Jesper Parnevik,4,,1.0,
T38,T38,Shigeki Maruyama,4,,,1.0
T38,T38,Woody Austin,4,,,
T38,T38,Joey Sindelar,4,,,
T38,T38,Jeff Sluman,4,,,1.0
T38,T38,Scott Verplank,4,,2.0,
T38,T38,José María Olazábal,4,,2.0,1.0
T38,T38,Tom Lehman,4,,1.0,
T38,T38,Davis Love III,4,1.0,1.0,
T38,T38,Billy Mayfair,4,,,2.0
T38,T38,Arron Oberholser,4,1.0,,
T38,T38,Daisuke Maruyama,4,,,1.0
T38,T38,Jason Gore,4,,,
T38,T38,John Rollins,4,1.0,,
T38,T38,Tim Clark,4,,1.0,
T38,T38,Ryan Palmer,4,,1.0,
T38,T38,Bo Van Pelt,4,,,
T38,T38,Ryan Moore,4,,1.0,
T38,T38,Camilo Villegas,4,,2.0,1.0
T38,T38,K.J. Choi,4,1.0,,
T38,T38,Zach Johnson,4,,2.0,1.0
T38,T38,Ian Poulter,4,,1.0,
T61,T61,Jason Bohn,3,,1.0,
T61,T61,Bubba Watson,3,,,1.0
T61,T61,Bubba Dickerson,3,,,
T61,T61,Richard Johnson,3,,1.0,
T61,T61,Ben Crane,3,,1.0,
T61,T61,Joe Ogilvie,3,,,1.0
T61,T61,Ted Purdy,3,,,
T61,T61,Charles Howell III,3,,2.0,
T61,T61,Heath Slocum,3,,,2.0
T61,T61,Mathew Goggin,3,,1.0,
T61,T61,Briny Baird,3,,,
T61,T61,Ángel Cabrera,3,,,
T61,T61,Peter Lonard,3,,,
T61,T61,John Senden,3,1.0,,
T61,T61,Padraig Harrington,3,,1.0,
T61,T61,José Coceres,3,,,
T61,T61,Steve Lowery,3,,1.0,
T61,T61,Billy Andrade,3,,1.0,1.0
T61,T61,Fred Funk,3,,1.0,
T61,T61,Stephen Ames,3,1.0,,
T61,T61,Robert Allenby,3,,,
T61,T61,Dudley Hart,3,,,
T83,T83,Paul Goydos,2,,1.0,
T83,T83,Brandt Jobe,2,,,
T83,T83,Jeff Brehaut,2,,,
T83,T83,Omar Uresti,2,,,1.0
T83,T83,J.P. Hayes,2,,1.0,
T83,T83,Kent Jones,2,,,
T83,T83,Justin Leonard,2,,,
T83,T83,Shaun Micheel,2,,1.0,
T83,T83,Chris DiMarco,2,,1.0,
T83,T83,John Cook,2,,,1.0
T83,T83,Fred Couples,2,,,1.0
T83,T83,Olin Browne,2,,,
T83,T83,Bart Bryant,2,,1.0,
T83,T83,Jeff Maggert,2,1.0,,
T83,T83,Bob Estes,2,,2.0,
T83,T83,Lee Janzen,2,,,1.0
T83,T83,Brian Gay,2,,,
T83,T83,Tim Herron,2,1.0,,
T83,T83,Craig Barlow,2,,,1.0
T83,T83,Doug Barron,2,,,
T83,T83,Jeff Gove,2,,,
T83,T83,Greg Owen,2,,1.0,
T83,T83,Gabriel Hjertstedt,2,,,
T83,T83,David McKenzie,2,,,
T83,T83,Alex Cejka,2,,,1.0
T83,T83,Stephen Leaney,2,,,
T83,T83,Lee Westwood,2,,,
T83,T83,Nick O'Hern,2,,1.0,
T83,T83,Aaron Baddeley,2,1.0,,
T83,T83,David Branshaw,2,,,
T83,T83,Freddie Jacobson,2,,,
T83,T83,Brian Davis,2,,,
T83,T83,Harrison Frazar,2,,,
T83,T83,Charles Warren,2,,,
T83,T83,Ben Curtis,2,2.0,,
T83,T83,Eric Axley,2,1.0,,1.0
T83,T83,Scott Gutschewski,2,,,
T83,T83,J.B. Holmes,2,1.0,,
T83,T83,Jeff Overton,2,,,
T83,T83,Hunter Mahan,2,,1.0,
T83,T83,Sean O'Hair,2,,,1.0
T83,T83,D.J. Trahan,2,1.0,,
T125,T125,Robert Garrigus,1,,,
T125,T125,Pat Perez,1,,,1.0
T125,T125,Will MacKenzie,1,1.0,,
