RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,GREENS HIT,# HOLES,RELATIVE/PAR
1,1,Tiger Woods,55,74.15,694,936,-0.34
2,2,Jeff Gove,91,72.03,1128,1566,-0.22
3,3,John Senden,96,71.15,1191,1674,-0.25
4,4,Jim Furyk,89,70.71,1120,1584,-0.29
5,5,Briny Baird,81,70.2,973,1386,-0.26
6,6,Joe Durant,101,69.75,1268,1818,-0.26
7,7,David Branshaw,98,69.67,1229,1764,-0.24
T8,T8,Steve Elkington,52,69.61,639,918,-0.21
T8,T8,Jonathan Byrd,66,69.61,827,1188,-0.3
10,10,Chris Smith,67,69.32,836,1206,-0.23
11,11,Arron Oberholser,82,69.27,985,1422,-0.26
12,12,Adam Scott,70,69.12,846,1224,-0.28
13,13,Bob May,65,69.09,771,1116,-0.25
14,14,Trevor Immelman,86,69.06,1069,1548,-0.28
15,15,Kenny Perry,73,68.75,891,1296,-0.22
16,16,Bart Bryant,87,68.67,1063,1548,-0.22
17,17,Joey Sindelar,90,68.64,1112,1620,-0.23
18,18,Greg Owen,79,68.54,950,1386,-0.25
19,20,Jonathan Kaye,95,68.42,1133,1656,-0.21
20,21,Kevin Sutherland,100,68.29,1180,1728,-0.25
21,22,Phil Mickelson,74,68.28,848,1242,-0.34
22,24,J.J. Henry,96,68.16,1141,1674,-0.26
23,19,K.J. Choi,93,68.12,1128,1656,-0.25
24,26,Steve Stricker,64,68.01,759,1116,-0.3
25,27,Will MacKenzie,91,67.99,1077,1584,-0.25
T26,T28,Frank Lickliter II,99,67.98,1187,1746,-0.27
T26,T28,Mark Wilson,79,67.98,930,1368,-0.27
28,30,Charles Warren,93,67.96,1101,1620,-0.25
T29,T31,Justin Rose,98,67.89,1161,1710,-0.29
T29,T31,Robert Allenby,79,67.89,941,1386,-0.3
T31,37,Vijay Singh,103,67.83,1221,1800,-0.29
T31,23,Brett Quigley,109,67.83,1282,1890,-0.26
33,25,Brett Wetterich,82,67.82,1001,1476,-0.3
34,33,Heath Slocum,96,67.8,1135,1674,-0.25
35,34,Alex Cejka,93,67.7,1109,1638,-0.26
36,36,Shaun Micheel,96,67.62,1132,1674,-0.26
37,38,Sergio Garcia,59,67.47,668,990,-0.26
38,35,Chad Campbell,91,67.43,1056,1566,-0.25
39,39,Hunter Mahan,98,67.4,1189,1764,-0.28
40,44,Lucas Glover,105,67.33,1224,1818,-0.3
41,40,Jeff Brehaut,100,67.3,1163,1728,-0.26
