RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,PAR OR BETTER,MISSED GIR
1,2,Corey Pavin,74,66.45,305,459
2,3,Steve Stricker,64,65.55,234,357
3,1,Luke Donald,66,65.45,252,385
4,4,Jim Furyk,89,64.66,300,464
5,5,Brian Gay,107,64.6,458,709
6,6,Steve Elkington,52,64.52,180,279
7,7,Omar Uresti,61,63.59,227,357
8,8,Paul Azinger,87,63.16,372,589
9,9,Tjaart van der Walt,60,62.91,229,364
10,10,Tiger Woods,55,62.81,152,242
11,11,Greg Owen,79,62.61,273,436
12,12,Scott Verplank,88,62.55,329,526
13,13,Jason Bohn,104,61.97,396,639
14,14,Brett Quigley,109,61.84,376,608
15,16,Nick Watney,97,61.15,362,592
16,18,Frank Lickliter II,99,61.0,341,559
T17,T19,Jerry Kelly,100,60.98,361,592
T17,T19,Nathan Green,108,60.98,422,692
19,21,Stephen Leaney,84,60.97,303,497
20,22,Jonathan Byrd,66,60.94,220,361
21,23,Shigeki Maruyama,94,60.86,367,603
22,24,Steve Flesch,119,60.8,428,704
23,25,Doug Barron,74,60.77,316,520
24,26,Ryuji Imada,105,60.68,392,646
25,27,Paul Goydos,72,60.67,273,450
26,28,Chris Riley,86,60.65,336,554
27,15,Stewart Cink,93,60.61,337,556
T28,T29,Jesper Parnevik,84,60.59,326,538
T28,T29,John Cook,67,60.59,246,406
30,31,Kevin Sutherland,100,60.58,332,548
31,32,Tim Petrovic,95,60.57,384,634
32,40,Trevor Immelman,86,60.54,290,479
33,33,Larry Mize,53,60.49,199,329
34,34,Brent Geiberger,99,60.46,370,612
35,35,Billy Mayfair,94,60.42,342,566
T36,T36,Padraig Harrington,54,60.38,189,313
T36,T36,Ian Poulter,53,60.38,192,318
38,38,David Branshaw,98,60.37,323,535
39,39,Vijay Singh,103,60.28,349,579
40,41,Bob Estes,85,60.12,306,509
41,42,Jerry Smith,94,60.11,333,554
42,43,Fred Funk,106,60.06,382,636
43,46,Woody Austin,107,59.94,431,719
44,47,Richard Johnson,94,59.83,344,575
45,48,Joe Ogilvie,95,59.79,342,572
46,49,Ryan Moore,68,59.77,257,430
47,50,Mike Sposa,68,59.63,257,431
48,T53,Bill Haas,99,59.55,368,618
49,55,Brian Davis,92,59.54,334,561
50,52,Rory Sabbatini,84,59.43,315,530
T51,58,Aaron Baddeley,78,59.37,339,571
T51,T53,Dean Wilson,115,59.37,412,694
53,45,Ernie Els,69,59.33,248,418
54,56,David Toms,76,59.29,249,420
55,60,Jeff Overton,95,59.21,344,581
56,57,Stuart Appleby,83,59.18,303,512
57,61,Bernhard Langer,77,59.1,263,445
T58,T62,Stephen Ames,63,59.09,221,374
T58,T62,Tim Clark,80,59.09,286,484
60,64,Patrick Sheehan,104,59.08,384,650
61,65,Duffy Waldorf,96,59.03,330,559
62,66,Chris DiMarco,83,59.02,278,471
63,67,John Huston,74,58.97,286,485
T64,T68,Dudley Hart,83,58.96,319,541
T64,T68,Charles Warren,93,58.96,306,519
66,51,Carl Pettersson,95,58.95,372,631
T67,44,K.J. Choi,93,58.9,311,528
T67,70,Mark O'Meara,52,58.9,215,365
69,59,Geoff Ogilvy,76,58.89,275,467
70,71,Michael Allen,84,58.87,332,564
71,T72,Jeff Sluman,101,58.86,372,632
72,74,Billy Andrade,78,58.84,263,447
73,75,Skip Kendall,72,58.82,250,425
74,76,Ryan Palmer,101,58.78,375,638
75,77,J.P. Hayes,55,58.76,208,354
76,78,J.L. Lewis,57,58.75,225,383
77,79,Justin Leonard,83,58.73,306,521
78,80,Jeff Gove,91,58.68,257,438
79,81,Mike Weir,88,58.67,301,513
80,85,Tom Pernice Jr.,108,58.58,389,664
81,82,Thomas Levet,53,58.47,183,313
82,83,Mark Wilson,79,58.45,256,438
83,86,Bubba Watson,83,58.35,276,473
84,87,Justin Rose,98,58.29,320,549
85,T72,Rod Pampling,89,58.2,330,567
86,88,John Senden,96,58.18,281,483
87,89,Peter Lonard,77,58.13,293,504
88,90,Greg Kraft,79,58.05,292,503
89,91,Matt Hansen,68,58.02,228,393
90,92,Danny Ellis,68,58.0,250,431
91,115,Adam Scott,70,57.94,219,378
92,93,Steve Jones,83,57.92,318,549
93,84,Chad Campbell,91,57.84,295,510
94,95,Brian Bateman,69,57.83,240,415
95,96,José María Olazábal,62,57.78,208,360
96,98,Harrison Frazar,95,57.72,340,589
97,99,Troy Matteson,101,57.68,353,612
98,109,Arron Oberholser,82,57.67,252,437
99,100,Bo Van Pelt,102,57.63,355,616
