RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL ROUNDS
1,1,Tiger Woods,55,68.115,3574,- 32.040,52
2,2,Jim Furyk,89,68.865,6112,- 51.924,88
3,3,Adam Scott,70,68.946,4761,- 72.696,68
4,4,Luke Donald,66,69.166,4414,- 56.571,63
5,5,Steve Stricker,64,69.372,4312,- 10.953,62
6,6,Phil Mickelson,74,69.5,4835,- 39.478,69
7,8,Trevor Immelman,86,69.507,6014,- 36.440,86
8,9,Vijay Singh,103,69.619,7021,- 59.080,100
9,7,Stewart Cink,93,69.66,6186,- 55.938,88
10,10,Ernie Els,69,69.756,4520,- 55.628,64
11,11,Arron Oberholser,82,69.858,5559,- 40.221,79
12,12,Robert Allenby,79,69.99,5427,- 37.777,77
13,13,Brett Quigley,109,70.025,7383,- 30.425,105
14,14,David Toms,76,70.089,4869,- 32.875,69
15,16,José María Olazábal,62,70.183,4123,- 52.395,58
16,17,Jonathan Byrd,66,70.19,4618,14.550,66
17,18,Ian Poulter,53,70.208,3694,- 43.206,52
18,15,K.J. Choi,93,70.213,6500,- 40.385,92
19,22,Stuart Appleby,83,70.251,5528,- 48.460,78
20,21,Mike Weir,88,70.255,6015,- 43.316,85
21,23,Lucas Glover,105,70.263,7127,- 30.454,101
22,31,Retief Goosen,68,70.291,4259,- 41.544,60
23,19,Rory Sabbatini,84,70.292,5876,- 41.751,83
24,20,Geoff Ogilvy,76,70.295,4983,- 62.378,70
25,25,Tom Pernice Jr.,108,70.321,7348,- 34.649,104
26,24,Padraig Harrington,54,70.334,3546,- 29.286,50
27,26,Justin Rose,98,70.401,6683,5.053,95
28,27,Zach Johnson,98,70.42,6235,- 38.042,88
29,28,Stephen Ames,63,70.436,4389,- 21.969,62
30,30,Rod Pampling,89,70.443,5962,- 44.804,84
31,29,Vaughn Taylor,88,70.457,6236,- 35.763,88
32,32,John Senden,96,70.478,6557,- 2.568,93
33,33,Kenny Perry,73,70.485,5108,- 33.081,72
T34,35,Frank Lickliter II,99,70.528,6836,5.204,97
T34,39,J.J. Henry,96,70.528,6588,- 28.936,93
36,36,Brian Gay,107,70.529,7524,22.645,107
37,37,Fred Funk,106,70.556,7444,- 35.609,105
38,38,Jason Bohn,104,70.557,7365,- 27.058,104
39,40,Sergio Garcia,59,70.567,3930,- 48.815,55
T40,T41,Bo Van Pelt,102,70.577,7221,- 22.175,102
T40,T41,Tim Clark,80,70.577,5612,- 36.391,79
42,43,Briny Baird,81,70.579,5429,5.593,77
43,34,Chad Campbell,91,70.585,6168,- 27.133,87
44,44,Charley Hoffman,100,70.631,6921,.828,98
45,46,Shaun Micheel,96,70.636,6595,- 25.831,93
46,T47,Jesper Parnevik,84,70.639,5934,- .301,84
47,50,Shigeki Maruyama,94,70.651,6506,- 6.145,92
48,T47,Carl Pettersson,95,70.654,6632,- 61.175,93
T49,49,Dean Wilson,115,70.67,7849,- 4.600,111
