RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:PUTTING,MEASURED ROUNDS
1,1,Ben Crane,85,0.849,51.778,61
2,2,Stewart Cink,93,0.789,57.589,73
3,3,Rod Pampling,89,0.759,49.332,65
4,6,Jim Furyk,89,0.743,50.539,68
5,4,Brad Faxon,78,0.726,53.012,73
6,5,Richard Johnson,94,0.725,61.593,85
7,7,Jesper Parnevik,84,0.699,51.007,73
8,8,Dean Wilson,115,0.661,61.488,93
9,T11,Brett Quigley,109,0.642,60.365,94
10,10,David Howell,52,0.637,19.096,30
11,T11,Steve Stricker,64,0.614,31.92,52
12,13,Aaron Baddeley,78,0.595,40.446,68
13,14,Daniel Chopra,110,0.585,52.636,90
14,15,Nathan Green,108,0.577,54.263,94
15,16,Len Mattiace,59,0.556,28.89,52
16,18,Brian Gay,107,0.548,54.848,100
17,19,Tom Pernice Jr.,108,0.541,47.062,87
18,9,Luke Donald,66,0.532,22.873,43
19,17,Geoff Ogilvy,76,0.473,24.601,52
20,20,Stephen Ames,63,0.462,20.307,44
21,21,Tiger Woods,55,0.461,17.042,37
22,T22,Michael Allen,84,0.414,29.777,72
23,24,Mark O'Meara,52,0.413,14.864,36
24,25,José María Olazábal,62,0.375,14.64,39
25,27,Vaughn Taylor,88,0.366,28.148,77
26,28,Vance Veazey,59,0.364,19.654,54
27,29,Larry Mize,53,0.363,14.872,41
28,26,Carl Pettersson,95,0.361,27.089,75
29,30,Brent Geiberger,99,0.36,32.401,90
30,31,Stephen Leaney,84,0.347,26.747,77
31,T22,David Toms,76,0.338,20.968,62
32,32,Tag Ridings,103,0.327,29.47,90
33,33,Freddie Jacobson,56,0.319,17.225,54
34,34,Paul Azinger,87,0.315,25.184,80
35,35,Bernhard Langer,77,0.3,17.698,59
36,36,Kent Jones,103,0.299,26.333,88
T37,T37,Todd Fischer,101,0.297,26.718,90
T37,T37,Ryan Moore,68,0.297,17.24,58
39,42,Mark Wilson,79,0.269,19.349,72
40,43,Phil Mickelson,74,0.268,12.573,47
T41,39,Davis Love III,85,0.266,15.181,57
T41,44,Greg Chalmers,71,0.266,15.18,57
43,40,K.J. Choi,93,0.255,20.157,79
44,45,Olin Browne,108,0.248,21.314,86
45,46,David McKenzie,82,0.246,16.942,69
46,50,Corey Pavin,74,0.226,12.863,57
47,51,Jimmy Walker,60,0.223,12.498,56
48,52,Jonathan Byrd,66,0.221,11.924,54
T49,53,Tim Clark,80,0.22,12.758,58
T49,49,Stuart Appleby,83,0.22,14.101,64
51,54,Marco Dawson,87,0.219,16.896,77
T52,T55,Danny Ellis,68,0.214,12.863,60
T52,T55,Harrison Frazar,95,0.214,16.032,75
T52,T55,Eric Axley,91,0.214,16.919,79
55,48,J.J. Henry,96,0.196,15.112,77
56,58,Ian Poulter,53,0.194,8.161,42
57,59,Arjun Atwal,97,0.19,15.575,82
58,60,Robert Allenby,79,0.188,11.272,60
T59,T61,Chris Smith,67,0.181,10.688,59
T59,T61,Greg Kraft,79,0.181,12.127,67
61,63,John Cook,67,0.18,9.876,55
62,47,Arron Oberholser,82,0.167,10.381,62
63,64,Shigeki Maruyama,94,0.162,12.978,80
64,T65,David Duval,71,0.157,8.331,53
65,68,Ted Purdy,103,0.145,11.622,80
66,69,Frank Lickliter II,99,0.14,11.865,85
T67,70,Jeff Sluman,101,0.138,11.427,83
T67,T65,Lucas Glover,105,0.138,11.844,86
69,71,Shaun Micheel,96,0.133,10.399,78
70,72,Tommy Armour III,65,0.13,6.863,53
71,67,Retief Goosen,68,0.129,5.912,46
72,73,Brandt Jobe,91,0.125,8.719,70
73,74,Charley Hoffman,100,0.123,10.959,89
74,75,Chris Riley,86,0.122,8.408,69
75,77,Tim Petrovic,95,0.12,9.92,83
76,78,Charles Howell III,96,0.11,8.713,79
77,79,Steve Flesch,119,0.108,11.104,103
78,80,Ron Whittaker,81,0.105,7.425,71
79,81,Billy Mayfair,94,0.103,7.905,77
T80,T82,D.A. Points,82,0.102,7.274,71
T80,T82,John Rollins,93,0.102,7.766,76
82,84,Skip Kendall,72,0.1,5.915,59
83,85,Fred Funk,106,0.096,8.135,85
84,87,J.L. Lewis,57,0.086,4.286,50
T85,T88,Duffy Waldorf,96,0.084,6.867,82
T85,T88,Doug Barron,74,0.084,5.604,67
T87,T90,Scott Verplank,88,0.081,5.505,68
T87,T90,Ryan Palmer,101,0.081,6.672,82
T89,93,Ben Curtis,86,0.077,5.126,67
T89,92,Shane Bertsch,104,0.077,6.901,90
91,94,Henrik Bjornstad,97,0.071,6.29,89
T92,T96,Jason Gore,86,0.065,4.715,72
T92,T96,Hunter Mahan,98,0.065,5.743,89
94,98,James Driscoll,80,0.064,4.839,76
95,99,Kevin Sutherland,100,0.063,5.48,87
96,100,Jason Schultz,77,0.06,3.873,65
97,101,Kirk Triplett,58,0.059,2.907,49
98,86,Trevor Immelman,86,0.058,4.243,73
99,76,Vijay Singh,103,0.055,4.638,84
100,102,Bo Van Pelt,102,0.047,4.247,90
101,95,Zach Johnson,98,0.045,3.45,77
102,103,Tjaart van der Walt,60,0.043,2.251,52
103,104,J.P. Hayes,55,0.038,1.905,50
104,105,Chris DiMarco,83,0.033,2.027,61
105,106,Ryuji Imada,105,0.032,2.77,87
106,107,Joe Ogilvie,95,0.023,1.812,78
107,108,Brian Bateman,69,0.022,1.277,59
108,109,Bob Estes,85,0.017,1.307,75
109,110,Jerry Kelly,100,0.01,0.839,84
110,111,Mike Sposa,68,0.002,0.096,58
111,112,"John Engler, Jr.",69,-0.001,-0.044,63
112,113,Briny Baird,81,-0.005,-0.368,70
113,132,Ernie Els,69,-0.007,-0.332,47
114,114,Alex Aragon,63,-0.011,-0.615,54
T115,T115,Troy Matteson,101,-0.014,-1.213,88
T115,T115,Dudley Hart,83,-0.014,-0.968,71
117,117,Justin Rose,98,-0.021,-1.802,86
118,118,Nick Watney,97,-0.022,-1.923,86
119,119,Mike Weir,88,-0.035,-2.181,63
T120,T120,Steve Jones,83,-0.036,-2.453,69
T120,T120,Ryan Hietala,61,-0.036,-1.817,51
122,122,Bob Tway,81,-0.047,-3.162,67
123,123,Justin Leonard,83,-0.051,-3.296,65
124,124,John Senden,96,-0.053,-4.179,79
125,125,Jeff Overton,95,-0.057,-4.985,87
126,127,Jason Bohn,104,-0.074,-6.558,89
127,128,Woody Austin,107,-0.078,-7.221,93
128,129,Rich Beem,85,-0.084,-5.435,65
129,130,Chad Campbell,91,-0.086,-5.749,67
130,131,Padraig Harrington,54,-0.092,-3.503,38
131,133,Hidemichi Tanaka,74,-0.099,-6.433,65
132,135,Tom Lehman,70,-0.109,-5.136,47
133,136,John Huston,74,-0.111,-7.225,65
134,137,Steve Lowery,99,-0.118,-9.771,83
135,138,Sergio Garcia,59,-0.123,-4.802,39
136,164,Adam Scott,70,-0.13,-6.607,51
137,139,Paul Stankowski,70,-0.134,-8.45,63
138,140,Kris Cox,83,-0.136,-9.812,72
139,141,Bart Bryant,87,-0.138,-9.828,71
140,134,Rory Sabbatini,84,-0.144,-9.237,64
T141,126,Brett Wetterich,82,-0.161,-11.749,73
T141,142,Jerry Smith,94,-0.161,-13.519,84
143,143,Todd Hamilton,72,-0.164,-9.195,56
144,144,Jeff Maggert,81,-0.168,-11.44,68
145,145,Sean O'Hair,100,-0.17,-12.908,76
146,146,Ian Leggatt,80,-0.172,-12.057,70
147,147,David Branshaw,98,-0.173,-15.052,87
148,148,D.J. Trahan,92,-0.179,-13.622,76
149,149,Daisuke Maruyama,83,-0.182,-12.708,70
150,150,Jeff Brehaut,100,-0.184,-15.608,85
151,151,Robert Gamez,94,-0.194,-15.875,82
152,152,Lee Janzen,79,-0.196,-13.321,68
153,153,Bubba Dickerson,98,-0.203,-17.453,86
154,154,Mathias Grönberg,92,-0.204,-16.125,79
155,155,Fred Couples,52,-0.214,-6.862,32
T156,T156,Paul Goydos,72,-0.215,-13.743,64
T156,T156,Carlos Franco,86,-0.215,-16.536,77
158,158,Patrick Sheehan,104,-0.223,-19.411,87
159,159,Robert Damron,91,-0.225,-18.409,82
160,160,Bill Haas,99,-0.228,-20.057,88
161,162,Mathew Goggin,72,-0.234,-13.553,58
162,163,Bob May,65,-0.238,-12.832,54
163,165,Billy Andrade,78,-0.248,-14.909,60
164,166,Jeff Gove,91,-0.26,-21.086,81
165,167,Bubba Watson,83,-0.268,-19.262,72
166,168,Mark Calcavecchia,94,-0.276,-21.787,79
167,169,Camilo Villegas,95,-0.278,-22.788,82
168,170,Scott Gutschewski,53,-0.288,-12.942,45
169,171,Craig Barlow,77,-0.292,-16.928,58
170,172,Heath Slocum,96,-0.299,-25.135,84
171,173,Roger Tambellini,64,-0.306,-16.211,53
172,174,Charles Warren,93,-0.311,-25.154,81
173,175,Jon Mills,68,-0.325,-17.544,54
174,176,Kenny Perry,73,-0.33,-19.786,60
175,177,Steve Elkington,52,-0.334,-15.369,46
176,178,Greg Owen,79,-0.348,-21.597,62
177,179,Robert Garrigus,85,-0.37,-27.35,74
178,180,J.B. Holmes,81,-0.374,-23.552,63
179,181,Joey Sindelar,90,-0.381,-28.95,76
180,182,Chris Couch,75,-0.386,-25.89,67
181,188,Joe Durant,101,-0.401,-38.499,96
182,183,"Wes Short, Jr.",96,-0.411,-34.951,85
183,184,Brian Davis,92,-0.42,-34.04,81
184,185,Michael Connell,51,-0.44,-18.483,42
185,186,Peter Lonard,77,-0.442,-29.194,66
186,187,Will MacKenzie,91,-0.443,-33.234,75
187,189,Mark Brooks,90,-0.508,-37.619,74
188,190,Jonathan Kaye,95,-0.563,-48.453,86
189,191,John Daly,51,-0.566,-23.186,41
190,192,Omar Uresti,61,-0.57,-29.09,51
191,193,Tim Herron,82,-0.579,-35.919,62
192,194,Pat Perez,50,-0.585,-24.559,42
193,195,Thomas Levet,53,-0.703,-33.723,48
194,196,Matt Hansen,68,-0.722,-41.883,58
195,197,Alex Cejka,93,-0.734,-58.71,80
196,200,Nicholas Thompson,96,-0.875,-68.25,78
