RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,PAR OR BETTER,MISSED GIR
1,1,Bob Estes,66,66.19,276,417
2,4,Steve Stricker,51,65.57,160,244
3,2,Chris Kirk,89,65.38,357,546
4,3,Stuart Appleby,88,65.21,343,526
5,5,Charles Howell III,87,64.83,330,509
6,6,Chris Stroud,88,64.6,365,565
7,7,Lee Williams,62,64.25,266,414
8,9,Matt Jones,83,63.98,325,508
9,10,Ben Crane,62,63.83,240,376
10,11,Brian Gay,79,63.8,393,616
11,12,Richard Lee,81,63.58,295,464
12,8,Matt Kuchar,93,63.55,340,535
13,13,K.J. Choi,85,62.98,325,516
14,14,Jerry Kelly,75,62.96,294,467
15,15,Martin Flores,83,62.91,324,515
16,16,Brendon de Jonge,110,62.56,386,617
17,18,Steven Bowditch,67,62.47,278,445
18,17,Bill Haas,85,62.01,302,487
19,20,Bryce Molder,82,61.76,323,523
20,21,Cameron Tringale,80,61.68,293,475
21,24,Lee Westwood,70,61.57,266,432
22,32,Luke Donald,60,61.52,243,395
23,25,Erik Compton,74,61.51,286,465
24,26,Jonas Blixt,76,61.5,329,535
25,27,Ian Poulter,59,61.49,214,348
26,19,Roberto Castro,97,61.47,351,571
T27,T28,Mark Wilson,56,61.39,194,316
T27,T22,Jason Day,86,61.39,310,505
29,30,Darron Stiles,51,61.26,204,333
30,33,Graeme McDowell,53,61.09,201,329
31,T22,Jordan Spieth,82,61.07,298,488
32,34,Keegan Bradley,88,60.88,319,524
33,31,Brandt Snedeker,79,60.86,297,488
34,36,"Ted Potter, Jr.",65,60.77,237,390
35,T28,Justin Rose,62,60.71,204,336
36,37,Jimmy Walker,84,60.62,311,513
37,38,Casey Wittenberg,72,60.59,289,477
38,39,David Lynn,70,60.52,282,466
39,41,William McGirt,75,60.47,283,468
T40,T42,Patrick Reed,83,60.44,327,541
T40,T42,Cameron Percy,68,60.44,246,407
42,44,Jeff Maggert,63,60.42,229,379
43,45,Brian Stuard,78,60.31,275,456
44,46,Tom Gillis,69,60.22,277,460
45,47,Tim Clark,64,60.19,251,417
46,55,Tiger Woods,61,60.0,210,350
47,48,Charlie Wi,75,59.92,302,504
48,49,Chez Reavie,72,59.86,258,431
T49,T51,Fabián Gómez,65,59.76,251,420
T49,T51,George McNeill,68,59.76,254,425
T51,40,Graham DeLaet,94,59.72,298,499
T51,53,David Toms,49,59.72,172,288
53,54,James Driscoll,76,59.7,280,469
T54,76,Zach Johnson,84,59.66,284,476
T54,56,Freddie Jacobson,63,59.66,247,414
56,57,Rickie Fowler,75,59.59,289,485
57,35,Jim Furyk,80,59.55,265,445
58,58,Aaron Watkins,46,59.53,178,299
59,59,Scott Langley,79,59.47,289,486
60,60,Dicky Pride,71,59.44,255,429
61,50,Kevin Streelman,86,59.42,309,520
62,61,John Huh,88,59.36,314,529
T63,T62,Troy Matteson,68,59.33,248,418
T63,T62,Greg Chalmers,77,59.33,299,504
65,64,Jin Park,52,59.27,195,329
66,65,Jeff Overton,78,59.23,292,493
67,66,Stephen Ames,49,59.18,203,343
T68,T67,Trevor Immelman,73,59.13,246,416
T68,T67,Daniel Summerhays,83,59.13,314,531
T70,77,Jason Dufner,78,59.11,266,450
T70,69,Mike Weir,60,59.11,266,450
72,71,Justin Leonard,86,59.02,337,571
T73,72,Brian Davis,91,58.87,365,620
T73,70,Hunter Mahan,91,58.87,292,496
75,73,Luke Guthrie,82,58.85,316,537
76,74,Chad Campbell,78,58.76,265,451
77,75,Brian Harman,89,58.74,336,572
78,84,Phil Mickelson,78,58.55,274,468
79,78,Shawn Stefani,63,58.5,241,412
80,79,David Lingmerth,68,58.44,263,450
81,80,Kevin Chappell,80,58.4,285,488
82,81,Peter Hanson,45,58.33,175,300
83,82,Jason Kokrak,78,58.3,281,482
84,83,Ernie Els,63,58.08,248,427
85,85,Morgan Hoffmann,64,57.99,236,407
T86,86,Robert Streb,75,57.95,255,440
T86,96,Webb Simpson,92,57.95,306,528
88,87,Andres Romero,63,57.91,238,411
89,88,D.H. Lee,65,57.79,230,398
90,89,David Hearn,88,57.78,323,559
91,90,Rory Sabbatini,86,57.77,275,476
92,91,Aaron Baddeley,68,57.72,288,499
T93,T92,John Rollins,77,57.71,247,428
T93,T92,Michael Thompson,66,57.71,262,454
95,94,Ryan Moore,72,57.68,263,456
96,95,Marc Leishman,77,57.64,279,484
97,97,Steve LeBrun,66,57.58,209,363
98,98,Tag Ridings,69,57.5,230,400
99,105,Sergio Garcia,65,57.45,212,369
100,99,Robert Karlsson,56,57.39,198,345
101,100,Alistair Presnell,59,57.36,222,387
102,107,Henrik Stenson,65,57.28,185,323
103,101,Vijay Singh,61,57.23,194,339
T104,T102,Brendan Steele,86,57.17,287,502
T104,T102,Russell Henley,80,57.17,287,502
106,104,Justin Bolli,59,57.14,220,385
107,108,Vaughn Taylor,50,56.95,172,302
