RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS
137,142,Brad Fritsch,81,58.06,623,1073
138,129,Jason Day,86,58.03,647,1115
139,143,Alistair Presnell,59,58.01,460,793
140,144,Rory McIlroy,56,57.92,446,770
141,145,Robert Allenby,58,57.87,452,781
142,146,Jeff Overton,78,57.83,628,1086
T143,T147,Ernie Els,63,57.72,501,868
T143,T147,Morgan Hoffmann,64,57.72,516,894
145,150,Ryan Palmer,79,57.69,634,1099
146,151,Gary Woodland,94,57.6,724,1257
147,152,Eric Meierdierks,48,57.5,368,640
148,153,Andres Romero,63,57.35,472,823
149,149,Phil Mickelson,78,57.3,624,1089
150,154,Stewart Cink,71,57.19,565,988
151,155,Erik Compton,74,56.89,586,1030
152,156,Jonas Blixt,76,56.54,601,1063
153,157,Tommy Gainey,84,56.34,662,1175
154,158,Peter Hanson,45,56.31,339,602
155,159,Freddie Jacobson,63,56.26,472,839
156,160,Ángel Cabrera,73,56.19,572,1018
157,161,Patrick Reed,83,56.13,650,1158
158,162,Sean O'Hair,56,55.66,433,778
159,163,Ryo Ishikawa,72,55.48,542,977
160,164,Michael Bradley,56,55.46,401,723
161,165,Troy Matteson,68,55.39,509,919
162,166,Robert Garrigus,69,55.37,500,903
163,167,Mike Weir,60,55.07,445,808
164,168,Shawn Stefani,63,54.97,481,875
165,169,Casey Wittenberg,72,54.61,533,976
166,170,James Driscoll,76,53.89,540,1002
167,171,Nicolas Colsaerts,50,53.8,354,658
168,172,Martin Flores,83,53.67,621,1157
169,173,Scott Piercy,78,53.57,563,1051
170,175,Tag Ridings,69,53.38,482,903
171,174,Dustin Johnson,71,53.36,524,982
172,176,Jason Kokrak,78,53.17,578,1087
173,177,Charles Howell III,87,53.11,631,1188
174,178,Steven Bowditch,67,53.04,480,905
175,179,Tim Herron,45,52.24,327,626
176,180,Jimmy Walker,84,52.18,610,1169
177,181,Bobby Gates,49,51.59,324,628
178,182,Seung-Yul Noh,71,51.5,481,934
179,183,Aaron Baddeley,68,50.71,465,917
180,184,Luke List,65,45.58,387,849
