RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,GREENS HIT,# HOLES,RELATIVE/PAR
1,1,Henrik Stenson,65,71.96,829,1152,-0.27
2,2,Steve Stricker,51,71.16,602,846,-0.3
3,3,Graham DeLaet,94,70.51,1193,1692,-0.25
4,4,Ricky Barnes,74,70.48,888,1260,-0.21
5,7,Bubba Watson,76,69.41,912,1314,-0.27
6,6,Boo Weekley,100,69.39,1249,1800,-0.24
7,8,Vijay Singh,61,69.13,759,1098,-0.16
8,9,Kevin Stadler,83,68.92,980,1422,-0.29
9,11,Justin Rose,62,68.89,744,1080,-0.26
10,10,Brendon de Jonge,110,68.84,1363,1980,-0.26
11,14,Adam Scott,61,68.8,743,1080,-0.27
12,12,Justin Hicks,79,68.59,926,1350,-0.23
13,13,Nick Watney,88,68.48,1060,1548,-0.24
14,15,Jim Furyk,80,68.3,959,1404,-0.25
15,25,Zach Johnson,84,68.14,1018,1494,-0.25
16,16,Jim Herman,59,67.98,673,990,-0.24
17,17,J.J. Henry,83,67.97,991,1458,-0.21
T18,T18,D.J. Trahan,48,67.87,562,828,-0.24
T18,T18,Pat Perez,69,67.87,843,1242,-0.27
20,20,Nicholas Thompson,99,67.85,1209,1782,-0.24
21,21,Bill Haas,85,67.79,1025,1512,-0.26
22,T22,Stewart Cink,71,67.76,866,1278,-0.24
23,24,Rory Sabbatini,86,67.75,1000,1476,-0.28
24,T22,Tiger Woods,61,67.59,730,1080,-0.31
25,27,Hunter Mahan,91,67.58,1034,1530,-0.26
26,26,Jason Dufner,78,67.53,936,1386,-0.24
27,31,Billy Horschel,96,67.48,1166,1728,-0.29
28,28,Steve LeBrun,66,67.47,753,1116,-0.22
29,33,Sergio Garcia,65,67.46,765,1134,-0.28
30,29,John Rollins,77,67.43,886,1314,-0.26
31,30,Henrik Norlander,70,67.4,825,1224,-0.24
32,32,Kyle Stanley,71,67.37,861,1278,-0.21
33,T35,Roberto Castro,97,67.3,1175,1746,-0.26
34,T35,Chad Campbell,78,67.03,917,1368,-0.24
35,37,Cameron Tringale,80,67.01,965,1440,-0.25
36,38,Gary Woodland,94,66.98,1085,1620,-0.28
37,T40,Jordan Spieth,82,66.94,988,1476,-0.3
38,39,Nicolas Colsaerts,50,66.78,565,846,-0.2
39,T55,Dustin Johnson,71,66.75,841,1260,-0.29
T40,T40,Camilo Villegas,79,66.74,901,1350,-0.27
T40,T40,Chez Reavie,72,66.74,865,1296,-0.25
42,43,Charles Howell III,87,66.73,1021,1530,-0.28
T43,57,Phil Mickelson,78,66.67,936,1404,-0.32
T43,T44,Webb Simpson,92,66.67,1056,1584,-0.27
45,T44,John Huh,88,66.6,1055,1584,-0.22
46,46,Brad Fritsch,81,66.59,923,1386,-0.27
47,47,Jeff Maggert,63,66.58,755,1134,-0.23
48,48,Eric Meierdierks,48,66.55,551,828,-0.21
49,53,Keegan Bradley,88,66.54,1042,1566,-0.29
T50,T49,John Merrick,79,66.53,946,1422,-0.26
T50,T49,Josh Teater,86,66.53,982,1476,-0.26
52,51,Richard Lee,81,66.52,922,1386,-0.24
53,52,Trevor Immelman,73,66.51,826,1242,-0.18
T54,54,Kevin Streelman,86,66.41,1028,1548,-0.25
T54,T55,Lucas Glover,65,66.41,777,1170,-0.21
T56,T58,Ryan Palmer,79,66.24,942,1422,-0.3
T56,T58,Mark Wilson,56,66.24,620,936,-0.21
58,60,Robert Garrigus,69,66.15,774,1170,-0.3
59,61,Michael Bradley,56,66.13,619,936,-0.19
60,62,Kevin Chappell,80,66.11,952,1440,-0.25
61,63,Jimmy Walker,84,66.07,999,1512,-0.29
62,65,Ryo Ishikawa,72,66.03,832,1260,-0.22
63,66,Harris English,95,66.02,1129,1710,-0.29
T64,T67,Matt Jones,83,66.0,986,1494,-0.27
T64,T67,Brandt Jobe,62,66.0,689,1044,-0.23
66,69,Brendan Steele,86,65.99,974,1476,-0.25
67,70,D.H. Lee,65,65.98,772,1170,-0.26
68,71,John Senden,79,65.95,926,1404,-0.22
69,72,Chris Kirk,89,65.92,1056,1602,-0.31
70,73,Andrew Svoboda,46,65.91,522,792,-0.24
71,74,K.J. Choi,85,65.87,996,1512,-0.22
72,64,Charl Schwartzel,69,65.85,806,1224,-0.31
73,77,Matt Kuchar,93,65.84,1031,1566,-0.29
74,76,Tag Ridings,69,65.81,770,1170,-0.25
75,78,Brian Stuard,78,65.77,876,1332,-0.25
76,79,Cameron Percy,68,65.74,781,1188,-0.24
77,80,Greg Owen,73,65.73,840,1278,-0.23
78,81,Will Claxton,67,65.7,745,1134,-0.21
79,75,Brandt Snedeker,79,65.68,934,1422,-0.3
80,82,Jason Kokrak,78,65.67,922,1404,-0.27
81,83,Bo Van Pelt,72,65.63,827,1260,-0.25
82,84,Robert Streb,75,65.57,838,1278,-0.24
83,85,Matt Every,89,65.54,1050,1602,-0.29
84,86,Martin Flores,83,65.53,979,1494,-0.26
85,87,Charley Hoffman,84,65.48,990,1512,-0.3
86,88,Rory McIlroy,56,65.45,648,990,-0.3
87,89,Jerry Kelly,75,65.41,883,1350,-0.25
88,90,William McGirt,75,65.33,882,1350,-0.26
89,91,George McNeill,68,65.28,799,1224,-0.25
90,92,Ben Kohles,75,65.26,834,1278,-0.22
91,93,Lee Westwood,70,65.22,810,1242,-0.23
92,94,Stuart Appleby,88,65.21,986,1512,-0.23
93,95,Erik Compton,74,65.09,867,1332,-0.25
94,96,Marc Leishman,77,65.08,902,1386,-0.24
95,97,Ángel Cabrera,73,64.99,854,1314,-0.24
96,98,Jason Day,86,64.93,935,1440,-0.28
97,99,Bob Estes,66,64.9,771,1188,-0.25
98,100,Jeff Overton,78,64.89,911,1404,-0.28
99,101,Martin Kaymer,61,64.85,677,1044,-0.24
100,102,Troy Matteson,68,64.81,770,1188,-0.22
T101,T103,David Hearn,88,64.71,1025,1584,-0.28
T101,T103,James Hahn,78,64.71,862,1332,-0.29
103,105,Morgan Hoffmann,64,64.67,745,1152,-0.29
104,106,Scott Stallings,79,64.63,919,1422,-0.26
105,107,Charlie Beljan,62,64.61,721,1116,-0.24
106,108,Rod Pampling,46,64.55,488,756,-0.24
107,109,"Ted Potter, Jr.",65,64.48,708,1098,-0.24
108,110,Daniel Summerhays,83,64.46,963,1494,-0.29
109,111,Jason Bohn,70,64.44,812,1260,-0.28
110,112,Dicky Pride,71,64.43,777,1206,-0.23
111,113,Doug LaBelle II,72,64.37,811,1260,-0.27
112,114,Johnson Wagner,64,64.35,695,1080,-0.19
113,115,Chris Stroud,88,64.33,1019,1584,-0.27
114,116,Ryan Moore,72,64.32,822,1278,-0.25
115,117,Seung-Yul Noh,71,64.26,775,1206,-0.25
116,118,Russell Henley,80,64.25,902,1404,-0.28
117,119,Scott Gardiner,61,64.12,681,1062,-0.24
T118,T120,Scott Brown,65,64.1,750,1170,-0.25
T118,T120,Fabián Gómez,65,64.1,750,1170,-0.27
120,122,Scott Langley,79,64.0,864,1350,-0.23
121,123,Ben Crane,62,63.98,668,1044,-0.23
122,124,Derek Ernst,58,63.89,667,1044,-0.23
123,125,Ben Curtis,59,63.84,655,1026,-0.2
124,126,James Driscoll,76,63.81,827,1296,-0.28
125,127,Patrick Reed,83,63.79,953,1494,-0.28
126,128,Bud Cauley,67,63.76,723,1134,-0.25
127,129,Sangmoon Bae,83,63.72,952,1494,-0.28
128,130,Bryce Molder,82,63.68,917,1440,-0.29
129,131,Shawn Stefani,63,63.67,722,1134,-0.25
T130,T132,David Toms,49,63.64,504,792,-0.24
T130,T132,Martin Laird,68,63.64,779,1224,-0.23
132,134,Luke Guthrie,82,63.62,939,1476,-0.24
133,135,David Mathis,71,63.6,767,1206,-0.23
134,136,Rickie Fowler,75,63.59,847,1332,-0.28
135,137,Vaughn Taylor,50,63.53,526,828,-0.28
136,138,Ian Poulter,59,63.52,606,954,-0.23
137,139,Jin Park,52,63.44,571,900,-0.23
138,140,David Lingmerth,68,63.24,774,1224,-0.26
139,141,Robert Karlsson,56,63.14,591,936,-0.22
140,142,Justin Leonard,86,63.11,977,1548,-0.28
141,143,Ken Duke,87,63.09,988,1566,-0.24
142,144,Bobby Gates,49,62.84,509,810,-0.2
143,148,D.A. Points,87,62.77,983,1566,-0.25
T144,T145,Y.E. Yang,56,62.7,632,1008,-0.23
T144,T145,Graeme McDowell,53,62.7,553,882,-0.23
146,147,Brian Harman,89,62.61,958,1530,-0.26
147,149,David Lynn,70,62.48,776,1242,-0.24
148,151,Robert Allenby,58,62.4,629,1008,-0.23
149,152,Luke List,65,62.39,685,1098,-0.26
150,153,Scott Piercy,78,62.3,841,1350,-0.28
151,154,Alistair Presnell,59,62.28,639,1026,-0.23
152,155,Aaron Watkins,46,62.25,493,792,-0.25
153,156,Darron Stiles,51,62.24,549,882,-0.23
154,157,Carl Pettersson,82,62.22,896,1440,-0.27
155,158,Geoff Ogilvy,57,62.18,638,1026,-0.21
156,150,Luke Donald,60,62.16,649,1044,-0.28
157,159,Brian Davis,91,62.15,1018,1638,-0.29
158,160,Casey Wittenberg,72,62.14,783,1260,-0.21
159,161,Tim Clark,64,62.02,681,1098,-0.25
160,162,Sean O'Hair,56,62.0,625,1008,-0.22
161,163,Steven Bowditch,67,61.97,725,1170,-0.27
162,164,Michael Thompson,66,61.78,734,1188,-0.22
163,165,Ernie Els,63,61.74,689,1116,-0.27
164,166,Colt Knost,69,61.71,722,1170,-0.24
T165,T167,Freddie Jacobson,63,61.67,666,1080,-0.27
T165,T167,Lee Williams,62,61.67,666,1080,-0.22
167,T169,Greg Chalmers,77,61.64,810,1314,-0.3
168,171,Andres Romero,63,61.3,651,1062,-0.29
169,172,Peter Hanson,45,61.24,474,774,-0.28
T170,T173,Justin Bolli,59,61.11,605,990,-0.23
T170,T173,Stephen Ames,49,61.11,539,882,-0.27
172,175,Tommy Gainey,84,61.04,923,1512,-0.25
173,176,Jonas Blixt,76,60.89,833,1368,-0.25
174,177,Padraig Harrington,52,60.88,537,882,-0.23
175,178,Tom Gillis,69,60.68,710,1170,-0.23
176,179,Charlie Wi,75,60.56,774,1278,-0.29
177,180,Tim Herron,45,59.75,484,810,-0.24
178,182,Aaron Baddeley,68,58.0,689,1188,-0.31
179,183,Mike Weir,60,56.9,594,1044,-0.27
180,184,Brian Gay,79,56.68,806,1422,-0.27
