RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG.,TOTAL DISTANCE,TOTAL DRIVES
1,1,Luke List,65,306.3,37365,122
2,3,Dustin Johnson,71,305.8,42809,140
3,2,Nicolas Colsaerts,50,305.7,28736,94
4,4,Gary Woodland,94,303.8,54376,179
5,5,Bubba Watson,76,303.7,44030,145
6,6,Jason Kokrak,78,303.2,47298,156
7,7,Robert Garrigus,69,302.4,39315,130
8,8,Rory McIlroy,56,302.2,33240,110
9,9,Eric Meierdierks,48,301.9,27773,92
10,10,Ryan Palmer,79,301.5,47329,157
11,11,Keegan Bradley,88,300.6,52302,174
12,12,Martin Flores,83,300.4,49874,166
13,13,Steven Bowditch,67,300.2,39029,130
14,14,Sean O'Hair,56,299.7,33561,112
15,15,Tag Ridings,69,299.6,38944,130
16,16,Jason Day,86,299.3,47589,159
17,17,Jim Herman,59,299.2,32913,110
18,18,Seung-Yul Noh,71,298.8,40045,134
19,T22,Graham DeLaet,94,298.6,55832,187
20,19,Jimmy Walker,84,298.5,50147,168
21,20,Scott Piercy,78,298.2,44430,149
22,21,Kyle Stanley,71,298.1,42332,142
23,24,Adam Scott,61,297.8,35733,120
24,T22,Robert Streb,75,297.7,42270,142
25,25,Shawn Stefani,63,297.2,37452,126
26,27,Brad Fritsch,81,297.0,45743,154
27,T30,Justin Rose,62,296.6,35301,119
28,28,Bobby Gates,49,296.2,26654,90
29,26,Charl Schwartzel,69,296.1,40271,136
30,29,Scott Stallings,79,295.7,46720,158
31,T30,John Rollins,77,295.6,43152,146
T32,T32,Morgan Hoffmann,64,295.4,37807,128
T32,T32,Charlie Beljan,62,295.4,36630,124
34,34,Peter Hanson,45,295.3,25099,85
35,35,Harris English,95,295.2,56092,190
36,36,Henrik Norlander,70,295.0,40114,136
37,37,Charles Howell III,87,294.8,50109,170
T38,T38,Steve LeBrun,66,294.1,36471,124
T38,T38,Troy Matteson,68,294.1,38818,132
T40,T40,Charley Hoffman,84,294.0,49394,168
T40,T40,Ángel Cabrera,73,294.0,42922,146
42,51,Billy Horschel,96,293.8,56406,192
T43,T42,Josh Teater,86,293.7,48173,164
T43,T42,Lucas Glover,65,293.7,38183,130
45,45,Cameron Percy,68,293.6,38751,132
T46,T46,D.J. Trahan,48,293.4,26992,92
T46,T46,Martin Laird,68,293.4,39903,136
48,48,James Hahn,78,293.3,43407,148
49,T42,Tiger Woods,61,293.2,35187,120
T50,T49,Rory Sabbatini,86,293.1,48064,164
T50,T49,Andres Romero,63,293.1,34588,118
52,52,Kevin Chappell,80,292.9,46861,160
53,53,Greg Owen,73,292.8,41575,142
54,54,Erik Compton,74,292.7,43318,148
55,55,Jeff Overton,78,292.4,45618,156
56,56,Matt Jones,83,292.3,48223,165
57,57,Brandt Jobe,62,292.1,33887,116
58,58,Patrick Reed,83,292.0,48472,166
59,59,Camilo Villegas,79,291.8,43763,150
60,60,Nicholas Thompson,99,291.6,57738,198
61,T61,Derek Ernst,58,291.5,33813,116
62,T63,Ryo Ishikawa,72,291.3,40206,138
63,65,Nick Watney,88,291.2,50093,172
T64,69,Sergio Garcia,65,291.0,36666,126
T64,66,Tommy Gainey,84,291.0,48888,168
T66,T63,Henrik Stenson,65,290.9,37239,128
T66,T67,Boo Weekley,100,290.9,58180,200
68,T67,Brendan Steele,86,290.7,47680,164
69,70,Lee Westwood,70,290.3,39775,137
70,71,Carl Pettersson,82,290.2,46429,160
T71,T72,Pat Perez,69,290.1,40037,138
T71,T72,Andrew Svoboda,46,290.1,25532,88
T73,82,Hunter Mahan,91,290.0,49004,169
T73,74,Stewart Cink,71,290.0,41178,142
