RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:PUTTING,MEASURED ROUNDS
1,1,Greg Chalmers,77,0.857,59.966,70
2,3,Steve Stricker,51,0.72,25.185,35
3,4,Stephen Ames,49,0.713,31.372,44
4,5,Brandt Snedeker,79,0.692,40.15,58
T5,2,Phil Mickelson,78,0.661,37.669,57
T5,6,Aaron Baddeley,68,0.661,38.976,59
7,7,James Driscoll,76,0.65,40.948,63
8,8,Russell Henley,80,0.609,40.206,66
9,9,Bryce Molder,82,0.594,42.205,71
10,11,Sergio Garcia,65,0.591,27.798,47
11,10,Richard Lee,81,0.564,40.621,72
12,13,Doug LaBelle II,72,0.545,32.18,59
13,12,Luke Donald,60,0.528,24.266,46
T14,T15,Peter Hanson,45,0.484,15.973,33
T14,T15,David Hearn,88,0.484,35.344,73
16,17,Harris English,95,0.477,39.119,82
17,19,Chris Kirk,89,0.456,36.956,81
18,20,Freddie Jacobson,63,0.449,20.669,46
19,21,Charles Howell III,87,0.438,35.056,80
20,22,Colt Knost,69,0.435,25.252,58
21,23,David Lynn,70,0.432,24.168,56
22,24,Brian Gay,79,0.428,30.362,71
23,14,Tiger Woods,61,0.426,18.333,43
24,25,Rickie Fowler,75,0.425,25.099,59
25,27,Aaron Watkins,46,0.402,14.068,35
26,18,Matt Kuchar,93,0.398,27.495,69
27,26,Hunter Mahan,91,0.382,25.964,68
28,29,Billy Horschel,96,0.381,31.619,83
29,T30,Sangmoon Bae,83,0.371,26.74,72
30,T35,Jason Day,86,0.37,22.546,61
31,T30,Zach Johnson,84,0.365,24.485,67
32,33,Stuart Appleby,88,0.353,27.895,79
33,34,Patrick Reed,83,0.35,25.875,74
34,T35,Justin Leonard,86,0.348,26.068,75
35,37,Chris Stroud,88,0.34,26.558,78
36,38,Shawn Stefani,63,0.338,16.905,50
37,39,K.J. Choi,85,0.337,21.244,63
38,40,Bob Estes,66,0.335,20.768,62
39,41,Ryan Palmer,79,0.333,22.968,69
40,42,Jeff Overton,78,0.315,23.314,74
41,48,Webb Simpson,92,0.313,21.939,70
42,43,Jonas Blixt,76,0.312,20.883,67
43,28,Charl Schwartzel,69,0.301,16.246,54
44,45,Mike Weir,60,0.288,13.544,47
45,46,Jimmy Walker,84,0.276,20.687,75
46,47,Johnson Wagner,64,0.271,14.096,52
47,32,Bill Haas,85,0.266,18.348,69
48,49,Casey Wittenberg,72,0.254,15.516,61
49,50,Keegan Bradley,88,0.25,18.002,72
