RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL ROUNDS
1,2,Steve Stricker,51,68.893,3252,- 14.042,47
2,1,Tiger Woods,61,68.944,4193,- 56.376,60
3,3,Justin Rose,62,69.225,4198,- 44.511,60
4,5,Henrik Stenson,65,69.248,4476,- 44.104,64
5,4,Adam Scott,61,69.3,4215,- 57.011,60
6,8,Sergio Garcia,65,69.543,4435,- 53.761,63
7,7,Matt Kuchar,93,69.561,6091,- 39.200,87
8,6,Charl Schwartzel,69,69.651,4791,- 54.726,68
9,11,Jordan Spieth,82,69.668,5738,- 25.220,82
10,10,Keegan Bradley,88,69.724,6091,- 25.013,87
11,9,Jason Day,86,69.732,5634,- 55.453,80
12,12,Phil Mickelson,78,69.742,5467,- 27.152,78
13,16,Webb Simpson,92,69.783,6183,- 42.076,88
14,13,Brandt Snedeker,79,69.791,5545,- 31.497,79
15,14,Luke Donald,60,69.793,4097,- 48.984,58
16,15,Jim Furyk,80,69.828,5497,- 50.441,78
17,17,Jason Dufner,78,69.912,5432,- 48.797,77
18,18,Bill Haas,85,70.023,5912,- 30.058,84
19,22,Zach Johnson,84,70.073,5845,- 28.937,83
20,19,Graham DeLaet,94,70.089,6599,- 10.604,94
21,21,Hunter Mahan,91,70.106,6003,- 44.004,85
22,20,Freddie Jacobson,63,70.108,4252,- 45.509,60
23,28,Dustin Johnson,71,70.115,4953,- 44.971,70
24,25,Brendon de Jonge,110,70.154,7701,15.926,110
25,23,Lee Westwood,70,70.158,4899,- 58.114,69
26,24,Ryan Palmer,79,70.167,5555,- 11.823,79
27,26,Chris Kirk,89,70.206,6231,17.375,89
28,27,Rickie Fowler,75,70.212,5245,- 49.294,74
29,34,Billy Horschel,96,70.244,6767,- 23.566,96
30,29,Matt Jones,83,70.245,5824,6.343,83
31,30,Kevin Streelman,86,70.267,6072,- 29.056,86
32,31,Charles Howell III,87,70.272,5956,17.151,85
33,32,Bubba Watson,76,70.276,5161,- 30.820,73
34,33,Rory McIlroy,56,70.288,3911,- 45.148,55
35,35,K.J. Choi,85,70.322,5946,- 38.979,84
36,36,Jimmy Walker,84,70.332,5914,- 6.143,84
37,37,Bob Estes,66,70.361,4648,- 4.150,66
38,38,Peter Hanson,45,70.368,3066,- 40.167,43
39,39,Ian Poulter,59,70.382,3772,- 41.729,53
40,40,Harris English,95,70.438,6694,- 2.362,95
41,41,Ernie Els,63,70.491,4416,- 45.539,62
42,51,Roberto Castro,97,70.494,6824,13.895,97
43,42,Charley Hoffman,84,70.497,5947,- 25.274,84
44,43,Graeme McDowell,53,70.503,3496,- 41.360,49
45,T44,Rory Sabbatini,86,70.511,5761,20.879,82
46,46,Bryce Molder,82,70.52,5621,20.597,80
47,47,Jerry Kelly,75,70.522,5291,- 1.868,75
48,48,Marc Leishman,77,70.532,5477,- 46.006,77
49,49,Chris Stroud,88,70.546,6206,2.036,88
50,50,Martin Kaymer,61,70.559,4148,- 55.551,58
51,52,Russell Henley,80,70.57,5531,- 26.561,78
52,53,Camilo Villegas,79,70.586,5291,2.921,75
53,54,Chez Reavie,72,70.6,5081,2.230,72
54,T44,Boo Weekley,100,70.611,7071,- 9.949,100
55,55,Morgan Hoffmann,64,70.613,4506,13.201,64
56,56,"Ted Potter, Jr.",65,70.615,4332,- 24.457,61
57,57,Kevin Stadler,83,70.632,5558,21.944,79
58,58,Stewart Cink,71,70.633,5052,- 37.080,71
59,59,Martin Flores,83,70.676,5847,19.119,83
60,60,Brian Davis,91,70.69,6440,- 7.182,91
61,61,Tim Clark,64,70.693,4330,- 17.754,61
62,62,Cameron Tringale,80,70.724,5651,6.897,80
63,66,Gary Woodland,94,70.733,6372,- 6.013,90
64,63,John Merrick,79,70.736,5587,1.116,79
65,64,David Hearn,88,70.738,6226,- 1.052,88
66,65,John Huh,88,70.758,6264,- 37.316,88
67,67,John Rollins,77,70.779,5155,11.876,73
68,73,Nick Watney,88,70.78,6103,- 15.925,86
69,68,Patrick Reed,83,70.807,5870,6.991,83
70,69,Daniel Summerhays,83,70.813,5863,14.441,83
71,70,Ryan Moore,72,70.825,5058,- 29.410,71
72,71,Stuart Appleby,88,70.834,5938,12.053,84
73,72,Pat Perez,69,70.835,4888,- .370,69
T74,T74,Jeff Overton,78,70.863,5514,13.287,78
T74,T74,Justin Leonard,86,70.863,6089,5.225,86
76,76,Ben Crane,62,70.864,4114,- 3.898,58
77,77,Brian Stuard,78,70.869,5244,.329,74
78,78,George McNeill,68,70.876,4823,- 3.417,68
79,79,James Driscoll,76,70.888,5110,- 6.090,72
T80,T80,Vaughn Taylor,50,70.897,3260,1.257,46
T80,T80,Ángel Cabrera,73,70.897,5206,- 30.550,73
82,82,Josh Teater,86,70.904,5840,- 25.838,82
83,83,Richard Lee,81,70.912,5452,8.231,77
84,84,Mark Wilson,56,70.916,3696,- 8.374,52
85,85,Nicholas Thompson,99,70.92,7020,1.109,99
86,86,Jason Kokrak,78,70.924,5522,10.079,78
87,87,Kevin Chappell,80,70.927,5685,- 10.820,80
88,88,John Senden,79,70.97,5574,- 38.313,78
89,89,J.J. Henry,83,70.992,5757,- 6.622,81
90,90,Vijay Singh,61,70.995,4366,- 35.278,61
91,91,David Lingmerth,68,70.996,4848,- 20.285,68
92,92,William McGirt,75,71.0,5315,10.010,75
93,93,Erik Compton,74,71.011,5251,3.777,74
94,94,David Lynn,70,71.016,4927,- 26.862,69
95,95,Padraig Harrington,52,71.017,3522,- 42.165,49
96,96,Matt Every,89,71.023,6306,15.013,89
97,97,Ken Duke,87,71.025,6198,- 18.811,87
98,98,Martin Laird,68,71.029,4880,- 49.995,68
