RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,1,Justin Rose,62,1.912,0.459,0.961,0.491,46
2,2,Tiger Woods,61,1.637,-0.142,1.533,0.247,43
3,3,Henrik Stenson,65,1.614,0.71,0.776,0.128,44
4,4,Steve Stricker,51,1.474,0.311,0.567,0.596,35
5,5,Adam Scott,61,1.337,0.734,0.548,0.055,44
6,6,Jim Furyk,80,1.297,0.023,0.95,0.323,64
7,7,Jordan Spieth,82,1.291,0.611,0.48,0.2,67
8,10,Bubba Watson,76,1.164,0.937,0.292,-0.065,59
9,9,Keegan Bradley,88,1.153,0.698,0.27,0.185,72
10,12,Lee Westwood,70,1.088,0.439,0.479,0.17,51
11,13,Rory McIlroy,56,1.077,0.624,0.42,0.032,41
T12,15,Bill Haas,85,0.999,0.365,0.346,0.289,69
T12,11,Matt Kuchar,93,0.999,-0.01,0.731,0.278,69
14,14,Graham DeLaet,94,0.969,0.488,0.64,-0.159,81
15,8,Charl Schwartzel,69,0.967,0.195,0.711,0.061,54
16,17,Webb Simpson,92,0.958,0.216,0.517,0.225,70
17,19,Roberto Castro,97,0.931,0.204,0.379,0.348,84
18,16,Sergio Garcia,65,0.928,0.131,0.538,0.259,47
19,23,Dustin Johnson,71,0.906,0.332,0.663,-0.09,51
20,22,Vijay Singh,61,0.851,0.371,0.501,-0.021,48
21,20,Jason Dufner,78,0.812,0.475,0.44,-0.103,61
22,26,Phil Mickelson,78,0.775,0.021,0.494,0.26,57
23,18,Boo Weekley,100,0.774,0.594,0.401,-0.221,83
24,25,Lucas Glover,65,0.765,0.541,0.307,-0.083,52
T25,24,Hunter Mahan,91,0.752,0.417,0.285,0.05,68
T25,21,Luke Donald,60,0.752,-0.459,0.583,0.628,46
27,28,Kevin Stadler,83,0.751,0.41,0.451,-0.11,69
28,29,Rory Sabbatini,86,0.743,0.273,0.468,0.002,72
29,30,Matt Jones,83,0.74,0.396,0.123,0.22,70
30,27,Brendon de Jonge,110,0.725,0.28,0.414,0.032,97
31,31,Kevin Chappell,80,0.722,0.276,0.37,0.077,67
T32,T35,Stewart Cink,71,0.654,-0.264,0.975,-0.058,56
T32,T35,Jimmy Walker,84,0.654,0.082,0.407,0.164,75
34,37,Freddie Jacobson,63,0.626,0.075,0.304,0.247,46
35,32,Kevin Streelman,86,0.611,0.406,0.214,-0.008,68
36,38,Camilo Villegas,79,0.608,-0.183,0.885,-0.095,64
37,33,Jason Day,86,0.606,0.452,-0.013,0.167,61
38,39,Robert Garrigus,69,0.553,0.509,0.571,-0.528,49
39,40,Ryan Palmer,79,0.55,0.411,0.461,-0.323,69
40,43,John Huh,88,0.525,0.179,0.155,0.19,75
41,44,Mark Wilson,56,0.51,0.185,0.252,0.072,50
42,45,K.J. Choi,85,0.508,0.096,0.154,0.258,63
T43,41,Nick Watney,88,0.506,0.461,0.362,-0.317,73
T43,46,Chris Kirk,89,0.506,-0.213,0.62,0.099,81
45,47,Nicholas Thompson,99,0.505,0.42,0.373,-0.288,86
46,48,Zach Johnson,84,0.479,0.181,0.251,0.047,67
47,49,John Rollins,77,0.47,0.164,0.409,-0.103,68
48,50,Brian Davis,91,0.458,0.051,0.222,0.185,83
49,T51,John Merrick,79,0.454,0.038,0.365,0.051,68
50,53,Charley Hoffman,84,0.45,0.333,0.262,-0.145,73
51,42,Brandt Snedeker,79,0.449,-0.025,0.121,0.354,58
52,54,Ernie Els,63,0.444,0.11,0.191,0.143,48
T53,T55,Bob Estes,66,0.424,-0.216,0.277,0.362,62
T53,T55,Charles Howell III,87,0.424,0.133,-0.084,0.374,80
55,57,Graeme McDowell,53,0.407,0.251,0.217,-0.061,37
56,T51,Gary Woodland,94,0.397,0.331,0.459,-0.392,83
57,58,Jerry Kelly,75,0.394,0.109,0.159,0.125,64
58,59,Matt Every,89,0.385,0.323,0.296,-0.234,80
59,60,Chez Reavie,72,0.383,0.381,0.186,-0.184,67
60,61,Ryan Moore,72,0.377,0.232,0.007,0.139,57
61,62,Rickie Fowler,75,0.358,0.143,0.141,0.074,59
62,63,Kyle Stanley,71,0.351,0.64,0.419,-0.708,60
63,64,Martin Flores,83,0.346,0.136,0.092,0.118,76
64,65,Ian Poulter,59,0.337,0.2,-0.153,0.29,39
T65,T66,Pat Perez,69,0.323,-0.127,0.505,-0.055,64
T65,T66,Bud Cauley,67,0.323,-0.063,0.238,0.148,56
67,68,Josh Teater,86,0.316,0.365,0.083,-0.133,61
68,69,Nicolas Colsaerts,50,0.311,0.552,0.322,-0.563,36
69,70,Jason Kokrak,78,0.309,0.079,0.201,0.029,72
70,71,Ricky Barnes,74,0.306,-0.181,0.714,-0.227,65
71,72,Jim Herman,59,0.282,0.55,-0.091,-0.176,44
72,73,Chris Stroud,88,0.276,-0.578,0.52,0.333,78
73,74,Billy Horschel,96,0.275,0.465,-0.121,-0.069,83
74,75,Cameron Tringale,80,0.239,-0.079,0.169,0.149,75
75,76,Marc Leishman,77,0.237,-0.099,0.345,-0.009,64
76,77,Daniel Summerhays,83,0.232,-0.062,0.227,0.067,78
77,79,Luke Guthrie,82,0.219,-0.116,0.28,0.055,65
78,80,John Senden,79,0.216,0.344,-0.258,0.13,61
79,81,George McNeill,68,0.213,-0.012,0.255,-0.03,64
80,82,Chad Campbell,78,0.205,-0.286,0.525,-0.033,72
81,83,Ben Crane,62,0.175,-0.143,0.313,0.005,55
82,84,Brad Fritsch,81,0.166,0.005,0.313,-0.152,68
T83,78,D.A. Points,87,0.16,-0.194,0.191,0.163,68
T83,85,"Ted Potter, Jr.",65,0.16,0.166,0.046,-0.052,55
85,86,Scott Brown,65,0.151,0.338,-0.174,-0.014,55
86,87,Russell Henley,80,0.145,0.432,-0.053,-0.233,66
T87,T88,Harris English,95,0.136,0.115,0.098,-0.077,82
T87,T88,Ryo Ishikawa,72,0.136,0.11,0.191,-0.165,55
T87,T88,Martin Laird,68,0.136,0.389,-0.195,-0.058,53
90,91,Morgan Hoffmann,64,0.125,0.227,-0.344,0.242,53
91,92,Brandt Jobe,62,0.123,0.104,0.209,-0.191,53
92,93,Bo Van Pelt,72,0.111,0.186,0.025,-0.1,54
93,94,Scott Piercy,78,0.1,0.144,-0.038,-0.006,62
94,95,Tim Clark,64,0.086,0.048,0.087,-0.049,43
95,96,Justin Hicks,79,0.08,0.218,0.462,-0.6,66
