RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,PAR OR BETTER,MISSED GIR
1,1,Retief Goosen,56,66.13,205,310
2,3,José Coceres,68,65.01,275,423
3,4,Phil Mickelson,83,64.67,280,433
4,2,Stewart Cink,103,64.4,378,587
5,6,Jesper Parnevik,86,64.19,337,525
6,7,Kevin Sutherland,86,64.1,341,532
7,5,Ernie Els,62,64.07,230,359
8,8,José María Olazábal,56,63.82,224,351
9,9,Omar Uresti,85,63.81,365,572
10,T11,Kirk Triplett,88,63.6,311,489
11,10,Jay Haas,84,63.4,298,470
12,13,Kevin Na,100,63.28,386,610
T13,T11,Rory Sabbatini,89,63.17,343,543
T13,14,Tom Byrum,83,63.17,343,543
15,15,Corey Pavin,83,63.08,340,539
16,17,David Peoples,82,63.01,327,519
17,16,Jerry Kelly,113,62.74,394,628
18,19,Skip Kendall,99,62.41,415,665
19,18,Vijay Singh,112,62.36,333,534
20,20,Loren Roberts,81,62.32,296,475
21,21,Nick Price,51,62.23,229,368
22,24,Ben Crane,92,62.06,368,593
23,T25,Matt Gogel,86,62.05,345,556
24,28,Bernhard Langer,59,61.92,213,344
25,29,Brad Faxon,94,61.87,383,619
26,30,Justin Leonard,90,61.85,321,519
27,T25,Scott Verplank,92,61.82,319,516
28,31,Bob Tway,90,61.78,333,539
29,32,Tom Pernice Jr.,103,61.76,365,591
30,33,Cameron Beckman,99,61.75,352,570
31,34,Mark O'Meara,58,61.73,242,392
32,35,Dan Forsman,79,61.52,315,512
33,36,Davis Love III,85,61.49,297,483
34,38,Brian Gay,96,61.44,400,651
35,39,Bob Estes,73,61.35,281,458
36,22,Shigeki Maruyama,93,61.33,360,587
37,40,Bob Burns,88,61.3,358,584
38,27,Chris DiMarco,105,61.27,356,581
39,23,Fred Funk,97,61.24,365,596
40,41,Tom Lehman,70,61.18,208,340
41,43,Tiger Woods,78,61.07,262,429
42,37,Carlos Franco,99,61.03,343,562
43,42,Stuart Appleby,84,61.02,299,490
44,44,David Frost,78,60.9,310,509
45,45,Rod Pampling,98,60.73,348,573
46,47,Brent Geiberger,94,60.64,342,564
47,48,Joe Ogilvie,104,60.62,411,678
48,49,Carl Pettersson,100,60.58,375,619
49,50,Tim Clark,84,60.54,313,517
50,51,Tim Petrovic,111,60.51,426,704
51,52,Dean Wilson,99,60.47,410,678
52,54,Brian Kortan,65,60.38,256,424
T53,T55,Patrick Sheehan,113,60.2,422,701
T53,T55,Chris Riley,78,60.2,301,500
55,46,Stephen Ames,97,60.19,325,540
56,57,Todd Fischer,104,60.18,399,663
57,58,Greg Chalmers,70,60.16,299,497
58,53,Darren Clarke,54,60.13,187,311
59,59,Robert Damron,92,60.1,360,599
60,60,Luke Donald,72,59.95,238,397
61,61,Charles Howell III,104,59.81,369,617
62,62,Justin Rose,77,59.67,250,419
63,63,Freddie Jacobson,83,59.65,306,513
64,64,Geoff Ogilvy,91,59.54,309,519
65,65,Craig Perks,75,59.5,285,479
66,66,Dennis Paulson,71,59.41,281,473
67,67,Olin Browne,92,59.35,292,492
68,68,Glen Day,101,59.32,404,681
69,76,Zach Johnson,109,59.29,367,619
70,69,Mathias Grönberg,91,59.27,342,577
T71,T70,Mark Calcavecchia,79,59.23,292,493
T71,T70,Michael Allen,87,59.23,324,547
73,73,Billy Andrade,104,59.22,395,667
74,74,Craig Bowden,83,59.21,328,554
T75,75,Steve Stricker,81,59.19,338,571
T75,T92,Mark Hensby,97,59.19,364,615
77,T70,Mike Weir,75,59.17,271,458
78,77,Lee Janzen,84,59.16,281,475
79,78,Arron Oberholser,77,59.12,256,433
80,79,Heath Slocum,92,59.1,315,533
T81,T81,John Cook,57,59.06,189,320
T81,T81,Robert Gamez,103,59.06,375,635
83,83,Scott Simpson,55,59.04,222,376
84,84,Craig Barlow,80,59.03,268,454
85,86,Joe Durant,85,58.92,241,409
86,87,Chad Campbell,100,58.89,318,540
87,88,J.P. Hayes,79,58.86,289,491
88,89,Jay Williamson,100,58.85,359,610
89,90,Bart Bryant,73,58.81,227,386
90,91,Jonathan Byrd,85,58.75,339,577
91,T92,Stephen Leaney,84,58.74,279,475
92,94,Paul Azinger,75,58.72,293,499
93,80,Todd Hamilton,92,58.71,347,591
94,95,Len Mattiace,75,58.7,324,552
95,96,Scott Hoch,52,58.68,169,288
96,97,Steve Allan,102,58.61,347,592
97,98,Steve Pate,71,58.53,254,434
98,99,Ted Purdy,114,58.51,385,658
99,100,Craig Parry,52,58.47,207,354
100,101,John Huston,62,58.41,184,315
T101,T102,Tim Herron,84,58.35,304,521
T101,T102,Deane Pappas,72,58.35,269,461
T101,T102,Bo Van Pelt,107,58.35,353,605
104,105,Neal Lancaster,106,58.29,369,633
105,106,Daniel Chopra,108,58.28,401,688
106,107,Esteban Toledo,92,58.2,376,646
107,108,Jeff Sluman,98,58.17,317,545
108,109,Hank Kuehne,91,58.15,346,595
109,110,Joey Sindelar,100,58.14,332,571
110,111,Richard Johnson,102,58.13,379,652
111,112,Matt Kuchar,83,58.11,301,518
112,113,Pat Bates,99,58.06,342,589
113,114,Ben Curtis,56,58.02,199,343
114,115,Brian Bateman,84,58.0,279,481
115,117,Duffy Waldorf,79,57.97,229,395
116,85,K.J. Choi,83,57.94,292,504
117,118,Brenden Pappas,111,57.92,417,720
118,119,J.J. Henry,103,57.9,359,620
T119,T120,Harrison Frazar,86,57.89,297,513
T119,T120,Hunter Mahan,94,57.89,356,615
121,122,John Rollins,90,57.77,331,573
122,123,Tag Ridings,53,57.76,186,322
123,124,Jay Delsing,76,57.73,269,466
124,125,Brett Quigley,102,57.71,348,603
125,126,J.L. Lewis,106,57.66,369,640
T126,T127,Scott McCarron,88,57.65,309,536
T126,T127,Ryan Palmer,103,57.65,358,621
128,129,Danny Briggs,85,57.63,268,465
129,130,Peter Lonard,68,57.6,254,441
130,116,Steve Flesch,109,57.5,372,647
131,131,Hidemichi Tanaka,89,57.46,312,543
132,132,Niclas Fasth,61,57.45,239,416
133,133,Danny Ellis,81,57.29,287,501
134,134,Cliff Kresge,89,57.28,354,618
135,135,Alex Cejka,76,57.02,260,456
136,136,Steve Elkington,64,56.99,212,372
137,137,Arjun Atwal,85,56.96,319,560
138,138,Shaun Micheel,93,56.93,308,541
139,139,Steve Lowery,91,56.75,328,578
T140,T140,Jeff Maggert,60,56.7,199,351
T140,T140,Frank Lickliter II,89,56.7,309,545
142,T142,David Toms,80,56.67,238,420
143,T142,John Senden,99,56.58,288,509
T144,161,Adam Scott,55,56.52,182,322
T144,144,Mark Brooks,72,56.52,286,506
146,145,Notah Begay III,71,56.37,230,408
147,146,Jonathan Kaye,79,56.33,258,458
148,147,Tommy Armour III,87,56.31,308,547
149,148,Billy Mayfair,109,56.23,361,642
150,149,Mark Wilson,62,56.2,195,347
151,150,Spike McRoy,93,56.17,323,575
152,151,David Morland IV,73,56.11,294,524
153,152,Aaron Baddeley,87,56.09,359,640
T154,T153,Blaine McCallister,68,56.05,250,446
T154,T153,John Riegger,53,56.05,176,314
156,155,Robert Allenby,93,55.96,263,470
157,156,Dicky Pride,66,55.9,237,424
158,157,Dudley Hart,60,55.8,202,362
T159,T159,Jeff Brehaut,106,55.54,351,632
T159,T159,Kent Jones,99,55.54,316,569
161,162,Jason Dufner,79,55.51,267,481
162,163,Rocco Mediate,53,55.37,165,298
163,158,John Daly,79,55.23,264,478
164,165,Jason Bohn,98,55.2,313,567
165,166,D.J. Brigman,79,55.13,258,468
166,167,Russ Cochran,61,55.07,201,365
167,168,Pat Perez,102,54.68,333,609
168,169,Rich Barcelo,67,54.57,227,416
169,170,Roland Thatcher,66,54.47,207,380
170,164,Kenny Perry,79,54.31,233,429
171,172,Vaughn Taylor,84,54.29,253,466
172,173,Ken Duke,89,54.27,324,597
173,174,Woody Austin,94,53.99,291,539
T174,T175,Tommy Tolles,67,53.91,248,460
T174,T175,David Branshaw,84,53.91,269,499
176,177,Roger Tambellini,81,53.58,277,517
177,178,Gene Sauers,83,53.43,296,554
178,179,Briny Baird,100,53.41,274,513
179,180,Kris Cox,73,53.29,259,486
180,181,Rich Beem,81,53.28,268,503
181,182,Grant Waite,79,53.17,268,504
182,183,Tom Carter,113,53.06,390,735
183,184,Hirofumi Miyase,65,53.01,238,449
184,185,Sergio Garcia,65,52.98,178,336
185,186,Guy Boros,64,52.69,235,446
186,187,Mike Heinen,53,52.11,185,355
187,188,Fred Couples,54,52.06,164,315
188,189,Andre Stolz,53,51.84,183,353
189,190,Lucas Glover,95,51.22,273,533
190,191,Dan Olsen,75,50.99,258,506
191,192,Chris Smith,105,50.54,283,560
192,193,Tripp Isenhour,55,50.0,175,350
193,194,Scott Hend,81,48.96,260,531
194,195,David Gossett,57,48.6,226,465
195,196,Kevin Muncrief,50,47.83,176,368
196,197,Chris Couch,55,42.78,166,388
