RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS
1,1,Fred Funk,97,77.23,1031,1335
2,2,Scott Verplank,92,77.13,978,1268
3,3,Craig Bowden,83,76.15,881,1157
4,4,Joe Durant,85,75.08,886,1180
5,5,Tom Byrum,83,74.67,861,1153
6,6,José Coceres,68,74.27,664,894
7,7,Bart Bryant,73,74.22,711,958
8,9,Olin Browne,92,73.53,900,1224
9,10,John Cook,57,73.41,541,737
10,11,Omar Uresti,85,73.13,868,1187
11,12,Hidemichi Tanaka,89,72.26,896,1240
12,13,Kirk Triplett,88,72.11,843,1169
13,14,Tim Clark,84,72.01,844,1172
14,16,Mark Wilson,62,71.96,621,863
15,15,Zach Johnson,109,71.91,1075,1495
16,17,Corey Pavin,83,71.88,790,1099
17,18,Jeff Brehaut,106,71.34,1033,1448
18,19,Heath Slocum,92,71.31,895,1255
19,20,Scott Simpson,55,70.72,541,765
20,21,Hirofumi Miyase,65,70.65,621,879
21,22,Jerry Kelly,113,70.4,1068,1517
22,23,Billy Mayfair,109,70.13,1026,1463
23,24,Ted Purdy,114,70.08,1094,1561
24,25,Robert Damron,92,70.02,897,1281
25,26,Rocco Mediate,53,69.92,465,665
26,27,Pat Bates,99,69.87,944,1351
27,28,Kent Jones,99,69.78,940,1347
28,29,Loren Roberts,81,69.77,764,1095
29,30,Tom Lehman,70,69.66,643,923
30,31,Luke Donald,72,69.61,701,1007
31,32,Notah Begay III,71,69.49,649,934
32,33,David Morland IV,73,69.35,706,1018
33,34,Jay Williamson,100,69.33,945,1363
34,35,Richard Johnson,102,69.27,983,1419
35,36,Jeff Maggert,60,69.25,581,839
36,37,John Rollins,90,69.13,822,1189
37,38,Arron Oberholser,77,68.83,700,1017
38,39,Scott Hoch,52,68.77,491,714
39,40,Kevin Na,100,68.72,916,1333
40,41,Duffy Waldorf,79,68.6,697,1016
41,43,Chris DiMarco,105,68.56,940,1371
42,42,Matt Gogel,86,68.48,804,1174
43,44,Nick Price,51,68.29,478,700
44,45,Dicky Pride,66,68.26,600,879
T45,T46,Skip Kendall,99,68.24,939,1376
T45,T46,Steve Elkington,64,68.24,578,847
47,48,Tom Pernice Jr.,103,68.17,940,1379
48,50,Jeff Sluman,98,67.88,915,1348
49,51,Esteban Toledo,92,67.78,850,1254
50,52,Craig Barlow,80,67.77,736,1086
T51,49,Mark Hensby,97,67.72,879,1298
T51,53,J.P. Hayes,79,67.72,707,1044
53,54,Justin Leonard,90,67.42,801,1188
54,55,Len Mattiace,75,67.18,700,1042
55,56,Bob Burns,88,67.17,806,1200
56,57,Kevin Sutherland,86,67.11,759,1131
57,58,Spike McRoy,93,67.09,848,1264
58,59,Mark O'Meara,58,67.0,542,809
59,60,Mark Brooks,72,66.84,653,977
T60,T61,Frank Lickliter II,89,66.61,800,1201
T60,T61,David Branshaw,84,66.61,762,1144
62,63,Cameron Beckman,99,66.54,889,1336
63,64,Guy Boros,64,66.33,593,894
64,65,Gene Sauers,83,66.16,747,1129
65,66,Brian Bateman,84,66.13,736,1113
66,67,David Frost,78,66.11,718,1086
67,69,John Huston,62,65.86,515,782
68,68,Steve Flesch,109,65.83,969,1472
69,70,Jason Bohn,98,65.81,872,1325
70,71,Joey Sindelar,100,65.64,896,1365
71,72,John Senden,99,65.62,880,1341
72,73,Glen Day,101,65.6,904,1378
73,74,J.L. Lewis,106,65.54,968,1477
74,T75,Danny Briggs,85,65.46,739,1129
75,77,Russ Cochran,61,65.42,558,853
76,78,Jay Haas,84,65.36,719,1100
77,79,Robert Gamez,103,65.18,934,1433
78,80,Bo Van Pelt,107,65.15,942,1446
79,81,Vaughn Taylor,84,65.12,743,1141
80,82,Pat Perez,102,65.04,908,1396
81,T75,Stephen Ames,97,65.03,861,1324
82,83,Robert Allenby,93,64.98,798,1228
83,84,Briny Baird,100,64.97,879,1353
84,85,Scott McCarron,88,64.91,777,1197
85,86,Brian Gay,96,64.83,848,1308
86,87,Roland Thatcher,66,64.82,597,921
87,88,Brent Geiberger,94,64.8,821,1267
T88,T89,Stephen Leaney,84,64.75,676,1044
T88,T89,Steve Pate,71,64.75,621,959
90,91,Jonathan Kaye,79,64.72,688,1063
91,92,J.J. Henry,103,64.55,925,1433
92,93,Mark Calcavecchia,79,64.48,697,1081
93,94,Lucas Glover,95,64.4,816,1267
94,95,Ben Crane,92,64.36,829,1288
T95,T96,Matt Kuchar,83,64.35,742,1153
T95,T96,Charles Howell III,104,64.35,906,1408
97,98,Ben Curtis,56,64.34,471,732
98,99,Dan Forsman,79,64.3,688,1070
99,100,Harrison Frazar,86,64.29,731,1137
100,102,Alex Cejka,76,64.21,626,975
101,101,Mike Weir,75,64.05,654,1021
T102,110,Chad Campbell,100,63.92,831,1300
T102,104,Bob Estes,73,63.92,629,984
104,105,D.J. Brigman,79,63.9,678,1061
T105,T106,David Peoples,82,63.74,712,1117
T105,T106,Bob Tway,90,63.74,761,1194
107,103,Shigeki Maruyama,93,63.7,823,1292
108,T108,Tim Petrovic,111,63.63,950,1493
109,111,Craig Parry,52,63.51,442,696
110,112,Blaine McCallister,68,63.44,602,949
111,T108,David Toms,80,63.37,654,1032
112,114,Woody Austin,94,63.25,828,1309
113,115,Ryan Palmer,103,63.24,879,1390
114,T116,Geoff Ogilvy,91,63.2,766,1212
115,118,Dudley Hart,60,63.13,512,811
116,119,Shaun Micheel,93,63.11,804,1274
T117,T120,Dean Wilson,99,63.01,867,1376
T117,T120,Brian Kortan,65,63.01,545,865
119,122,Patrick Sheehan,113,62.99,972,1543
120,124,Danny Ellis,81,62.94,676,1074
121,123,Phil Mickelson,83,62.85,692,1101
122,125,Cliff Kresge,89,62.84,761,1211
123,126,Mike Heinen,53,62.65,463,739
124,128,Bernhard Langer,59,62.57,478,764
125,113,Stuart Appleby,84,62.52,684,1094
126,T116,Retief Goosen,56,62.5,480,768
127,129,Jason Dufner,79,62.49,688,1101
128,131,Kenny Perry,79,62.48,661,1058
129,130,Tommy Armour III,87,62.37,759,1217
130,127,Darren Clarke,54,62.28,421,676
131,132,Hunter Mahan,94,62.24,816,1311
132,133,Lee Janzen,84,62.17,710,1142
133,134,Jay Delsing,76,62.11,631,1016
134,135,Jonathan Byrd,85,62.1,716,1153
135,136,Chris Riley,78,61.84,637,1030
136,137,Tripp Isenhour,55,61.74,455,737
137,138,Todd Fischer,104,61.73,876,1419
138,139,Rich Beem,81,61.72,661,1071
139,140,Greg Chalmers,70,61.66,600,973
140,141,Niclas Fasth,61,61.65,516,837
141,142,Brad Faxon,94,61.58,763,1239
142,144,Peter Lonard,68,61.5,567,922
143,145,Justin Rose,77,61.45,617,1004
144,146,John Riegger,53,61.35,454,740
145,147,Joe Ogilvie,104,61.31,873,1424
146,143,K.J. Choi,83,61.24,700,1143
147,148,Carl Pettersson,100,61.07,825,1351
148,150,Arjun Atwal,85,60.48,701,1159
149,151,Dennis Paulson,71,60.44,599,991
150,149,Vijay Singh,112,60.36,929,1539
151,152,Davis Love III,85,60.13,632,1051
152,153,Deane Pappas,72,60.08,587,977
153,154,Jesper Parnevik,86,59.98,718,1197
154,155,Rod Pampling,98,59.82,783,1309
