RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,1,Vijay Singh,112,2.339,0.87,1.116,0.352,89
2,2,Sergio Garcia,65,1.908,0.606,1.211,0.091,50
3,3,Ernie Els,62,1.776,0.622,0.709,0.445,41
4,4,Tiger Woods,78,1.529,0.321,0.873,0.335,54
5,5,Phil Mickelson,83,1.411,0.597,0.597,0.217,54
6,8,Justin Rose,77,1.296,0.283,0.882,0.131,63
7,7,Scott Verplank,92,1.274,0.319,0.971,-0.016,68
8,9,Jay Haas,84,1.233,-0.134,0.862,0.506,61
9,6,Kenny Perry,79,1.226,0.73,0.512,-0.017,62
10,15,Retief Goosen,56,1.197,0.379,0.604,0.213,40
11,10,Tom Lehman,70,1.184,0.392,0.596,0.196,58
12,11,Jeff Sluman,98,1.143,0.199,0.76,0.184,82
13,12,John Huston,62,1.127,0.205,0.701,0.221,45
14,17,David Toms,80,1.045,0.102,0.968,-0.024,59
15,16,Fred Couples,54,1.036,0.234,0.37,0.432,44
16,18,Scott Hoch,52,1.002,0.237,0.721,0.045,46
17,19,Robert Allenby,93,1.0,0.541,0.675,-0.215,72
18,13,Stewart Cink,103,0.973,-0.143,0.724,0.391,79
19,21,Rory Sabbatini,89,0.961,0.321,0.322,0.317,74
20,22,Joe Durant,85,0.956,0.692,0.453,-0.19,76
21,23,Jerry Kelly,113,0.947,0.081,0.616,0.25,88
22,14,Chris DiMarco,105,0.942,0.134,0.508,0.299,77
23,25,Davis Love III,85,0.879,0.491,0.232,0.156,61
24,26,Luke Donald,72,0.878,0.044,0.563,0.271,62
25,20,Stuart Appleby,84,0.866,0.538,0.066,0.263,59
26,24,Stephen Ames,97,0.851,0.218,0.712,-0.078,80
27,30,Bo Van Pelt,107,0.8,0.512,0.194,0.094,82
28,31,Lee Janzen,84,0.785,-0.167,0.692,0.26,70
29,27,Carlos Franco,99,0.779,0.13,0.413,0.236,90
30,32,Tim Clark,84,0.775,0.184,0.691,-0.099,71
31,33,Justin Leonard,90,0.75,0.035,0.379,0.336,65
32,34,Kirk Triplett,88,0.733,0.192,0.292,0.249,66
33,35,Chad Campbell,100,0.711,0.183,0.66,-0.132,77
34,28,John Daly,79,0.708,0.477,0.042,0.19,67
35,36,Bernhard Langer,59,0.7,0.029,0.616,0.055,42
36,37,Woody Austin,94,0.687,0.381,0.35,-0.045,83
37,40,Ben Curtis,56,0.669,0.171,0.274,0.223,41
38,41,Peter Lonard,68,0.659,0.365,0.294,0.001,54
39,42,Joey Sindelar,100,0.634,0.281,0.679,-0.327,89
40,43,Craig Barlow,80,0.633,0.383,0.028,0.222,69
41,39,Zach Johnson,109,0.629,0.567,0.128,-0.066,89
42,44,Tim Herron,84,0.618,0.225,0.212,0.182,66
43,45,Vaughn Taylor,84,0.615,0.207,0.426,-0.018,77
44,46,Duffy Waldorf,79,0.611,0.157,0.568,-0.114,59
45,47,Bart Bryant,73,0.61,0.226,0.484,-0.1,65
46,48,Ted Purdy,114,0.609,0.369,0.322,-0.081,103
47,29,Adam Scott,55,0.603,0.18,0.571,-0.147,40
48,49,Arron Oberholser,77,0.575,0.243,0.232,0.1,62
49,50,Dudley Hart,60,0.571,0.064,0.557,-0.051,46
50,38,Fred Funk,97,0.566,0.121,0.456,-0.011,83
51,52,Briny Baird,100,0.549,0.216,0.374,-0.041,81
52,53,Charles Howell III,104,0.541,0.428,0.018,0.095,76
53,51,Mike Weir,75,0.511,-0.029,0.351,0.19,55
54,54,Heath Slocum,92,0.51,0.13,0.257,0.123,83
55,56,Bob Estes,73,0.469,-0.273,0.48,0.262,51
56,57,J.J. Henry,103,0.458,0.574,-0.045,-0.071,91
57,58,John Senden,99,0.439,0.356,0.177,-0.094,86
58,59,Robert Damron,92,0.436,0.054,0.356,0.026,84
59,60,Robert Gamez,103,0.433,0.111,0.378,-0.056,90
60,61,Dennis Paulson,71,0.428,0.404,-0.053,0.077,66
61,62,Rod Pampling,98,0.42,0.183,0.014,0.223,78
62,63,Kevin Sutherland,86,0.419,0.241,-0.137,0.315,67
63,55,Shigeki Maruyama,93,0.417,-0.198,0.493,0.122,78
64,65,Alex Cejka,76,0.394,0.119,0.255,0.02,57
65,66,Geoff Ogilvy,91,0.378,0.305,0.008,0.064,76
66,64,K.J. Choi,83,0.367,0.009,0.338,0.02,63
67,68,Cameron Beckman,99,0.366,0.029,0.364,-0.026,87
68,69,Frank Lickliter II,89,0.356,0.328,0.191,-0.163,78
69,70,Kevin Na,100,0.345,0.09,0.115,0.14,86
70,71,Jason Bohn,98,0.337,0.369,0.119,-0.15,88
71,72,Notah Begay III,71,0.329,0.192,0.06,0.077,63
72,73,Tom Pernice Jr.,103,0.323,0.096,0.222,0.005,86
73,74,Billy Mayfair,109,0.312,0.242,-0.06,0.13,93
74,75,Pat Perez,102,0.301,0.329,0.06,-0.087,86
75,67,Steve Flesch,109,0.296,-0.066,0.24,0.121,82
76,76,Jesper Parnevik,86,0.294,0.27,-0.209,0.233,74
77,77,Jeff Maggert,60,0.283,0.157,0.303,-0.177,50
78,79,Mark Hensby,97,0.282,0.232,-0.072,0.122,82
79,78,Rich Beem,81,0.277,0.32,-0.11,0.067,61
80,80,Jonathan Kaye,79,0.262,0.278,0.08,-0.096,62
81,81,Tom Byrum,83,0.261,-0.043,0.174,0.13,72
82,82,Chris Riley,78,0.255,-0.235,0.192,0.297,53
83,83,Lucas Glover,95,0.243,0.564,0.036,-0.358,84
84,84,Mark Calcavecchia,79,0.242,0.212,0.069,-0.039,60
85,88,Darren Clarke,54,0.24,0.626,-0.033,-0.352,35
86,85,Nick Price,51,0.238,-0.301,0.182,0.357,36
87,86,Carl Pettersson,100,0.237,0.098,-0.04,0.179,79
88,87,Rocco Mediate,53,0.228,0.115,0.242,-0.13,36
T89,T89,José Coceres,68,0.22,0.113,0.022,0.085,61
T89,T89,Jason Dufner,79,0.22,0.083,-0.087,0.224,72
T91,T91,Harrison Frazar,86,0.212,0.273,-0.064,0.002,71
T91,T91,Glen Day,101,0.212,0.028,-0.072,0.256,88
93,93,Corey Pavin,83,0.205,-0.392,0.063,0.535,67
94,94,Neal Lancaster,106,0.202,0.118,0.133,-0.049,93
95,95,Brett Quigley,102,0.196,0.014,0.058,0.125,88
96,96,John Riegger,53,0.189,0.179,0.231,-0.221,49
97,97,David Peoples,82,0.185,-0.245,0.225,0.205,75
98,98,Loren Roberts,81,0.183,-0.351,0.277,0.257,68
T99,T99,Kent Jones,99,0.179,0.047,0.247,-0.116,87
T99,T99,Ryan Palmer,103,0.179,0.293,0.12,-0.235,90
101,101,Chris Smith,105,0.178,0.526,0.082,-0.43,93
T102,T102,Craig Parry,52,0.175,-0.133,-0.037,0.345,37
T102,T102,Omar Uresti,85,0.175,-0.194,0.147,0.221,76
104,104,J.L. Lewis,106,0.167,0.1,0.285,-0.219,89
105,105,D.J. Brigman,79,0.157,0.117,0.041,-0.002,69
106,106,Danny Briggs,85,0.154,0.043,0.298,-0.186,75
107,107,Brian Gay,96,0.147,-0.425,0.23,0.342,88
108,108,Steve Lowery,91,0.137,0.054,0.339,-0.255,74
109,109,Joe Ogilvie,104,0.134,0.15,-0.068,0.051,85
110,110,Jonathan Byrd,85,0.126,0.109,-0.347,0.364,73
111,111,Steve Allan,102,0.101,0.246,-0.058,-0.087,88
112,112,Tim Petrovic,111,0.096,-0.018,-0.146,0.26,87
113,114,Roland Thatcher,66,0.079,0.448,-0.057,-0.312,61
114,115,Shaun Micheel,93,0.073,0.017,-0.008,0.064,70
115,116,Mark Wilson,62,0.061,0.018,-0.078,0.121,58
116,117,Daniel Chopra,108,0.045,0.097,-0.046,-0.006,92
