RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL ROUNDS
1,1,Vijay Singh,112,68.839,7611,- 38.670,110
2,2,Ernie Els,62,68.981,4042,- 41.091,58
3,4,Tiger Woods,78,69.041,5017,- 46.045,72
4,3,Phil Mickelson,83,69.162,5501,- 37.221,79
5,5,Retief Goosen,56,69.316,3827,- 14.603,55
6,7,Sergio Garcia,65,69.803,4516,- 48.615,64
7,6,Stewart Cink,103,69.816,6800,- 27.878,97
8,8,Stephen Ames,97,69.897,6658,- 17.761,95
9,9,Scott Verplank,92,69.917,6372,- 9.510,91
10,11,David Toms,80,70.045,5226,- 42.646,74
11,14,Jay Haas,84,70.055,5559,- 24.663,79
12,17,Jerry Kelly,113,70.088,7655,- 15.432,109
13,10,Adam Scott,55,70.096,3675,- 30.012,52
14,12,Tom Lehman,70,70.101,4618,8.650,66
15,13,Luke Donald,72,70.114,5082,- 33.800,72
16,16,Davis Love III,85,70.134,5307,- 46.926,75
17,T19,Zach Johnson,109,70.176,7542,- 33.208,107
18,24,Mike Weir,75,70.197,5162,- 37.604,73
19,18,Jesper Parnevik,86,70.199,6034,3.087,86
20,21,Loren Roberts,81,70.217,5537,10.171,79
21,T19,Shigeki Maruyama,93,70.226,6497,- 36.184,92
22,23,Bo Van Pelt,107,70.245,7319,- 13.536,104
23,15,Kenny Perry,79,70.256,5359,- 19.579,76
24,22,Chris DiMarco,105,70.276,6912,- 24.999,98
25,25,Kirk Triplett,88,70.314,5900,6.372,84
26,26,Robert Allenby,93,70.322,6229,- 40.697,88
27,27,Darren Clarke,54,70.325,3399,- 23.391,48
28,28,Nick Price,51,70.376,3559,- 40.211,50
29,30,Justin Rose,77,70.423,5085,- 14.576,72
30,31,Corey Pavin,83,70.443,5582,- 17.034,79
31,29,Fred Funk,97,70.448,6776,- 13.005,96
32,33,Stuart Appleby,84,70.471,5514,- 17.226,78
33,37,Rory Sabbatini,89,70.505,6096,- 32.544,86
34,34,Tim Clark,84,70.526,5943,- 18.840,84
35,35,Bart Bryant,73,70.528,4852,14.465,69
36,32,K.J. Choi,83,70.536,5832,- 48.049,82
37,36,Tom Byrum,83,70.547,5868,- 12.565,83
38,38,Scott Hoch,52,70.568,3613,- 14.049,51
39,39,Duffy Waldorf,79,70.602,5146,7.936,73
40,40,Justin Leonard,90,70.609,6014,- 12.216,85
41,48,Mark Hensby,97,70.631,6582,- 13.320,93
T42,T41,Dennis Paulson,71,70.675,5048,- 30.096,71
T42,T41,Carl Pettersson,100,70.675,6835,20.464,97
44,43,Jeff Maggert,60,70.68,4265,- 24.184,60
T45,T44,Ted Purdy,114,70.686,7899,17.846,112
T45,T44,John Senden,99,70.686,6766,19.894,96
47,46,Freddie Jacobson,83,70.713,5665,- 7.948,80
48,47,Brad Faxon,94,70.719,6341,- 46.986,89
49,49,Jeff Sluman,98,70.738,6851,10.623,97
50,51,Joe Durant,85,70.749,5984,29.697,85
51,52,Rod Pampling,98,70.753,6642,8.796,94
52,53,Cameron Beckman,99,70.767,6774,19.602,96
53,50,Carlos Franco,99,70.768,6982,23.999,99
54,54,Lee Janzen,84,70.77,5807,- 3.888,82
55,55,Charles Howell III,104,70.773,7180,- 31.923,101
T56,T57,Bob Estes,73,70.787,5016,9.892,71
T56,T57,Tim Herron,84,70.787,5907,- 31.674,83
58,59,Briny Baird,100,70.788,6857,9.457,97
59,60,Geoff Ogilvy,91,70.803,6134,25.868,87
60,56,Chad Campbell,100,70.808,6606,- 20.861,93
61,63,John Daly,79,70.816,5594,.480,79
62,61,J.J. Henry,103,70.826,7307,- 11.929,103
63,64,Chris Riley,78,70.844,5259,- 16.520,74
64,62,Steve Flesch,109,70.846,7458,- 19.160,105
65,65,Brian Gay,96,70.85,6659,.881,94
66,66,Vaughn Taylor,84,70.865,5795,15.936,82
67,67,Brent Geiberger,94,70.876,6428,21.702,91
68,68,Jonathan Byrd,85,70.877,5895,- 12.220,83
69,69,Harrison Frazar,86,70.9,5777,36.804,82
70,70,Tim Petrovic,111,70.912,7617,- 29.457,107
71,71,Fred Couples,54,70.918,3716,- 28.264,52
72,72,Daniel Chopra,108,70.926,7506,12.207,106
73,73,Joe Ogilvie,104,70.933,7244,- 8.874,102
74,74,Kevin Sutherland,86,70.941,5826,- 8.872,82
75,75,Brian Bateman,84,70.95,5670,6.038,80
76,76,Tom Pernice Jr.,103,70.957,7014,10.734,99
77,78,Dudley Hart,60,70.976,4126,- 9.364,58
78,79,José Coceres,68,70.982,4534,8.864,64
79,80,Craig Barlow,80,70.988,5523,14.040,78
80,81,Peter Lonard,68,70.999,4735,- 49.094,66
81,82,Stephen Leaney,84,71.003,5358,- 32.746,75
82,83,Arron Oberholser,77,71.01,5195,- 11.237,73
83,84,Ben Crane,92,71.013,6512,21.214,92
84,85,Skip Kendall,99,71.032,7041,- 8.811,99
85,77,Todd Hamilton,92,71.036,6285,- 33.843,88
86,86,Matt Gogel,86,71.039,5965,2.266,84
87,87,Woody Austin,94,71.044,6672,6.101,94
88,88,Brett Quigley,102,71.048,6970,- 7.254,98
89,89,David Peoples,82,71.054,5672,12.352,80
90,90,Jason Bohn,98,71.057,6741,9.399,95
91,91,Kent Jones,99,71.058,6869,23.638,97
92,92,Shaun Micheel,93,71.059,6481,- 14.595,91
93,93,Frank Lickliter II,89,71.068,6116,- 4.127,86
94,94,Hidemichi Tanaka,89,71.075,6342,- 16.317,89
95,95,Mark Wilson,62,71.095,4400,7.894,62
96,96,Joey Sindelar,100,71.111,6969,- .141,98
97,97,Robert Gamez,103,71.113,7305,19.675,103
98,98,Bob Tway,90,71.114,6058,- 13.319,85
99,99,Mark Calcavecchia,79,71.115,5624,- 5.911,79
100,100,Patrick Sheehan,113,71.139,7879,17.421,111
101,101,Alex Cejka,76,71.153,5009,- 28.272,70
102,102,Todd Fischer,104,71.164,7246,12.682,102
103,103,Scott McCarron,88,71.188,6107,15.133,86
104,104,John Rollins,90,71.201,6075,- 22.925,85
105,105,J.L. Lewis,106,71.21,7521,27.310,106
106,106,Kevin Na,100,71.211,6807,29.242,96
107,107,Glen Day,101,71.217,7042,8.461,99
108,108,Bernhard Langer,59,71.246,3917,1.540,55
109,109,Notah Begay III,71,71.252,4762,11.884,67
110,110,Heath Slocum,92,71.262,6394,19.548,90
111,111,Neal Lancaster,106,71.271,7333,7.937,103
112,112,Ryan Palmer,103,71.273,7102,25.325,100
113,113,Steve Elkington,64,71.274,4353,- 5.278,61
T114,T114,Michael Allen,87,71.279,6041,17.735,85
T114,T114,Richard Johnson,102,71.279,7245,25.420,102
116,116,Pat Perez,102,71.282,7127,1.187,100
117,117,Hunter Mahan,94,71.307,6710,- 7.186,94
118,118,Steve Allan,102,71.316,7033,27.327,99
119,119,Olin Browne,92,71.321,6229,47.232,88
120,120,Mark O'Meara,58,71.324,4148,- 11.220,58
121,121,Jason Dufner,79,71.339,5625,10.792,79
122,122,Hank Kuehne,91,71.356,6342,8.697,89
123,123,Tag Ridings,53,71.38,3562,6.978,50
124,124,José María Olazábal,56,71.382,3715,- 3.128,52
125,125,Greg Chalmers,70,71.387,4974,23.077,70
126,126,Danny Briggs,85,71.39,5767,15.628,81
127,127,Dean Wilson,99,71.392,7041,26.773,99
128,128,Jay Williamson,100,71.404,6966,31.602,98
129,129,Craig Parry,52,71.414,3607,- 36.307,50
130,130,John Riegger,53,71.417,3775,10.121,53
131,131,Steve Lowery,91,71.418,6359,- 2.823,89
132,132,Billy Andrade,104,71.433,7410,19.012,104
133,133,Robert Damron,92,71.449,6571,2.314,92
134,134,Craig Bowden,83,71.453,5938,- 7.385,83
135,135,Jonathan Kaye,79,71.468,5433,- 1.459,76
136,136,Scott Simpson,55,71.474,3937,- 5.950,55
137,137,Danny Ellis,81,71.488,5482,22.545,77
138,138,Chris Smith,105,71.511,7487,21.700,105
139,139,Lucas Glover,95,71.534,6485,24.609,91
140,140,Bob Burns,88,71.55,6136,17.274,86
141,141,John Huston,62,71.566,3984,23.716,56
142,142,Matt Kuchar,83,71.574,5933,7.675,83
143,143,Ben Curtis,56,71.578,3744,- 21.925,52
144,144,Brenden Pappas,111,71.589,7685,46.633,108
145,145,Russ Cochran,61,71.591,4352,15.064,61
146,146,Billy Mayfair,109,71.607,7539,- 20.304,105
147,147,Aaron Baddeley,87,71.614,6115,- 27.790,85
148,148,Paul Azinger,75,71.625,5338,33.857,75
149,149,Deane Pappas,72,71.627,4989,24.904,70
150,150,Jay Delsing,76,71.633,5217,12.227,73
151,151,Steve Stricker,81,71.635,5573,14.509,78
152,152,Spike McRoy,93,71.647,6530,- 10.142,91
153,153,John Cook,57,71.685,3781,18.297,53
154,154,Arjun Atwal,85,71.688,5952,- 1.857,83
155,155,Omar Uresti,85,71.705,6064,30.944,85
156,156,Tommy Armour III,87,71.715,6225,14.248,87
157,157,Pat Bates,99,71.735,6923,35.337,97
158,158,Craig Perks,75,71.746,5166,- .262,72
159,159,Jeff Brehaut,106,71.747,7439,22.669,104
160,160,D.J. Brigman,79,71.748,5446,6.816,76
161,161,Roland Thatcher,66,71.751,4723,12.566,66
162,162,David Frost,78,71.752,5585,11.646,78
163,163,Mathias Grönberg,91,71.757,6238,4.852,87
164,164,Rich Beem,81,71.758,5543,- 17.653,77
165,166,Dan Forsman,79,71.828,5522,8.740,77
166,167,Rich Barcelo,67,71.857,4670,.676,65
167,168,J.P. Hayes,79,71.862,5366,23.632,75
168,169,Rocco Mediate,53,71.899,3440,11.153,48
169,170,Steve Pate,71,71.937,4938,25.637,69
170,171,David Branshaw,84,71.975,5881,20.940,82
171,172,Roger Tambellini,81,71.989,5623,- 7.855,78
172,173,Tom Carter,113,72.02,7913,9.154,110
173,174,Len Mattiace,75,72.028,5423,- 20.886,75
174,175,Kris Cox,73,72.052,5121,- 5.332,71
175,176,Niclas Fasth,61,72.063,4332,- 8.215,60
176,177,Scott Hend,81,72.109,5705,- 8.369,79
177,178,Mike Heinen,53,72.131,3821,1.969,53
178,179,Cliff Kresge,89,72.143,6279,- 2.523,87
179,180,Tripp Isenhour,55,72.157,3828,- 3.680,53
180,181,Tommy Tolles,67,72.218,4828,10.609,67
181,182,Blaine McCallister,68,72.239,4909,3.271,68
182,183,Ken Duke,89,72.247,6265,20.493,87
183,184,Grant Waite,79,72.271,5555,9.902,77
184,185,Brian Kortan,65,72.283,4476,5.539,62
185,186,Andre Stolz,53,72.341,3827,7.085,53
186,187,Esteban Toledo,92,72.359,6491,21.268,90
187,188,Dan Olsen,75,72.36,5270,12.307,73
188,189,Gene Sauers,83,72.39,5843,20.628,81
189,190,David Morland IV,73,72.411,5277,9.021,73
190,191,Mark Brooks,72,72.585,5076,4.932,70
191,192,Guy Boros,64,72.597,4637,9.231,64
192,193,Dicky Pride,66,72.906,4581,12.100,63
193,194,Hirofumi Miyase,65,73.087,4596,8.475,63
194,195,Chris Couch,55,73.464,4024,16.525,55
195,196,Kevin Muncrief,50,73.54,3662,14.985,50
196,197,David Gossett,57,75.013,4272,3.731,57
