RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG.,TOTAL DISTANCE,TOTAL DRIVES
1,1,Hank Kuehne,91,314.4,55959,178
2,2,Scott Hend,81,312.6,49389,158
3,3,John Daly,79,306.0,48347,158
4,4,Mike Heinen,53,305.2,32351,106
5,5,Chris Smith,105,304.0,63533,209
6,6,Lucas Glover,95,303.4,55212,182
7,7,Geoff Ogilvy,91,303.3,52776,174
8,8,Chris Couch,55,302.1,33230,110
9,9,Tiger Woods,78,301.9,43476,144
10,10,J.J. Henry,103,301.3,61762,205
11,11,Steve Allan,102,301.2,59631,198
12,13,Tag Ridings,53,301.0,30103,100
13,12,Vijay Singh,112,300.8,66184,220
T14,T14,Dennis Paulson,71,300.1,42613,142
T14,T14,Davis Love III,85,300.1,45012,150
16,16,Kris Cox,73,299.1,42475,142
17,17,Brenden Pappas,111,298.9,64570,216
18,18,Harrison Frazar,86,298.8,48995,164
19,19,Ernie Els,62,298.0,34569,116
20,20,Andre Stolz,53,297.9,31574,106
21,21,Roger Tambellini,81,297.8,46450,156
22,22,Rich Beem,81,296.7,45696,154
23,23,John Senden,99,296.6,56950,192
24,24,Tom Carter,113,296.5,65234,220
25,27,Dan Olsen,75,296.0,43213,146
T26,T25,Kenny Perry,79,295.9,44979,152
T26,28,Daniel Chopra,108,295.9,62721,212
28,29,Jonathan Byrd,85,295.8,49102,166
29,31,Ryan Palmer,103,295.6,59125,200
T30,T25,Adam Scott,55,295.4,30723,104
T30,30,Phil Mickelson,83,295.4,46670,158
32,32,Deane Pappas,72,295.3,41344,140
33,33,Sergio Garcia,65,295.1,37778,128
34,34,Robert Allenby,93,294.9,51894,176
35,T35,Fred Couples,54,294.5,30628,104
36,37,Bo Van Pelt,107,294.4,61243,208
37,38,Brett Quigley,102,294.3,57675,196
38,T35,Retief Goosen,56,294.2,32364,110
39,39,Scott McCarron,88,294.1,50581,172
40,40,Tim Herron,84,293.8,48775,166
41,42,Jason Bohn,98,293.3,55725,190
42,41,Stuart Appleby,84,293.2,45741,156
T43,T43,Roland Thatcher,66,293.1,38683,132
T43,T43,Rich Barcelo,67,293.1,38105,130
45,45,Hunter Mahan,94,293.0,55091,188
46,46,Vaughn Taylor,84,292.5,47975,164
47,47,Brian Kortan,65,292.4,36253,124
T48,T49,Rory Sabbatini,89,292.2,50252,172
T48,48,Brian Bateman,84,292.2,46744,160
T50,T49,Mathias Grönberg,91,292.1,50833,174
T50,T49,Rod Pampling,98,292.1,54918,188
52,52,Neal Lancaster,106,291.6,59773,205
53,53,Joey Sindelar,100,291.5,57125,196
T54,T54,Peter Lonard,68,291.4,38461,132
T54,T54,Pat Perez,102,291.4,58278,200
T56,T56,Mark Calcavecchia,79,291.3,45441,156
T56,T56,Brent Geiberger,94,291.3,53021,182
T56,T56,Woody Austin,94,291.3,54755,188
59,59,Cameron Beckman,99,291.2,55914,192
