RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS
1,1,Joe Durant,71,75.65,727,961
2,2,Heath Slocum,89,74.92,923,1232
3,3,Jerry Kelly,85,73.3,818,1116
4,4,Brian Gay,90,72.77,871,1197
5,6,Ben Curtis,66,71.91,663,922
6,5,David Toms,78,71.82,739,1029
7,7,Nick O'Hern,89,71.67,850,1186
8,8,Zach Johnson,79,71.06,776,1092
9,11,Billy Mayfair,94,70.41,885,1257
10,9,Brian Davis,105,70.33,1029,1463
11,12,Aron Price,58,70.29,511,727
12,10,Chris Riley,76,70.19,704,1003
13,13,Justin Hicks,60,69.88,508,727
14,14,Steve Elkington,50,69.58,485,697
15,16,Paul Goydos,81,69.0,779,1129
16,15,Rocco Mediate,53,68.91,512,743
17,21,Briny Baird,60,68.74,519,755
18,17,Jim Furyk,87,68.0,818,1203
19,25,Garrett Willis,71,67.85,652,961
20,20,Mark Wilson,89,67.63,819,1211
21,22,Jason Bohn,74,67.48,664,984
22,18,Stephen Ames,69,67.44,611,906
23,23,Johnson Wagner,81,67.35,724,1075
24,24,Chez Reavie,92,67.32,863,1282
25,19,John Merrick,71,67.31,593,881
26,26,Ben Crane,76,67.06,688,1026
27,27,Shane Bertsch,62,67.05,525,783
28,T32,John Rollins,85,66.84,772,1155
T29,41,David Mathis,83,66.82,719,1076
T29,40,John Senden,94,66.82,876,1311
31,30,Boo Weekley,66,66.74,578,866
32,28,Rod Pampling,72,66.7,597,895
33,T37,Chris DiMarco,93,66.67,828,1242
34,31,Bryce Molder,82,66.46,741,1115
35,35,D.A. Points,89,66.45,826,1243
36,29,J.J. Henry,96,66.43,851,1281
37,T32,Alex Cejka,59,66.42,544,819
38,36,Graeme McDowell,50,66.31,439,662
39,T37,Billy Horschel,75,66.22,637,962
40,39,Woody Austin,59,66.21,488,737
41,46,Kent Jones,76,66.13,654,989
42,34,Colt Knost,80,66.02,682,1033
43,43,Brandt Jobe,100,65.87,882,1339
44,42,Jason Dufner,78,65.81,714,1085
T45,45,Michael Connell,76,65.79,698,1061
T45,44,Blake Adams,116,65.79,1027,1561
47,49,Justin Leonard,82,65.29,745,1141
48,47,Dean Wilson,62,65.27,562,861
49,48,Chris Couch,73,64.96,660,1016
50,50,Brendan Steele,89,64.83,787,1214
51,T51,Ian Poulter,52,64.76,465,718
52,53,Matt Kuchar,94,64.75,799,1234
53,54,Tim Petrovic,88,64.73,758,1171
54,T51,Scott McCarron,65,64.63,550,851
55,57,Matt McQuillan,59,64.45,495,768
56,56,J.P. Hayes,56,64.36,484,752
57,62,Luke Donald,73,64.29,603,938
58,T65,Vaughn Taylor,89,64.22,797,1241
59,58,Tom Gillis,55,64.11,493,769
60,59,Brendon de Jonge,105,64.04,901,1407
61,60,Brandt Snedeker,85,64.02,758,1184
62,61,Adam Scott,60,63.98,531,830
63,55,Rich Beem,53,63.87,472,739
64,T69,Hunter Haas,96,63.76,818,1283
65,68,Kevin Streelman,90,63.72,801,1257
66,67,Pat Perez,76,63.64,674,1059
T67,T69,Bill Haas,93,63.59,819,1288
T67,T69,Bo Van Pelt,92,63.59,800,1258
69,64,Spencer Levin,113,63.53,965,1519
