RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,GREENS HIT,# HOLES,RELATIVE/PAR
1,1,Boo Weekley,66,71.68,800,1116,-0.23
2,3,Heath Slocum,89,71.4,1131,1584,-0.23
3,5,Joe Durant,71,71.26,885,1242,-0.18
4,2,Chad Campbell,99,71.13,1242,1746,-0.22
5,4,John Senden,94,70.86,1199,1692,-0.26
6,6,David Toms,78,70.2,935,1332,-0.27
7,7,Ernie Els,71,69.89,868,1242,-0.22
8,12,Webb Simpson,98,69.84,1232,1764,-0.32
9,8,Bubba Watson,85,69.83,993,1422,-0.29
10,10,Justin Rose,79,69.48,963,1386,-0.26
11,9,Bill Haas,93,69.44,1150,1656,-0.27
12,11,Gary Woodland,93,69.41,1162,1674,-0.28
13,13,Bill Lunde,92,69.38,1099,1584,-0.25
14,16,Brandt Jobe,100,69.16,1195,1728,-0.26
15,17,Briny Baird,60,69.14,672,972,-0.24
16,22,John Rollins,85,69.08,1032,1494,-0.26
17,18,D.J. Trahan,91,68.99,1130,1638,-0.23
18,15,J.J. Henry,96,68.96,1142,1656,-0.24
19,23,Charles Howell III,108,68.91,1290,1872,-0.25
20,25,Kris Blanks,92,68.89,1116,1620,-0.24
21,27,David Hearn,88,68.82,991,1440,-0.23
22,19,Hunter Mahan,92,68.79,1102,1602,-0.29
23,T31,Billy Mayfair,94,68.77,1114,1620,-0.24
24,21,John Merrick,71,68.69,779,1134,-0.25
25,20,William McGirt,103,68.63,1223,1782,-0.23
26,24,Chez Reavie,92,68.6,1136,1656,-0.26
27,26,Dustin Johnson,72,68.39,874,1278,-0.3
28,28,Davis Love III,70,68.25,860,1260,-0.25
29,35,Alexandre Rocha,65,68.23,700,1026,-0.19
30,29,Kyle Stanley,98,68.21,1105,1620,-0.28
31,40,Trevor Immelman,84,68.12,1030,1512,-0.24
32,30,Adam Scott,60,68.08,723,1062,-0.28
33,33,Kevin Stadler,88,68.06,980,1440,-0.26
34,T31,Bo Van Pelt,92,68.02,1102,1620,-0.26
35,34,Spencer Levin,113,67.99,1334,1962,-0.26
36,38,Jim Herman,69,67.94,746,1098,-0.21
37,44,Michael Bradley,74,67.62,852,1260,-0.25
38,36,Jim Furyk,87,67.57,1046,1548,-0.24
39,37,Robert Allenby,84,67.54,1009,1494,-0.24
40,42,Brian Davis,105,67.35,1273,1890,-0.27
41,51,Luke Donald,73,67.33,812,1206,-0.33
