RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:PUTTING,MEASURED ROUNDS
1,2,Luke Donald,73,0.87,45.224,52
2,1,Charlie Wi,83,0.808,62.204,77
3,3,Steve Stricker,70,0.78,41.332,53
4,4,Bryce Molder,82,0.77,54.667,71
5,5,Kevin Na,84,0.65,44.17,68
6,T7,Greg Chalmers,88,0.635,50.147,79
7,6,Freddie Jacobson,92,0.629,44.023,70
8,9,Brandt Snedeker,85,0.588,39.363,67
9,10,Zach Johnson,79,0.58,37.148,64
10,11,Jason Day,76,0.576,33.978,59
11,T7,Brian Gay,90,0.556,41.143,74
12,12,Ryan Moore,79,0.55,32.97,60
13,13,Nick Watney,80,0.546,33.88,62
14,14,Hunter Mahan,92,0.527,40.062,76
15,15,Scott McCarron,65,0.519,28.038,54
16,16,Geoff Ogilvy,69,0.517,27.923,54
17,17,Ángel Cabrera,50,0.509,17.831,35
18,18,Dean Wilson,62,0.492,28.04,57
19,19,Carl Pettersson,95,0.485,43.69,90
20,21,Blake Adams,116,0.475,49.894,105
21,20,Michael Thompson,79,0.448,30.897,69
22,23,David Toms,78,0.446,26.301,59
23,22,Matt McQuillan,59,0.436,20.905,48
24,28,Johnson Wagner,81,0.427,29.91,70
25,25,Michael Putnam,67,0.423,22.422,53
26,24,Nate Smith,66,0.411,21.759,53
27,30,Ben Martin,74,0.406,26.366,65
28,29,Andres Romero,77,0.4,27.229,68
29,26,Chris Couch,73,0.397,26.996,68
30,27,Charles Howell III,108,0.38,34.538,91
31,31,Matt Kuchar,94,0.379,26.909,71
32,32,Hunter Haas,96,0.364,30.913,85
33,33,Kevin Streelman,90,0.356,25.244,71
34,35,Rickie Fowler,84,0.351,23.157,66
T35,37,Aaron Baddeley,77,0.324,20.08,62
T35,39,Paul Stankowski,78,0.324,21.06,65
37,36,Steve Flesch,88,0.32,24.983,78
38,38,Steve Elkington,50,0.312,13.115,42
39,43,John Senden,94,0.302,24.446,81
40,47,Trevor Immelman,84,0.297,19.875,67
41,,Will Strickler,51,0.294,12.645,43
42,42,Brendon de Jonge,105,0.273,25.104,92
T43,49,Webb Simpson,98,0.271,22.508,83
T43,48,Colt Knost,80,0.271,18.143,67
45,44,Ian Poulter,52,0.27,10.533,39
46,46,Y.E. Yang,63,0.267,11.232,42
