RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,EVENTS,AVG POINTS,TOTAL POINTS,POINTS LOST,POINTS GAINED,COUNTRY
1,1.0,Tiger Woods,42,13.22,555.17,-228.59,442.45,
2,2.0,Adam Scott,41,9.25,379.42,-173.83,292.54,
3,3.0,Phil Mickelson,49,8.52,417.55,-159.17,346.85,
4,6.0,Henrik Stenson,52,8.23,428.07,-63.62,380.78,
5,5.0,Justin Rose,52,7.78,404.66,-211.34,281.16,
6,4.0,Rory McIlroy,48,7.5,360.19,-351.97,90.85,
7,9.0,Steve Stricker,40,6.88,275.04,-142.31,226.75,
8,7.0,Matt Kuchar,52,6.64,345.42,-171.44,290.53,
9,8.0,Brandt Snedeker,52,6.27,325.86,-186.59,240.39,
10,10.0,Jason Dufner,52,6.08,315.93,-164.51,210.65,
11,11.0,Graeme McDowell,52,5.52,287.2,-155.55,189.89,
12,12.0,Zach Johnson,52,5.52,286.87,-130.13,204.66,
13,13.0,Jim Furyk,50,5.21,260.35,-115.81,177.06,
14,15.0,Keegan Bradley,52,5.11,265.66,-172.28,178.95,
15,14.0,Luke Donald,51,5.1,259.87,-288.89,109.03,
16,16.0,Jason Day,45,4.91,220.75,-113.34,207.02,
17,18.0,Sergio Garcia,50,4.65,232.47,-153.79,154.26,
18,17.0,Lee Westwood,52,4.62,240.17,-207.05,133.55,
19,19.0,Charl Schwartzel,52,4.51,234.53,-156.17,138.49,
20,20.0,Ian Poulter,48,4.47,214.65,-139.62,99.38,
21,30.0,Jordan Spieth,40,4.37,174.84,-9.08,178.81,
22,21.0,Ernie Els,52,4.31,223.91,-127.45,128.31,
23,25.0,Dustin Johnson,48,4.26,204.58,-152.68,148.04,
24,28.0,Webb Simpson,52,4.18,217.59,-188.11,149.32,
25,22.0,Hunter Mahan,52,4.09,212.72,-147.88,160.81,
26,24.0,Bubba Watson,47,4.06,190.67,-160.33,91.56,
27,27.0,Nick Watney,52,3.99,207.25,-145.75,118.4,
28,23.0,Louis Oosthuizen,52,3.99,207.23,-183.23,70.0,
29,26.0,Bill Haas,52,3.96,206.14,-122.81,166.38,
30,29.0,Hideki Matsuyama,40,3.63,145.34,-30.79,124.45,
31,31.0,Matteo Manassero,52,3.1,161.4,-80.28,107.02,
32,33.0,Graham DeLaet,50,3.01,150.3,-26.61,136.63,
33,32.0,Rickie Fowler,50,2.98,148.86,-120.87,97.89,
34,42.0,Billy Horschel,52,2.91,151.44,-32.3,155.88,
35,35.0,Jonas Blixt,52,2.91,151.13,-50.45,112.87,
36,34.0,Branden Grace,52,2.9,150.89,-97.4,82.6,
37,38.0,Kevin Streelman,52,2.9,150.76,-46.71,156.05,
38,37.0,Richard Sterne,44,2.85,125.42,-34.62,115.35,
39,36.0,Peter Hanson,52,2.84,147.8,-139.61,47.05,
40,39.0,Scott Piercy,52,2.8,145.75,-86.28,91.87,
41,40.0,Bo Van Pelt,52,2.78,144.45,-135.72,52.7,
42,41.0,Martin Kaymer,52,2.77,144.26,-127.17,81.05,
43,43.0,Jamie Donaldson,48,2.66,127.69,-79.35,94.63,
44,46.0,Ryan Moore,48,2.62,125.68,-81.08,74.17,
45,44.0,Miguel Angel Jiménez,48,2.59,124.46,-65.53,77.56,
46,45.0,Thomas Bjørn,50,2.58,129.09,-86.25,96.79,
47,47.0,Francesco Molinari,52,2.56,132.86,-103.27,58.98,
48,49.0,Boo Weekley,52,2.47,128.21,-26.31,126.18,
49,48.0,Thorbjørn Olesen,52,2.46,127.74,-77.23,91.24,
50,52.0,D.A. Points,52,2.4,124.69,-54.22,117.87,
51,54.0,Nicolas Colsaerts,52,2.36,122.94,-98.87,63.96,
52,50.0,David Lynn,52,2.35,122.4,-75.04,81.62,
53,51.0,Ángel Cabrera,48,2.35,112.81,-29.53,112.87,
54,53.0,Gonzalo Fernandez-Castaño,52,2.29,119.08,-87.42,74.15,
55,55.0,Joost Luiten,52,2.24,116.46,-56.37,96.38,
56,56.0,Michael Thompson,52,2.21,115.11,-66.95,95.32,
57,57.0,Robert Garrigus,52,2.21,114.9,-86.85,53.58,
58,58.0,Thongchai Jaidee,52,2.19,113.94,-56.9,77.31,
59,60.0,Martin Laird,50,2.19,109.42,-75.77,84.59,
60,61.0,Bernd Wiesberger,52,2.16,112.46,-63.73,71.19,
61,59.0,Marc Leishman,52,2.16,112.1,-55.67,80.42,
62,68.0,Brendon de Jonge,52,2.14,111.21,-58.08,79.9,
63,62.0,Stephen Gallacher,50,2.14,106.84,-56.21,82.83,
64,63.0,Jimmy Walker,52,2.12,110.46,-54.0,92.95,
65,64.0,Tim Clark,41,2.11,86.32,-40.12,61.46,
66,74.0,Roberto Castro,52,2.09,108.89,-22.53,98.74,
67,65.0,Chris Wood,45,2.08,93.44,-44.86,78.12,
68,69.0,Patrick Reed,41,2.05,84.17,-7.25,81.27,
69,66.0,Paul Lawrie,51,2.05,104.49,-105.91,33.98,
70,67.0,Carl Pettersson,52,2.05,106.37,-102.89,38.61,
71,70.0,Harris English,52,2.0,103.82,-34.96,91.77,
72,71.0,Russell Henley,52,1.97,102.57,-37.56,89.16,
73,73.0,Mikko Ilonen,41,1.93,79.11,-16.47,76.15,
74,77.0,Freddie Jacobson,40,1.93,77.13,-80.69,65.71,
75,72.0,Marcel Siem,52,1.92,99.91,-66.78,58.66,
76,75.0,Alex Noren,47,1.91,89.61,-75.84,54.66,
77,76.0,John Merrick,52,1.91,99.08,-36.27,96.05,
78,79.0,Brett Rumford,52,1.85,96.33,-30.1,83.25,
79,78.0,Kyle Stanley,52,1.85,96.14,-72.23,71.94,
80,80.0,John Huh,52,1.83,95.08,-50.97,73.1,
81,81.0,Scott Stallings,52,1.82,94.81,-49.98,76.56,
82,90.0,Gary Woodland,52,1.82,94.7,-48.95,86.68,
83,82.0,George Coetzee,52,1.79,93.28,-80.17,53.37,
84,83.0,Shane Lowry,52,1.79,92.9,-62.53,47.72,
85,84.0,Ken Duke,52,1.78,92.39,-40.33,77.2,
86,85.0,Kiradech Aphibarnrat,52,1.77,91.95,-38.89,81.0,
87,86.0,David Lingmerth,52,1.77,91.83,-30.99,83.03,
88,87.0,Luke Guthrie,41,1.76,72.22,-32.24,48.96,
89,89.0,Chris Kirk,52,1.75,91.19,-55.84,74.67,
90,88.0,David Toms,40,1.75,70.09,-84.41,36.41,
91,91.0,Charles Howell III,52,1.74,90.37,-69.21,89.86,
92,92.0,Ryan Palmer,49,1.74,85.11,-53.44,68.47,
93,93.0,Kevin Chappell,52,1.71,88.9,-36.37,82.82,
94,95.0,Marcus Fraser,52,1.71,88.69,-68.36,46.53,
95,94.0,Padraig Harrington,52,1.66,86.08,-70.34,49.54,
