RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,1,Webb Simpson,98,1.492,0.476,0.755,0.261,83
2,2,Luke Donald,73,1.408,0.04,1.094,0.273,52
3,3,Phil Mickelson,79,1.373,0.14,0.9,0.333,58
4,4,Kyle Stanley,98,1.171,0.516,0.515,0.139,80
5,6,Nick Watney,80,1.165,0.543,0.604,0.018,62
6,7,Matt Kuchar,94,1.161,0.304,0.698,0.158,71
7,5,Gary Woodland,93,1.157,0.742,0.38,0.035,70
8,8,Dustin Johnson,72,1.125,0.912,0.195,0.019,54
9,9,Rory Sabbatini,85,1.122,0.218,0.657,0.248,61
10,10,Sergio Garcia,61,1.103,0.528,0.312,0.263,45
11,11,Bo Van Pelt,92,1.034,0.586,0.344,0.104,71
12,13,Robert Allenby,84,0.991,0.462,0.494,0.035,70
13,12,D.J. Trahan,91,0.984,0.565,0.405,0.015,83
14,14,Steve Stricker,70,0.95,0.047,0.538,0.364,53
15,16,Justin Rose,79,0.937,0.186,0.508,0.243,63
16,15,Chad Campbell,99,0.932,0.082,0.987,-0.137,87
17,17,K.J. Choi,77,0.915,-0.07,0.689,0.296,58
18,18,J.B. Holmes,57,0.912,0.726,0.388,-0.202,47
19,19,Charl Schwartzel,58,0.898,0.49,0.287,0.121,40
20,20,Adam Scott,60,0.882,0.793,0.102,-0.013,45
21,21,Ernie Els,71,0.865,0.121,0.635,0.109,59
22,22,Charles Howell III,108,0.86,0.168,0.333,0.358,91
23,23,David Toms,78,0.836,0.166,0.669,0.001,59
24,24,Martin Laird,77,0.835,0.499,0.234,0.103,62
25,25,Jason Dufner,78,0.833,0.515,0.248,0.069,65
26,26,Aaron Baddeley,77,0.824,0.19,0.196,0.438,62
27,29,Boo Weekley,66,0.818,0.683,0.492,-0.357,57
28,27,Jim Furyk,87,0.816,-0.017,0.643,0.19,70
29,28,Spencer Levin,113,0.806,0.097,0.508,0.202,94
30,30,Charley Hoffman,93,0.782,0.453,0.2,0.129,74
31,31,Bubba Watson,85,0.775,0.898,0.193,-0.317,59
32,33,John Rollins,85,0.773,0.647,0.124,0.002,72
33,32,Bill Haas,93,0.752,0.628,0.044,0.08,72
34,34,Vijay Singh,79,0.73,0.315,0.26,0.156,72
35,37,Davis Love III,70,0.708,0.245,0.528,-0.065,52
36,35,Ricky Barnes,78,0.704,-0.011,0.584,0.132,64
37,36,Hunter Mahan,92,0.691,0.371,0.066,0.254,76
38,38,John Senden,94,0.665,0.496,0.453,-0.283,81
39,39,Brian Davis,105,0.64,0.226,0.493,-0.079,92
40,41,Chris Kirk,87,0.634,-0.118,0.611,0.142,77
41,42,Joe Durant,71,0.629,0.382,0.494,-0.246,64
42,44,Billy Mayfair,94,0.621,0.213,0.116,0.292,85
43,43,Robert Karlsson,61,0.612,0.038,0.388,0.187,45
44,40,Brandt Jobe,100,0.611,0.478,0.262,-0.129,81
45,47,Kris Blanks,92,0.592,-0.078,0.576,0.095,83
46,45,Kevin Streelman,90,0.578,0.442,0.305,-0.168,71
47,46,Rickie Fowler,84,0.566,0.384,0.194,-0.013,66
48,T48,Alex Cejka,59,0.527,-0.145,0.259,0.413,47
49,55,Robert Garrigus,83,0.523,0.662,0.28,-0.419,69
50,50,Nick O'Hern,89,0.518,0.013,0.127,0.378,76
51,51,Brandt Snedeker,85,0.507,0.127,0.191,0.189,67
52,52,Stewart Cink,72,0.501,-0.055,0.396,0.16,52
53,54,Chez Reavie,92,0.497,0.381,0.461,-0.346,82
54,56,Steve Marino,76,0.476,0.364,0.184,-0.072,62
55,T48,Briny Baird,60,0.465,0.101,0.252,0.112,49
56,T57,Heath Slocum,89,0.457,0.192,0.339,-0.074,74
57,59,Zach Johnson,79,0.453,0.012,0.349,0.092,64
58,60,Woody Austin,59,0.45,-0.149,0.588,0.011,50
59,61,Jerry Kelly,85,0.41,0.038,0.161,0.211,68
60,62,Jason Day,76,0.4,0.204,0.026,0.169,59
61,63,John Merrick,71,0.372,0.319,0.134,-0.081,60
