RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL ROUNDS
1,1,Sergio Garcia,72,69.117,4942,- 103.782,70
2,2,Phil Mickelson,80,69.167,5482,- 86.972,78
3,3,Padraig Harrington,52,69.277,3535,- 71.159,50
4,4,Anthony Kim,81,69.279,5688,- 76.439,81
5,5,Camilo Villegas,79,69.49,5507,- 86.775,78
6,6,Vijay Singh,82,69.58,5481,- 53.780,78
7,8,Jim Furyk,95,69.694,6633,- 81.802,94
8,9,Stuart Appleby,87,69.726,5952,- 95.017,84
9,7,Robert Allenby,108,69.728,7558,- 97.073,107
10,10,Justin Leonard,101,69.772,6689,- 60.653,95
11,11,Kenny Perry,97,69.826,6810,- 36.914,97
12,12,Ernie Els,51,69.898,3572,- 77.090,50
13,16,Steve Stricker,75,69.976,5100,- 61.744,72
14,17,Ben Curtis,80,69.981,5677,- 78.494,80
15,13,Stephen Ames,83,69.988,5795,- 55.964,82
16,15,Brian Gay,102,70.015,7151,- 9.450,102
17,14,Stewart Cink,87,70.019,5723,- 51.478,81
18,18,Chad Campbell,94,70.04,6615,- 31.284,94
19,19,Adam Scott,51,70.06,3501,- 68.045,49
20,20,Kevin Sutherland,98,70.067,6882,- 15.475,98
21,23,Steve Marino,119,70.071,8364,- 25.537,119
22,21,Pat Perez,93,70.08,6504,- 56.667,92
23,25,Mike Weir,88,70.144,6149,- 46.462,87
24,22,Ben Crane,86,70.155,6053,- 19.694,86
25,27,Hunter Mahan,87,70.171,6016,- 51.491,85
26,24,Briny Baird,113,70.187,7960,- 28.863,113
27,28,Aaron Baddeley,76,70.196,5173,- 48.698,73
28,29,Bart Bryant,81,70.205,5769,- 82.368,81
29,T31,Charlie Wi,97,70.229,6830,- 17.764,97
30,30,Carl Pettersson,110,70.245,7792,- 65.057,110
31,33,Geoff Ogilvy,65,70.253,4568,- 71.796,64
32,34,K.J. Choi,74,70.259,4971,- 52.852,70
33,26,Bob Tway,70,70.262,4896,22.329,70
34,36,Ian Poulter,51,70.269,3520,- 76.817,49
35,37,Retief Goosen,59,70.272,4159,- 83.249,58
36,T38,Nick O'Hern,82,70.283,5671,- 48.368,80
37,51,Davis Love III,78,70.297,5554,- 70.845,78
38,35,Tom Pernice Jr.,104,70.298,7336,- 24.957,104
39,T31,Freddie Jacobson,78,70.3,5558,- 74.618,78
40,40,Paul Casey,55,70.308,3731,- 74.990,52
41,T38,Tim Clark,90,70.311,6307,- 49.310,89
42,41,David Toms,70,70.317,4837,- 55.477,68
43,42,Sean O'Hair,81,70.323,5771,- 74.863,81
44,T43,Corey Pavin,69,70.325,4876,- 23.543,69
45,45,D.J. Trahan,94,70.329,6664,- 53.032,94
46,47,Mark Wilson,107,70.366,7537,- 7.841,107
47,46,Ken Duke,116,70.38,8191,- 26.935,116
48,48,Mathew Goggin,91,70.391,6436,- 30.409,91
49,53,Scott Verplank,82,70.396,5738,- 35.960,81
50,T43,Boo Weekley,86,70.414,5903,- 58.608,83
51,50,John Senden,93,70.424,6523,- 44.001,92
52,49,Steve Elkington,84,70.447,5936,- 18.461,84
53,54,John Mallinger,95,70.479,6747,- 51.522,95
54,56,Matt Kuchar,88,70.5,6251,- 47.038,88
55,57,Brandt Snedeker,85,70.506,5987,- 64.468,84
56,58,Billy Mayfair,103,70.512,7288,- 25.289,103
57,59,Trevor Immelman,70,70.519,4886,- 90.678,68
58,60,Lucas Glover,91,70.544,6456,- 36.475,91
59,61,John Merrick,98,70.546,6955,- 41.533,98
60,62,Ryuji Imada,80,70.557,5690,- 45.414,80
61,65,Tim Herron,97,70.579,6854,- 7.877,97
62,52,Dudley Hart,74,70.587,5242,- 18.579,74
63,66,J.B. Holmes,86,70.596,6068,- 67.328,85
64,55,Zach Johnson,85,70.597,5969,- 38.844,84
65,72,Kevin Streelman,114,70.615,8052,- 1.909,114
66,69,Ryan Palmer,69,70.616,4863,9.507,69
67,67,Glen Day,64,70.623,4519,.877,64
68,68,Rory Sabbatini,77,70.626,5400,- 32.401,76
T69,63,Heath Slocum,104,70.638,7402,- 55.629,104
T69,64,Bill Haas,99,70.638,6995,- 1.842,99
71,71,Vaughn Taylor,103,70.668,7297,- 18.172,103
72,77,Dean Wilson,109,70.712,7737,- 29.381,109
73,73,Brian Davis,108,70.718,7639,- 1.468,108
74,83,Bob Estes,90,70.742,6362,4.757,90
75,81,Gavin Coles,54,70.744,3815,5.155,54
76,75,Shane Bertsch,96,70.749,6774,17.920,96
77,82,Parker McLachlin,88,70.752,6254,- 27.843,88
78,70,Fred Couples,60,70.758,4273,- 27.503,60
79,76,Peter Lonard,92,70.776,6526,- 14.586,92
80,85,Rocco Mediate,87,70.778,6230,- 72.275,87
81,79,George McNeill,97,70.785,6881,- 14.887,97
82,86,Jeff Quinney,87,70.788,6211,- 52.460,87
T83,80,Bubba Watson,97,70.789,6894,- 27.503,97
T83,84,Nick Watney,96,70.789,6818,- 22.268,96
85,87,Tom Lehman,51,70.791,3671,- 60.662,51
86,88,Michael Letzig,88,70.792,6249,- 19.312,88
87,78,John Huston,56,70.807,3947,18.184,56
88,89,Rod Pampling,83,70.812,5711,- 46.074,80
89,90,Andres Romero,69,70.816,4814,- 69.302,67
90,T91,Kevin Na,97,70.817,6869,.283,97
91,T91,Charles Howell III,101,70.82,7044,- 32.784,99
92,74,Tommy Armour III,77,70.856,5466,- 10.070,77
93,101,Michael Allen,91,70.864,6467,- 18.362,91
94,98,Joe Ogilvie,100,70.865,7092,- 5.483,100
95,97,Woody Austin,109,70.874,7466,- 24.208,105
96,96,Patrick Sheehan,124,70.891,8795,- 4.520,124
97,95,Brett Quigley,80,70.897,5702,- 30.227,80
98,102,Robert Garrigus,90,70.898,6392,- 11.149,90
99,99,Jesper Parnevik,88,70.923,6270,- 28.753,88
100,100,Jerry Kelly,89,70.941,6291,- 48.196,88
T101,94,Cliff Kresge,84,70.954,6009,- 48.875,84
T101,T107,Jeff Overton,103,70.954,7343,- 34.714,103
103,105,Bo Van Pelt,101,70.956,7167,- .415,101
104,104,Chez Reavie,102,70.957,7245,- 7.399,102
105,93,Richard Johnson,60,70.968,4268,- 9.945,60
106,112,Steve Flesch,95,70.975,6761,- 18.353,95
107,111,Brenden Pappas,66,70.977,4673,11.482,66
108,106,J.J. Henry,108,70.978,7676,- 10.340,108
109,117,Tim Petrovic,97,70.987,6909,- 23.309,97
110,113,Tim Wilkinson,95,70.997,6747,- 2.308,95
111,118,Jonathan Byrd,88,71.028,6066,- 28.635,85
112,110,Nicholas Thompson,113,71.039,8066,- 38.632,113
113,120,John Rollins,94,71.057,6725,- 45.629,94
114,T115,Craig Kanada,65,71.058,4618,.792,65
115,131,Scott Sterling,89,71.07,6312,13.252,89
116,121,Todd Hamilton,92,71.077,6608,- 68.931,92
117,122,Brandt Jobe,52,71.078,3717,- 20.961,52
118,T115,Brad Adamonis,87,71.079,6180,3.902,87
119,123,Ángel Cabrera,55,71.083,3669,- 43.752,51
120,103,Alex Cejka,75,71.096,5377,- 44.824,75
121,119,Carlos Franco,73,71.099,5195,- 4.768,73
122,124,Doug LaBelle II,65,71.105,4639,- 17.175,65
123,T129,Martin Laird,98,71.115,6939,30.227,98
124,T129,Nathan Green,95,71.133,6776,- 18.387,95
125,114,Alejandro Cañizares,52,71.151,3706,- 6.170,52
126,132,Johnson Wagner,83,71.153,5947,- 41.276,83
127,128,John Riegger,73,71.16,5177,17.681,73
128,127,Marc Turnesa,87,71.165,6191,.313,87
129,138,Jason Gore,94,71.174,6677,13.362,94
130,139,Jason Day,81,71.176,5756,9.274,81
131,137,Paul Goydos,78,71.201,5585,- 31.358,78
132,134,Daniel Chopra,84,71.204,5935,- 25.053,83
133,T107,Jeff Maggert,86,71.218,6131,- 6.261,86
134,T125,Dustin Johnson,92,71.223,6578,- 25.509,92
135,144,Rich Beem,90,71.23,6425,- 14.306,90
136,142,Chris Riley,51,71.237,3617,16.094,51
137,T149,Cameron Beckman,87,71.238,6185,12.710,87
138,T125,Ryan Moore,72,71.249,5148,- 18.071,72
139,151,Kevin Stadler,90,71.255,6440,- 27.008,90
140,135,Frank Lickliter II,107,71.263,7621,4.116,107
T141,133,Greg Kraft,63,71.265,4508,- 18.276,63
T141,145,Matt Jones,95,71.265,6783,- 12.860,95
143,140,Omar Uresti,74,71.266,5258,15.677,74
144,153,Joe Durant,92,71.267,6554,2.545,92
145,147,Mark Calcavecchia,67,71.285,4743,- 38.196,66
146,148,Charley Hoffman,94,71.287,6689,11.934,94
T147,T149,Marco Dawson,64,71.29,4571,- 8.467,64
T147,155,Troy Matteson,94,71.29,6712,- 10.710,94
149,136,Scott McCarron,63,71.309,4487,5.466,63
T150,154,Tag Ridings,88,71.316,6278,- 2.189,88
T150,143,Eric Axley,113,71.316,8058,.686,113
152,146,Kent Jones,68,71.32,4825,24.773,68
153,141,Jay Williamson,96,71.363,6866,- 15.111,96
154,152,Chris DiMarco,87,71.378,6238,- 28.094,87
155,162,Jimmy Walker,73,71.421,5216,- 2.278,73
156,157,Lee Janzen,89,71.429,6360,- 2.801,89
157,159,Shigeki Maruyama,50,71.455,3589,- 16.262,50
158,160,Jeff Gove,50,71.457,3577,- 4.155,50
159,161,Steve Allan,58,71.46,4141,3.689,58
160,156,Y.E. Yang,89,71.476,6366,- 4.652,89
161,164,Chad Collins,72,71.538,5143,7.739,72
162,163,Brad Elder,67,71.547,4774,19.663,67
163,158,Jon Mills,95,71.552,6804,- 6.607,95
164,165,Steve Lowery,74,71.558,5325,- 29.719,74
165,168,Olin Browne,77,71.584,5529,- 17.037,77
166,167,James Driscoll,85,71.6,6086,.015,85
167,175,Harrison Frazar,73,71.606,5218,9.258,73
168,169,Robert Gamez,79,71.609,5664,- 6.878,79
169,172,Ted Purdy,68,71.614,4876,- 6.254,68
170,166,Todd Demsey,80,71.615,5699,30.177,80
171,170,Mathias Grönberg,87,71.644,6236,- 2.936,87
172,171,Jim McGovern,75,71.66,5358,16.521,75
173,173,Kenneth Ferrie,72,71.708,5170,- 7.053,72
