RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,GREENS HIT,# HOLES,RELATIVE/PAR
1,2,Joe Durant,92,71.1,1075,1512,-0.2
2,T3,Robert Allenby,108,70.4,1356,1926,-0.24
3,1,Harrison Frazar,73,70.34,823,1170,-0.2
4,5,John Huston,56,70.3,658,936,-0.26
5,T3,Briny Baird,113,70.0,1323,1890,-0.21
6,6,Kent Jones,68,69.71,778,1116,-0.24
7,7,Hunter Mahan,87,69.61,1065,1530,-0.24
8,8,John Riegger,73,69.49,838,1206,-0.23
9,10,J.J. Henry,108,69.19,1345,1944,-0.21
10,9,John Senden,93,69.08,1144,1656,-0.22
11,17,Bob Estes,90,68.69,1088,1584,-0.22
12,11,Vijay Singh,82,68.45,961,1404,-0.25
T13,12,Chad Campbell,94,68.44,1158,1692,-0.27
T13,13,George McNeill,97,68.44,1195,1746,-0.26
15,20,Steve Marino,119,68.36,1415,2070,-0.26
16,T18,Nick Watney,96,68.23,1179,1728,-0.26
17,14,Kevin Sutherland,98,68.2,1203,1764,-0.25
18,16,Woody Austin,109,68.15,1288,1890,-0.23
19,15,Billy Mayfair,103,68.12,1263,1854,-0.21
20,21,Bill Haas,99,68.07,1164,1710,-0.27
21,31,Robert Garrigus,90,68.02,1102,1620,-0.26
T22,26,Boo Weekley,86,67.87,1014,1494,-0.22
T22,24,Scott Sterling,89,67.87,1014,1494,-0.21
T22,T18,Jeff Gove,50,67.87,562,828,-0.19
25,22,John Merrick,98,67.72,1097,1620,-0.23
26,T33,Chris Stroud,81,67.63,913,1350,-0.22
27,28,Bubba Watson,97,67.6,1156,1710,-0.24
28,27,Zach Johnson,85,67.59,1022,1512,-0.23
29,23,Mathew Goggin,91,67.58,1107,1638,-0.25
30,25,Kenny Perry,97,67.47,1178,1746,-0.26
31,T36,Kevin Streelman,114,67.44,1311,1944,-0.25
32,42,Troy Matteson,94,67.38,1140,1692,-0.23
33,29,Bob Tway,70,67.36,776,1152,-0.31
34,39,Bo Van Pelt,101,67.3,1175,1746,-0.23
35,30,Gavin Coles,54,67.15,556,828,-0.23
36,67,Tommy Gainey,60,67.09,628,936,-0.26
37,T33,Sergio Garcia,72,67.06,845,1260,-0.24
38,T43,Martin Laird,98,67.03,1110,1656,-0.28
39,49,Jason Gore,94,67.02,1134,1692,-0.27
40,T43,Steve Elkington,84,67.0,1013,1512,-0.26
41,32,Stewart Cink,87,66.94,976,1458,-0.28
42,T36,Mark Wilson,107,66.93,1289,1926,-0.26
43,38,Pat Perez,93,66.91,1108,1656,-0.26
T44,T51,Charles Warren,79,66.88,951,1422,-0.23
T44,41,Justin Bolli,87,66.88,963,1440,-0.21
46,64,Ted Purdy,68,66.85,746,1116,-0.2
47,59,Carlos Franco,73,66.83,806,1206,-0.25
T48,58,Charles Howell III,101,66.78,1190,1782,-0.25
T48,40,Jim Furyk,95,66.78,1130,1692,-0.25
50,T53,Heath Slocum,104,66.77,1250,1872,-0.21
51,50,Ryan Palmer,69,66.75,757,1134,-0.31
52,35,Jay Williamson,96,66.73,1057,1584,-0.2
53,56,Michael Allen,91,66.67,1092,1638,-0.25
T54,T46,Justin Leonard,101,66.61,1139,1710,-0.27
T54,T46,Chez Reavie,102,66.61,1175,1764,-0.22
56,T43,Tommy Armour III,77,66.51,874,1314,-0.23
