RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,TOP 10,1ST,2ND,3RD
T1,T1,Jim Furyk,9,,1.0,2.0
T1,T1,Robert Allenby,9,,2.0,1.0
T3,T3,Justin Leonard,8,1.0,1.0,
T3,T3,Mike Weir,8,,2.0,
T3,T3,Phil Mickelson,8,2.0,1.0,1.0
T3,T3,Vijay Singh,8,3.0,2.0,1.0
T3,T3,Anthony Kim,8,2.0,1.0,3.0
T8,T8,Camilo Villegas,7,2.0,,2.0
T8,T8,Stephen Ames,7,,,1.0
T8,T8,Kenny Perry,7,3.0,1.0,1.0
T8,T8,Chad Campbell,7,,1.0,2.0
T8,T8,Stuart Appleby,7,,1.0,
T8,T8,Stewart Cink,7,1.0,2.0,2.0
T14,T14,Brian Gay,6,1.0,1.0,
T14,T14,Woody Austin,6,,1.0,1.0
T14,T14,Tiger Woods,6,4.0,1.0,
T14,T14,Tom Pernice Jr.,6,,,
T14,T14,Dudley Hart,6,,1.0,1.0
T14,T14,Kevin Sutherland,6,,2.0,
T14,T14,Steve Stricker,6,,1.0,
T14,T14,Padraig Harrington,6,2.0,,1.0
T14,T14,Sergio Garcia,6,1.0,3.0,
T14,T14,Geoff Ogilvy,6,1.0,1.0,
T14,T14,Pat Perez,6,,,
T14,T26,Steve Marino,6,,1.0,2.0
T14,T14,Nicholas Thompson,6,,1.0,
T27,T26,Boo Weekley,5,1.0,,
T27,T26,Michael Letzig,5,,1.0,
T27,T43,Troy Matteson,5,,1.0,
T27,T26,Brandt Snedeker,5,,,1.0
T27,T26,Hunter Mahan,5,,1.0,
T27,T26,K.J. Choi,5,1.0,,
T27,T26,Carl Pettersson,5,1.0,,
T27,T26,Heath Slocum,5,,,
T27,T26,Mark Wilson,5,,1.0,
T27,T26,Ben Curtis,5,,2.0,
T27,T26,Matt Kuchar,5,,1.0,1.0
T27,T26,Ryuji Imada,5,1.0,2.0,1.0
T27,T26,Rod Pampling,5,,1.0,1.0
T27,T26,Mathew Goggin,5,,1.0,2.0
T27,T26,Ernie Els,5,1.0,,1.0
T27,T26,Tommy Armour III,5,,1.0,1.0
T27,T26,Ken Duke,5,,2.0,
T44,T43,Cliff Kresge,4,,,1.0
T44,T43,Jerry Kelly,4,,2.0,1.0
T44,T43,Billy Mayfair,4,,2.0,
T44,T43,Henrik Stenson,4,,,2.0
T44,T43,Steve Allan,4,,,1.0
T44,T43,Alex Cejka,4,,,
T44,T43,Charlie Wi,4,,1.0,
T44,T43,Joe Ogilvie,4,,,
T44,T43,Charles Howell III,4,,,1.0
T44,T43,Nick O'Hern,4,,,1.0
T44,T43,Paul Casey,4,,,
T44,T43,Ben Crane,4,,,
T44,T43,D.J. Trahan,4,1.0,,
T44,T59,Kevin Streelman,4,,,
T44,T43,John Mallinger,4,,,2.0
T44,T43,John Merrick,4,,,1.0
T60,T59,Martin Laird,3,,,
T60,T59,Jeff Overton,3,,,
T60,T59,Dustin Johnson,3,1.0,,
T60,T59,J.B. Holmes,3,1.0,,
T60,T59,Jeff Quinney,3,,1.0,1.0
T60,T59,Ryan Moore,3,,1.0,
T60,T59,Brad Adamonis,3,,1.0,
T60,T59,Luke Donald,3,,1.0,1.0
T60,T59,Zach Johnson,3,1.0,,
T60,T59,Sean O'Hair,3,1.0,,2.0
T60,T59,Rory Sabbatini,3,,1.0,1.0
T60,T59,Tim Clark,3,,1.0,
T60,T59,Ryan Palmer,3,1.0,,
T60,T59,Kevin Na,3,,,
T60,T59,Andres Romero,3,1.0,,
T60,T59,Bubba Watson,3,,1.0,
T60,T59,Tim Wilkinson,3,,1.0,1.0
T60,T59,Parker McLachlin,3,1.0,,
T60,T59,George McNeill,3,,2.0,
T60,T59,Adam Scott,3,1.0,,
T60,T59,Aaron Baddeley,3,,1.0,
T60,T59,Trevor Immelman,3,1.0,1.0,
T60,T59,Eric Axley,3,,,
T60,T59,Jason Gore,3,,,
T60,T59,Briny Baird,3,,,
T60,T59,Freddie Jacobson,3,,1.0,
T60,T59,Peter Lonard,3,,1.0,
T60,T59,John Senden,3,,1.0,
T60,T97,Tim Petrovic,3,,,
T60,T97,Davis Love III,3,1.0,,1.0
T60,T59,Fred Couples,3,,,
T60,T59,Steve Elkington,3,,,
T60,T59,Paul Goydos,3,,1.0,
T60,T97,Scott Verplank,3,,,1.0
T60,T59,Greg Kraft,3,1.0,,
T60,T97,Michael Allen,3,,,1.0
T60,T59,Charley Hoffman,3,,,
T60,T59,Tim Herron,3,,,
T60,T59,Miguel Angel Jiménez,3,,,
T60,T59,Robert Karlsson,3,,,
