RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS
1,1,Olin Browne,77,80.42,838,1042
2,3,Omar Uresti,74,74.85,729,974
3,6,Heath Slocum,104,73.95,1073,1451
4,4,Bart Bryant,81,73.87,834,1129
5,5,Zach Johnson,85,73.73,870,1180
6,8,Scott Verplank,82,73.57,835,1135
7,7,Robert Gamez,79,73.36,785,1070
8,11,Joe Durant,92,73.05,854,1169
9,9,Chez Reavie,102,72.56,989,1363
10,12,Brian Davis,108,72.47,1090,1504
11,10,Jeff Gove,50,72.43,465,642
12,13,Nick O'Hern,82,72.27,808,1118
13,14,Billy Mayfair,103,72.16,1037,1437
14,15,Ron Whittaker,54,72.07,480,666
15,16,Gavin Coles,54,71.99,460,639
16,18,Kent Jones,68,71.81,619,862
17,17,Brian Gay,102,71.74,942,1313
18,20,Paul Claxton,63,70.96,562,792
19,19,Paul Goydos,78,70.85,773,1091
20,21,Mark Wilson,107,70.73,1056,1493
21,22,Shane Bertsch,96,70.54,941,1334
22,23,Steve Elkington,84,70.43,824,1170
23,26,Ryan Armour,87,69.88,805,1152
24,24,Jay Williamson,96,69.73,857,1229
25,30,Michael Allen,91,69.45,882,1270
26,27,John Mallinger,95,69.39,918,1323
27,25,Craig Kanada,65,69.38,571,823
28,T28,Jim Furyk,95,69.37,915,1319
29,31,Corey Pavin,69,69.22,623,900
30,T28,Scott McCarron,63,69.2,609,880
31,32,John Riegger,73,69.09,646,935
32,34,Glen Day,64,69.02,557,807
33,35,Jin Park,85,68.79,736,1070
34,33,Greg Kraft,63,68.71,527,767
35,36,John Senden,93,68.2,875,1283
36,41,Kenneth Ferrie,72,68.13,607,891
37,37,Doug LaBelle II,65,68.06,552,811
38,38,John Rollins,94,67.94,892,1313
39,39,Kevin Na,97,67.8,916,1351
40,40,Justin Leonard,101,67.72,902,1332
41,44,Jason Gore,94,67.71,885,1307
T42,T42,Ben Crane,86,67.64,811,1199
T42,48,Cameron Beckman,87,67.64,744,1100
44,50,Bob Tway,70,67.34,600,891
45,45,Charlie Wi,97,67.33,909,1350
46,46,Jonathan Byrd,88,67.31,799,1187
47,47,Ben Curtis,80,67.2,715,1064
48,54,Rich Beem,90,66.93,840,1255
49,51,Stephen Leaney,53,66.91,457,683
50,T42,Jeff Maggert,86,66.89,800,1196
51,52,Todd Hamilton,92,66.87,858,1283
52,53,Nicholas Thompson,113,66.85,996,1490
53,55,Tim Wilkinson,95,66.72,810,1214
54,60,Tim Petrovic,97,66.53,825,1240
55,56,Chris Riley,51,66.5,397,597
T56,59,Patrick Sheehan,124,66.48,1073,1614
T56,57,Bob Estes,90,66.48,815,1226
58,64,Chris Stroud,81,66.38,693,1044
59,T73,Jerry Kelly,89,66.21,776,1172
60,58,Woody Austin,109,66.19,975,1473
61,66,Briny Baird,113,66.03,966,1463
62,63,Hunter Mahan,87,66.02,785,1189
63,67,Scott Sterling,89,66.0,763,1156
64,62,Peter Lonard,92,65.91,808,1226
65,61,John Huston,56,65.88,475,721
T66,T73,Justin Bolli,87,65.74,735,1118
T66,65,Ryan Moore,72,65.74,660,1004
68,68,Chad Campbell,94,65.68,861,1311
69,69,Rod Pampling,83,65.65,732,1115
70,82,Robert Allenby,108,65.64,980,1493
71,T75,J.J. Henry,108,65.6,988,1506
72,71,David Toms,70,65.58,623,950
73,72,Matt Kuchar,88,65.53,751,1146
74,77,Mark Calcavecchia,67,65.44,604,923
75,70,Charles Warren,79,65.43,721,1102
76,T75,Alex Cejka,75,65.42,628,960
77,81,Todd Demsey,80,65.38,710,1086
T78,78,D.J. Trahan,94,65.31,853,1306
T78,86,Marc Turnesa,87,65.31,755,1156
80,79,John Merrick,98,65.23,818,1254
81,80,Joe Ogilvie,100,65.2,875,1342
82,84,Frank Lickliter II,107,64.99,967,1488
83,89,Tim Clark,90,64.98,809,1245
84,85,Mathew Goggin,91,64.91,823,1268
85,83,Boo Weekley,86,64.75,753,1163
86,87,Rocco Mediate,87,64.66,785,1214
87,88,Tom Lehman,51,64.53,442,685
88,90,Michael Letzig,88,64.44,754,1170
89,92,Richard Johnson,60,64.18,482,751
90,95,Tom Pernice Jr.,104,63.99,926,1447
91,99,Steve Marino,119,63.84,1022,1601
92,91,Jim McGovern,75,63.65,611,960
93,100,Y.E. Yang,89,63.43,770,1214
94,120,Tom Scherrer,56,63.36,441,696
T95,94,Charley Hoffman,94,63.35,816,1288
T95,T97,Tommy Armour III,77,63.35,643,1015
97,96,Pat Perez,93,63.27,813,1285
98,93,J.P. Hayes,67,63.24,590,933
99,104,Chris DiMarco,87,63.12,765,1212
100,101,Ryan Palmer,69,62.94,552,877
101,T97,Lee Janzen,89,62.91,726,1154
102,109,Mathias Grönberg,87,62.77,725,1155
103,T106,Stephen Ames,83,62.72,720,1148
104,102,Nick Flanagan,89,62.66,740,1181
105,111,Will MacKenzie,62,62.6,539,861
106,105,Mike Weir,88,62.46,762,1220
107,T106,Trevor Immelman,70,62.45,592,948
108,113,Kyle Thompson,70,62.44,557,892
109,108,Paul Casey,55,62.43,452,724
110,110,Vaughn Taylor,103,62.4,898,1439
111,103,Alejandro Cañizares,52,62.36,381,611
112,T117,Ken Duke,116,62.27,1005,1614
113,T117,Cliff Kresge,84,62.26,693,1113
114,122,Martin Laird,98,62.25,798,1282
115,112,Kevin Streelman,114,62.21,935,1503
116,T125,Bo Van Pelt,101,62.06,839,1352
117,128,Kevin Stadler,90,62.01,710,1145
118,114,Rory Sabbatini,77,61.99,662,1068
119,115,Jeff Quinney,87,61.98,753,1215
120,116,Kenny Perry,97,61.97,836,1349
121,119,Kevin Sutherland,98,61.93,846,1366
122,T125,Brett Quigley,80,61.76,672,1088
123,121,Dean Wilson,109,61.7,902,1462
124,123,Brad Elder,67,61.67,523,848
125,124,Lucas Glover,91,61.54,781,1269
126,127,K.J. Choi,74,61.38,604,984
127,129,Troy Matteson,94,61.36,802,1307
128,131,Nick Watney,96,61.21,822,1343
129,138,Dudley Hart,74,61.18,599,979
130,134,Ted Purdy,68,61.14,527,862
131,130,Tim Herron,97,61.1,790,1293
132,T136,David Lutterus,59,61.06,450,737
133,132,Johnson Wagner,83,61.02,681,1116
134,133,Steve Flesch,95,60.98,808,1325
135,141,Bob Sowards,61,60.89,467,767
136,135,Jesper Parnevik,88,60.85,712,1170
137,T136,Brandt Snedeker,85,60.51,711,1175
138,139,Sean O'Hair,81,60.44,683,1130
139,140,Jason Day,81,60.39,683,1131
140,143,Harrison Frazar,73,60.11,544,905
141,142,Marco Dawson,64,60.1,467,777
T142,147,Freddie Jacobson,78,59.95,654,1091
T142,145,Bill Haas,99,59.95,792,1321
144,144,Steve Lowery,74,59.92,619,1033
145,T150,Carl Pettersson,110,59.87,919,1535
146,146,Ian Poulter,51,59.77,410,686
147,148,Ryuji Imada,80,59.64,665,1115
148,169,Tommy Gainey,60,59.53,431,724
149,T150,Nathan Green,95,59.5,786,1321
T150,T152,Aaron Baddeley,76,59.45,610,1026
T150,T152,Vijay Singh,82,59.45,651,1095
152,149,George McNeill,97,59.42,804,1353
153,154,Sergio Garcia,72,59.39,582,980
154,155,Padraig Harrington,52,59.37,415,699
155,156,Billy Andrade,71,59.35,552,930
156,158,Chad Collins,72,58.98,542,919
157,157,Parker McLachlin,88,58.84,689,1171
158,165,Jon Mills,95,58.38,707,1211
159,159,Anthony Kim,81,58.34,661,1133
160,168,Mark Hensby,71,58.32,578,991
161,161,Steve Allan,58,58.25,406,697
162,166,Davis Love III,78,58.22,634,1089
163,160,Carlos Franco,73,58.2,543,933
164,162,Stuart Appleby,87,58.19,682,1172
165,163,Geoff Ogilvy,65,58.18,519,892
166,164,Camilo Villegas,79,58.15,635,1092
167,167,Brad Adamonis,87,58.1,671,1155
168,170,Tag Ridings,88,58.08,712,1226
T169,175,Brenden Pappas,66,57.49,480,835
T169,171,Fred Couples,60,57.49,480,835
171,173,Cody Freeman,66,57.18,494,864
172,172,Shigeki Maruyama,50,57.14,356,623
173,174,Ernie Els,51,56.88,397,698
174,177,Retief Goosen,59,56.79,460,810
175,176,Charles Howell III,101,56.78,787,1386
176,178,Eric Axley,113,56.39,856,1518
177,180,Brandt Jobe,52,56.35,408,724
178,181,Steve Stricker,75,56.25,567,1008
179,183,Robert Garrigus,90,56.23,704,1252
180,179,Brett Rumford,72,56.04,529,944
T181,182,Stewart Cink,87,55.27,624,1129
T181,184,Phil Mickelson,80,55.27,603,1091
183,186,Bubba Watson,97,55.16,732,1327
184,185,Jason Allred,63,55.05,436,792
