RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG.,TOTAL DISTANCE,TOTAL DRIVES
T129,T128,Tim Petrovic,97,284.0,50544,178
132,T125,Lee Janzen,89,283.9,47129,166
133,T130,Stephen Ames,83,283.8,46543,164
134,135,Nathan Green,95,283.7,53898,190
T135,T136,Steve Stricker,75,283.6,40842,144
T135,T136,Ian Poulter,51,283.6,27793,98
137,T139,Billy Andrade,71,283.3,37968,134
138,T141,Johnson Wagner,83,283.2,45305,160
T139,143,Mark Calcavecchia,67,283.1,37363,132
T139,T139,Scott McCarron,63,283.1,35669,126
141,T144,Kent Jones,68,282.9,35078,124
T142,T141,Brett Rumford,72,282.7,38453,136
T142,T144,Freddie Jacobson,78,282.7,44102,156
T142,T136,Alex Cejka,75,282.7,39016,138
145,T146,Bob Estes,90,282.6,49737,176
T146,T150,David Toms,70,282.2,38383,136
T146,T146,Richard Johnson,60,282.2,30476,108
T148,154,Steve Elkington,84,282.0,47370,168
T148,153,Tom Lehman,51,282.0,27635,98
T150,149,Cameron Beckman,87,281.9,44533,158
T150,T150,Steve Flesch,95,281.9,53568,190
152,155,Chez Reavie,102,281.8,55242,196
T153,148,Robert Gamez,79,281.6,43372,154
T153,152,Peter Lonard,92,281.6,49570,176
T153,T156,Doug LaBelle II,65,281.6,32671,116
156,158,Justin Leonard,101,281.4,53467,190
157,T156,Tim Clark,90,281.1,50035,178
T158,159,Cliff Kresge,84,280.9,44943,160
T158,161,Kevin Na,97,280.9,54486,194
160,162,Brandt Snedeker,85,280.8,47169,168
161,160,Tom Pernice Jr.,104,280.6,58361,208
162,T163,Jim Furyk,95,280.4,52721,188
163,165,Jim McGovern,75,280.0,38636,138
164,T163,Heath Slocum,104,279.9,58218,208
165,166,Tim Wilkinson,95,279.8,48688,174
166,168,Bart Bryant,81,279.5,45280,162
167,167,Bob Tway,70,279.2,35736,128
168,T169,Chris Riley,51,279.1,24000,86
169,171,John Mallinger,95,279.0,53001,190
T170,T172,Ryuji Imada,80,278.6,44576,160
T170,T169,Scott Verplank,82,278.6,45140,162
T170,T172,Rocco Mediate,87,278.6,48475,174
173,T175,Brian Davis,108,277.7,59983,216
174,T175,Chad Collins,72,277.5,36632,132
175,174,Chris DiMarco,87,277.4,48275,174
176,177,Jerry Kelly,89,277.0,46541,168
177,178,Ron Whittaker,54,276.7,26560,96
178,179,Dean Wilson,109,276.2,58002,210
179,T181,Dudley Hart,74,275.5,38569,140
180,180,Paul Claxton,63,275.4,31394,114
181,183,Zach Johnson,85,275.1,46216,168
182,184,Matt Kuchar,88,275.0,45108,164
T183,T185,Nick O'Hern,82,274.9,43990,160
T183,T185,Glen Day,64,274.9,31894,116
T183,T181,Omar Uresti,74,274.9,38479,140
186,188,Jin Park,85,274.4,42256,154
187,187,Shane Bertsch,96,274.3,52667,192
188,T189,Shigeki Maruyama,50,274.0,24660,90
189,T189,Greg Kraft,63,273.6,30095,110
190,192,Paul Goydos,78,273.2,42624,156
191,194,Stephen Leaney,53,272.7,26721,98
192,193,Craig Kanada,65,272.6,32163,118
193,195,Jeff Quinney,87,272.5,47422,174
194,196,Olin Browne,77,272.1,40816,150
195,197,Gavin Coles,54,271.5,24976,92
196,198,Brian Gay,102,270.5,50850,188
197,199,Corey Pavin,69,261.4,33979,130
